date,instrument,open,high,low,close,volume,open_interest,flag
1990-01-05,hg1s,1.096,1.102,1.087,1.095,0.0,0.0,zero_volume_weekday
1990-01-15,hg1s,1.051,1.053,1.03,1.04,0.0,0.0,zero_volume_weekday
1990-01-16,hg1s,1.03,1.055,1.023,1.045,0.0,0.0,zero_volume_weekday
1990-01-17,hg1s,1.044,1.053,1.033,1.04,0.0,0.0,zero_volume_weekday
1990-01-18,hg1s,1.033,1.046,1.02,1.0235,0.0,0.0,zero_volume_weekday
1990-01-19,hg1s,1.0,1.008,0.988,0.993,0.0,0.0,zero_volume_weekday
1990-01-22,hg1s,0.996,1.001,0.976,0.9875,0.0,0.0,zero_volume_weekday
1990-01-23,hg1s,0.96,0.979,0.9575,0.9745,0.0,0.0,zero_volume_weekday
1990-01-24,hg1s,0.957,0.97,0.95,0.966,0.0,0.0,zero_volume_weekday
1990-01-25,hg1s,0.984,0.992,0.975,0.977,0.0,0.0,zero_volume_weekday
1990-01-26,hg1s,0.971,0.995,0.967,0.9835,0.0,0.0,zero_volume_weekday
1990-01-29,hg1s,0.995,1.002,0.963,0.9675,0.0,0.0,zero_volume_weekday
1990-01-30,hg1s,0.96,0.973,0.955,0.9565,0.0,0.0,zero_volume_weekday
1990-01-31,hg1s,0.95,0.9885,0.95,0.986,0.0,0.0,zero_volume_weekday
1990-02-01,hg1s,0.987,0.997,0.975,0.977,0.0,0.0,zero_volume_weekday
1990-02-02,hg1s,0.986,1.007,0.986,1.0005,0.0,0.0,zero_volume_weekday
1990-02-05,hg1s,0.995,0.9985,0.986,0.987,0.0,0.0,zero_volume_weekday
1990-02-06,hg1s,0.987,0.997,0.983,0.992,0.0,0.0,zero_volume_weekday
1990-02-07,hg1s,0.982,1.002,0.977,1.0005,0.0,0.0,zero_volume_weekday
1990-02-08,hg1s,1.001,1.012,0.991,0.9975,0.0,0.0,zero_volume_weekday
1990-02-09,hg1s,1.013,1.017,1.008,1.0125,0.0,0.0,zero_volume_weekday
1990-02-12,hg1s,1.018,1.026,0.998,0.999,0.0,0.0,zero_volume_weekday
1990-02-13,hg1s,0.995,1.044,0.99,1.042,0.0,0.0,zero_volume_weekday
1990-02-14,hg1s,1.036,1.073,1.036,1.057,0.0,0.0,zero_volume_weekday
1990-04-04,ho1s,0.60478254,0.6058742,0.58895339,0.58971756,0.0,17737.12252244,zero_volume_weekday
1990-04-04,pl1s,476.11606964,482.53672203,475.6221733,482.24038423,0.0,10501.19145057,zero_volume_weekday
1990-04-04,rb1s,0.59722189,0.59812268,0.58371009,0.58425056,0.0,29468.67015934,zero_volume_weekday
1990-04-05,ng1s,1.615,1.635,1.61,1.615,0.0,112.0,zero_volume_weekday
1990-06-18,cl1s,16.26025958,16.29742589,15.68418181,15.74922285,0.0,92327.70809209,zero_volume_weekday
1990-06-27,si1s,4.655671,4.6985146,4.6366294,4.6413898,0.0,49049.4517208,zero_volume_weekday
1990-07-31,pl1s,475.0741401,480.93322508,474.78118585,479.37080242,0.0,12719.73359501,zero_volume_weekday
1990-08-13,hg1s,1.50072709,1.50187443,1.47892753,1.49269567,0.0,0.0,zero_volume_weekday
