date,classification,label,instrument,venue
1990-12-24 00:00:00,early_close,Christmas Eve (early close),cl1s,NYMEX
1992-11-27 00:00:00,early_close,Day after Thanksgiving (early close),cl1s,NYMEX
1992-12-24 00:00:00,early_close,Christmas Eve (early close),cl1s,NYMEX
1993-11-26 00:00:00,early_close,Day after Thanksgiving (early close),cl1s,NYMEX
1994-11-25 00:00:00,early_close,Day after Thanksgiving (early close),cl1s,NYMEX
1995-07-03 00:00:00,early_close,July 3 (pre-Independence Day early close),cl1s,NYMEX
1995-11-24 00:00:00,early_close,Day after Thanksgiving (early close),cl1s,NYMEX
1996-07-05 00:00:00,early_close,July 5 (Independence Day Friday bridge),cl1s,NYMEX
1996-11-29 00:00:00,early_close,Day after Thanksgiving (early close),cl1s,NYMEX
1997-11-28 00:00:00,early_close,Day after Thanksgiving (early close),cl1s,NYMEX
1998-11-27 00:00:00,early_close,Day after Thanksgiving (early close),cl1s,NYMEX
1999-11-26 00:00:00,early_close,Day after Thanksgiving (early close),cl1s,NYMEX
2000-01-03 00:00:00,early_close,Jan 3 (New Year Monday bridge),cl1s,NYMEX
2000-07-03 00:00:00,early_close,July 3 (pre-Independence Day early close),cl1s,NYMEX
2000-11-24 00:00:00,early_close,Day after Thanksgiving (early close),cl1s,NYMEX
2001-11-23 00:00:00,early_close,Day after Thanksgiving (early close),cl1s,NYMEX
2001-12-24 00:00:00,early_close,Christmas Eve (early close),cl1s,NYMEX
2002-07-05 00:00:00,early_close,July 5 (Independence Day Friday bridge),cl1s,NYMEX
2002-11-29 00:00:00,early_close,Day after Thanksgiving (early close),cl1s,NYMEX
2003-11-28 00:00:00,early_close,Day after Thanksgiving (early close),cl1s,NYMEX
2003-12-26 00:00:00,early_close,Dec 26 (Christmas Friday bridge),cl1s,NYMEX
2004-01-02 00:00:00,early_close,Jan 2 (New Year Friday bridge),cl1s,NYMEX
2004-11-26 00:00:00,early_close,Day after Thanksgiving (early close),cl1s,NYMEX
2005-11-25 00:00:00,early_close,Day after Thanksgiving (early close),cl1s,NYMEX
2006-07-03 00:00:00,early_close,July 3 (pre-Independence Day early close),cl1s,NYMEX
1990-12-24 00:00:00,early_close,Christmas Eve (early close),ho1s,NYMEX
1992-09-08 00:00:00,unexplained,,ho1s,NYMEX
1992-11-27 00:00:00,early_close,Day after Thanksgiving (early close),ho1s,NYMEX
1992-12-24 00:00:00,early_close,Christmas Eve (early close),ho1s,NYMEX
1993-11-26 00:00:00,early_close,Day after Thanksgiving (early close),ho1s,NYMEX
1994-11-25 00:00:00,early_close,Day after Thanksgiving (early close),ho1s,NYMEX
1995-07-03 00:00:00,early_close,July 3 (pre-Independence Day early close),ho1s,NYMEX
