instrument,venue,calendar,inception,n_present,n_missing_total,n_missing_early_close,n_missing_unexplained
cl1s,NYMEX,CMES,1990-01-02,8171,25,25,0
ho1s,NYMEX,CMES,1990-01-02,8169,26,25,1
rb1s,NYMEX,CMES,1990-01-02,8170,25,25,0
ng1s,NYMEX,CMES,1990-04-04,8104,26,25,1
gc1s,COMEX,CMES,1990-01-02,8170,25,24,1
si1s,COMEX,CMES,1990-01-02,8171,24,24,0
hg1s,COMEX,CMES,1990-01-02,8171,25,24,1
pl1s,COMEX,CMES,1990-01-02,8169,26,25,1
es1s,CME_EQ,CME_Equity,1997-09-09,6296,0,0,0
nq1s,CME_EQ,CME_Equity,1999-06-21,5845,0,0,0
fesx1s,EUREX,XEUR,1998-06-30,6108,38,36,2
