date,instrument,side,t1,ret,bin,trgt,h,pt_mult,sl_mult,sigma_method,avg_uniqueness
2020-01-03,es1s,1,2020-01-17,0.02766187606236037,1,0.020088530573475115,10,1.5,1.0,garch,0.2745343040797586
2020-01-06,es1s,1,2020-01-21,0.023431478342253564,1,0.020088530573475115,10,1.5,1.0,garch,0.19188967598058507
2020-01-07,es1s,1,2020-01-22,0.0261185379797777,1,0.020088530573475115,10,1.5,1.0,garch,0.15469959333595693
2020-01-08,es1s,1,2020-01-23,0.020167165097483508,1,0.020088530573475115,10,1.5,1.0,garch,0.132661025842844
2020-01-09,es1s,1,2020-01-24,0.0053418803424212236,1,0.020088530573475115,10,1.5,1.0,garch,0.11819821592548863
2020-01-10,es1s,1,2020-01-27,-0.007734129717607341,0,0.020088530573475115,10,1.5,1.0,garch,0.10828086055358782
2020-01-13,es1s,1,2020-01-28,-0.0034957063624379003,0,0.020088530573475115,10,1.5,1.0,garch,0.10828086055358783
2020-01-14,es1s,1,2020-01-29,-0.004714111921902964,0,0.020088530573475115,10,1.5,1.0,garch,0.11044536271809
2020-01-15,es1s,1,2020-01-30,-0.001214421250369635,0,0.020088530573475115,10,1.5,1.0,garch,0.1142332415059688
2020-01-16,es1s,1,2020-01-27,-0.02321724709736528,0,0.020088530573475115,10,1.5,1.0,garch,0.09220779220779222
2020-01-17,es1s,1,2020-01-27,-0.0257142857126903,0,0.020088530573475115,10,1.5,1.0,garch,0.09090909090909093
2020-01-21,es1s,1,2020-01-27,-0.02410001506143311,0,0.020088530573475115,10,1.5,1.0,garch,0.09090909090909091
2020-01-22,es1s,1,2020-01-27,-0.024173507041497122,0,0.020088530573475115,10,1.5,1.0,garch,0.09090909090909091
2020-01-23,es1s,1,2020-01-27,-0.02600721587541155,0,0.020088530573475115,10,1.5,1.0,garch,0.0909090909090909
2020-01-24,es1s,1,2020-01-31,-0.021102170942054466,0,0.020088530573475115,10,1.5,1.0,garch,0.1414141414141414
2020-01-27,es1s,1,2020-02-06,0.03264392653225978,1,0.020088530573475115,10,1.5,1.0,garch,0.14634439634439633
2020-01-28,es1s,1,2020-02-11,0.02417448333891392,1,0.020088530573475115,10,1.5,1.0,garch,0.14202741702741706
2020-01-29,es1s,1,2020-02-12,0.033002291824836494,1,0.020088530573475115,10,1.5,1.0,garch,0.13596681096681096
2020-01-30,es1s,1,2020-02-13,0.026673759404769237,1,0.020088530573475115,10,1.5,1.0,garch,0.12990620490620494
2020-01-31,es1s,1,2020-02-05,0.03442928039539339,1,0.020088530573475115,10,1.5,1.0,garch,0.15029761904761904
2020-02-03,es1s,1,2020-02-18,0.038129718071446383,1,0.03586183096336736,10,1.5,1.0,garch,0.11695854650400106
2020-02-04,es1s,-1,2020-02-19,-0.026594938627652054,0,0.03586183096336736,10,1.5,1.0,garch,0.11007149416240324
2020-02-05,es1s,1,2020-02-20,0.010269865067808803,1,0.03586183096336736,10,1.5,1.0,garch,0.10534894398530761
2020-02-06,es1s,1,2020-02-21,-0.001793587925448148,0,0.03586183096336736,10,1.5,1.0,garch,0.10224977043158862
2020-02-07,es1s,1,2020-02-24,-0.02984513606861039,0,0.03586183096336736,10,1.5,1.0,garch,0.0991505968778696
2020-02-10,es1s,1,2020-02-24,-0.03780196838618466,0,0.03586183096336736,10,1.5,1.0,garch,0.09656565656565656
2020-02-11,es1s,1,2020-02-24,-0.03909158600195406,0,0.03586183096336736,10,1.5,1.0,garch,0.09494949494949495
2020-02-12,es1s,1,2020-02-24,-0.045629344771940694,0,0.03586183096336736,10,1.5,1.0,garch,0.09431818181818183
2020-02-13,es1s,1,2020-02-24,-0.04478164322827172,0,0.03586183096336736,10,1.5,1.0,garch,0.09350649350649352
2020-02-14,es1s,1,2020-02-24,-0.04577048210569823,0,0.03586183096336736,10,1.5,1.0,garch,0.09242424242424245
2020-02-18,es1s,1,2020-02-24,-0.04244268012182517,0,0.03586183096336736,10,1.5,1.0,garch,0.09090909090909091
2020-02-19,es1s,1,2020-02-24,-0.04753118311313598,0,0.03586183096336736,10,1.5,1.0,garch,0.09090909090909091
2020-02-20,es1s,1,2020-02-24,-0.04244268012182517,0,0.03586183096336736,10,1.5,1.0,garch,0.0909090909090909
2020-02-21,es1s,1,2020-02-25,-0.06191510069489303,0,0.03586183096336736,10,1.5,1.0,garch,0.1717171717171717
2020-02-24,es1s,1,2020-02-26,-0.03595505617835193,0,0.03586183096336736,10,1.5,1.0,garch,0.25252525252525254
2020-02-25,es1s,1,2020-02-27,-0.05602553870826865,0,0.03586183096336736,10,1.5,1.0,garch,0.3333333333333333
2020-02-26,es1s,1,2020-02-27,-0.04927256651586298,0,0.03586183096336736,10,1.5,1.0,garch,0.3333333333333333
2020-02-27,es1s,1,2020-03-09,-0.07076428812838342,0,0.03586183096336736,10,1.5,1.0,garch,0.2657738095238095
2020-02-28,es1s,1,2020-03-04,0.05548966451816484,1,0.03586183096336736,10,1.5,1.0,garch,0.3208333333333333
2020-03-02,es1s,1,2020-03-09,-0.10350734094386027,0,0.03586183096336736,10,1.5,1.0,garch,0.21547619047619046
2020-03-03,es1s,1,2020-03-09,-0.08316649983295488,0,0.03586183096336736,10,1.5,1.0,garch,0.19190476190476188
2020-03-04,es1s,-1,2020-03-09,0.11782647082216102,1,0.07293162714100261,10,1.5,1.0,garch,0.17738095238095236
2020-03-05,es1s,-1,2020-03-12,0.18123031006523993,1,0.07293162714100261,10,1.5,1.0,garch,0.1876984126984127
2020-03-06,es1s,-1,2020-03-12,0.16700404858408047,1,0.07293162714100261,10,1.5,1.0,garch,0.18523809523809523
2020-03-09,es1s,1,2020-03-12,-0.10144663816016819,0,0.07293162714100261,10,1.5,1.0,garch,0.18988095238095237
2020-03-10,es1s,1,2020-03-12,-0.138445433133639,0,0.07293162714100261,10,1.5,1.0,garch,0.20555555555555557
2020-03-11,es1s,1,2020-03-12,-0.0989873186767356,0,0.07293162714100261,10,1.5,1.0,garch,0.18333333333333335
2020-03-12,es1s,1,2020-03-23,-0.09653500306204521,0,0.07293162714100261,10,1.5,1.0,garch,0.26458333333333334
2020-03-13,es1s,1,2020-03-16,-0.10376483679537396,0,0.07293162714100261,10,1.5,1.0,garch,0.41666666666666663
2020-03-16,es1s,1,2020-03-23,-0.07681114229143615,0,0.07293162714100261,10,1.5,1.0,garch,0.2416666666666667
2020-03-17,es1s,1,2020-03-20,-0.07925970629415469,0,0.07293162714100261,10,1.5,1.0,garch,0.23749999999999996
2020-03-18,es1s,1,2020-03-23,-0.07536956069133327,0,0.07293162714100261,10,1.5,1.0,garch,0.19583333333333333
2020-03-19,es1s,1,2020-04-02,0.05336961071632951,1,0.07293162714100261,10,1.5,1.0,garch,0.22575757575757577
2020-03-20,es1s,1,2020-03-26,0.1396110989697361,1,0.07293162714100261,10,1.5,1.0,garch,0.21666666666666665
2020-03-23,es1s,1,2020-03-25,0.11101103355118824,1,0.07293162714100261,10,1.5,1.0,garch,0.2222222222222222
2020-03-24,es1s,1,2020-04-07,0.08367514356204375,1,0.07293162714100261,10,1.5,1.0,garch,0.21677489177489176
2020-03-26,es1s,-1,2020-04-09,-0.0658550613487503,0,0.07293162714100261,10,1.5,1.0,garch,0.19404761904761905
2020-03-30,es1s,-1,2020-04-14,-0.08875059837320332,0,0.07293162714100261,10,1.5,1.0,garch,0.16536796536796536
2020-04-01,es1s,1,2020-04-08,0.11723856209170491,1,0.07293162714100261,10,1.5,1.0,garch,0.15436507936507937
2020-04-02,es1s,1,2020-04-17,0.14047287899842287,1,0.10999046416960635,10,1.5,1.0,garch,0.13228715728715731
2020-04-03,es1s,1,2020-04-20,0.13039975832991302,1,0.10999046416960635,10,1.5,1.0,garch,0.12622655122655124
2020-04-06,es1s,-1,2020-04-21,-0.03308754017547444,0,0.10999046416960635,10,1.5,1.0,garch,0.12016594516594518
2020-04-07,es1s,-1,2020-04-22,-0.055450416351444654,0,0.10999046416960635,10,1.5,1.0,garch,0.11626984126984129
2020-04-08,es1s,-1,2020-04-23,-0.01672760511850413,0,0.10999046416960635,10,1.5,1.0,garch,0.11399711399711401
2020-04-09,es1s,-1,2020-04-24,-0.01789729292327613,0,0.10999046416960635,10,1.5,1.0,garch,0.11172438672438673
2020-04-14,es1s,-1,2020-04-28,-0.008529722123980843,0,0.10999046416960635,10,1.5,1.0,garch,0.10757575757575757
2020-04-15,es1s,-1,2020-04-29,-0.059819819817474196,0,0.10999046416960635,10,1.5,1.0,garch,0.10631313131313132
2020-04-16,es1s,-1,2020-04-30,-0.04125560538375406,0,0.10999046416960635,10,1.5,1.0,garch,0.10505050505050506
2020-04-17,es1s,-1,2020-05-01,0.016811846690030552,1,0.10999046416960635,10,1.5,1.0,garch,0.10505050505050506
2020-04-20,es1s,-1,2020-05-04,-0.006680919295545484,0,0.10999046416960635,10,1.5,1.0,garch,0.10606060606060606
2020-04-21,es1s,1,2020-05-05,0.046211566620226074,1,0.10999046416960635,10,1.5,1.0,garch,0.10707070707070708
2020-04-22,es1s,1,2020-05-06,0.016137708444544208,1,0.10999046416960635,10,1.5,1.0,garch,0.10808080808080808
2020-04-23,es1s,1,2020-05-07,0.03569180976296038,1,0.10999046416960635,10,1.5,1.0,garch,0.10909090909090911
2020-04-24,es1s,-1,2020-05-08,-0.034988513872397764,0,0.10999046416960635,10,1.5,1.0,garch,0.11136363636363637
2020-04-29,es1s,-1,2020-05-13,0.04352261135488067,1,0.10999046416960635,10,1.5,1.0,garch,0.11262626262626263
2020-04-30,es1s,-1,2020-05-14,0.01912144703089902,1,0.10999046416960635,10,1.5,1.0,garch,0.11161616161616163
2020-05-01,es1s,1,2020-05-15,0.0087711526546983,1,0.10999046416960635,10,1.5,1.0,garch,0.11060606060606061
2020-05-04,es1s,1,2020-05-18,0.043447482526232095,1,0.0566652079095556,10,1.5,1.0,garch,0.10959595959595961
2020-05-05,es1s,1,2020-05-19,0.02116679786505804,1,0.0566652079095556,10,1.5,1.0,garch,0.1095959595959596
2020-05-06,es1s,1,2020-05-20,0.047644256217733494,1,0.0566652079095556,10,1.5,1.0,garch,0.1095959595959596
2020-05-07,es1s,1,2020-05-21,0.019791666666166385,1,0.0566652079095556,10,1.5,1.0,garch,0.10959595959595961
2020-05-11,es1s,-1,2020-05-26,-0.02454879822395406,0,0.0566652079095556,10,1.5,1.0,garch,0.10732323232323235
2020-05-12,es1s,1,2020-05-27,0.06415425065615099,1,0.0566652079095556,10,1.5,1.0,garch,0.10505050505050506
2020-05-13,es1s,1,2020-05-28,0.07998578030574977,1,0.0566652079095556,10,1.5,1.0,garch,0.10404040404040406
2020-05-14,es1s,1,2020-05-29,0.06849315068834327,1,0.0566652079095556,10,1.5,1.0,garch,0.10404040404040406
2020-05-15,es1s,1,2020-06-01,0.07289653961125464,1,0.0566652079095556,10,1.5,1.0,garch,0.10404040404040406
2020-05-18,es1s,1,2020-06-02,0.04375848032306551,1,0.0566652079095556,10,1.5,1.0,garch,0.10404040404040406
2020-05-20,es1s,-1,2020-06-04,-0.04783560721021063,0,0.0566652079095556,10,1.5,1.0,garch,0.10303030303030304
2020-05-21,es1s,-1,2020-06-03,-0.06154239019536201,0,0.0566652079095556,10,1.5,1.0,garch,0.10246913580246914
2020-05-22,es1s,-1,2020-06-05,-0.07915678970887985,0,0.0566652079095556,10,1.5,1.0,garch,0.10111111111111111
