date,instrument,f16_regime_alignment_score
2020-01-03,es1s,
2020-01-06,es1s,
2020-01-07,es1s,
2020-01-08,es1s,
2020-01-09,es1s,
2020-01-10,es1s,
2020-01-13,es1s,
2020-01-14,es1s,
2020-01-15,es1s,
2020-01-16,es1s,
2020-01-17,es1s,
2020-01-21,es1s,
2020-01-22,es1s,
2020-01-23,es1s,
2020-01-24,es1s,
2020-01-27,es1s,
2020-01-28,es1s,
2020-01-29,es1s,
2020-01-30,es1s,
2020-01-31,es1s,
2020-02-03,es1s,
2020-02-04,es1s,
2020-02-05,es1s,
2020-02-06,es1s,
2020-02-07,es1s,
2020-02-10,es1s,
2020-02-11,es1s,
2020-02-12,es1s,
2020-02-13,es1s,
2020-02-14,es1s,
2020-02-18,es1s,
2020-02-19,es1s,
2020-02-20,es1s,
2020-02-21,es1s,
2020-02-24,es1s,
2020-02-25,es1s,
2020-02-26,es1s,
2020-02-27,es1s,
2020-02-28,es1s,
2020-03-02,es1s,
2020-03-03,es1s,
2020-03-04,es1s,
2020-03-05,es1s,
2020-03-06,es1s,
2020-03-09,es1s,
2020-03-10,es1s,
2020-03-11,es1s,
2020-03-12,es1s,
2020-03-13,es1s,
2020-03-16,es1s,
2020-03-17,es1s,
2020-03-18,es1s,
2020-03-19,es1s,
2020-03-20,es1s,
2020-03-23,es1s,
2020-03-24,es1s,
2020-03-26,es1s,
2020-03-30,es1s,
2020-04-01,es1s,
2020-04-02,es1s,
2020-04-03,es1s,
2020-04-06,es1s,
2020-04-07,es1s,
2020-04-08,es1s,
2020-04-09,es1s,
2020-04-14,es1s,
2020-04-15,es1s,
2020-04-16,es1s,
2020-04-17,es1s,
2020-04-20,es1s,
2020-04-21,es1s,
2020-04-22,es1s,
2020-04-23,es1s,
2020-04-24,es1s,
2020-04-29,es1s,
2020-04-30,es1s,
2020-05-01,es1s,
2020-05-04,es1s,
2020-05-05,es1s,
2020-05-06,es1s,
2020-05-07,es1s,
2020-05-11,es1s,
2020-05-12,es1s,
2020-05-13,es1s,
2020-05-14,es1s,
2020-05-15,es1s,
2020-05-18,es1s,
2020-05-20,es1s,
2020-05-21,es1s,
2020-05-22,es1s,
2020-05-26,es1s,
2020-05-27,es1s,
2020-05-28,es1s,
2020-05-29,es1s,
2020-06-01,es1s,
2020-06-02,es1s,
2020-06-03,es1s,
2020-06-04,es1s,
2020-06-05,es1s,
2020-06-08,es1s,
2020-06-09,es1s,
2020-06-10,es1s,
2020-06-11,es1s,
2020-06-12,es1s,
2020-06-15,es1s,
2020-06-16,es1s,
2020-06-17,es1s,
2020-06-18,es1s,
2020-06-19,es1s,
2020-06-22,es1s,
2020-06-23,es1s,
2020-06-24,es1s,
2020-06-25,es1s,
2020-06-26,es1s,
2020-06-29,es1s,
2020-06-30,es1s,
2020-07-01,es1s,
2020-07-02,es1s,
2020-07-08,es1s,
2020-07-10,es1s,
2020-07-13,es1s,
2020-07-16,es1s,
2020-07-17,es1s,
2020-07-20,es1s,
2020-07-21,es1s,
2020-07-22,es1s,
2020-07-23,es1s,
2020-07-24,es1s,
2020-07-28,es1s,
2020-07-29,es1s,
2020-07-30,es1s,
2020-07-31,es1s,
2020-08-03,es1s,
2020-08-04,es1s,
2020-08-05,es1s,
2020-08-06,es1s,
2020-08-07,es1s,
2020-08-11,es1s,
2020-08-12,es1s,
2020-08-13,es1s,
2020-08-17,es1s,
2020-08-18,es1s,
2020-08-19,es1s,
2020-08-20,es1s,
2020-08-21,es1s,
2020-08-25,es1s,
2020-08-26,es1s,
2020-08-27,es1s,
2020-08-28,es1s,
2020-08-31,es1s,
2020-09-01,es1s,
2020-09-02,es1s,
2020-09-03,es1s,
2020-09-04,es1s,
2020-09-08,es1s,
2020-09-09,es1s,
2020-09-10,es1s,
2020-09-11,es1s,
2020-09-14,es1s,
2020-09-15,es1s,
2020-09-16,es1s,
2020-09-17,es1s,
2020-09-18,es1s,
2020-09-21,es1s,
2020-09-22,es1s,
2020-09-23,es1s,
2020-09-24,es1s,
2020-09-25,es1s,
2020-09-28,es1s,
2020-09-29,es1s,
2020-09-30,es1s,
2020-10-01,es1s,
2020-10-02,es1s,
2020-10-05,es1s,
2020-10-06,es1s,
2020-10-07,es1s,
