date,instrument,f5_signal,f5_abs_signal,f5_trailing_run_length,f5_days_since_flip,f5_days_since_nonzero,f5_participation_20,f5_participation_60,f5_long_bias_20,f5_sign_agree_mr,f5_signal_entropy_20,f5_flip_rate_60
2020-01-03,es1s,1.0,1.0,1.0,0.0,0.0,,,,1.0,,
2020-01-06,es1s,1.0,1.0,2.0,1.0,0.0,,,,1.0,,
2020-01-07,es1s,1.0,1.0,3.0,2.0,0.0,,,,1.0,,
2020-01-08,es1s,1.0,1.0,4.0,3.0,0.0,,,,1.0,,
2020-01-09,es1s,1.0,1.0,5.0,4.0,0.0,,,,-1.0,,
2020-01-10,es1s,1.0,1.0,6.0,5.0,0.0,,,,1.0,,
2020-01-13,es1s,1.0,1.0,7.0,6.0,0.0,,,,-1.0,,
2020-01-14,es1s,1.0,1.0,8.0,7.0,0.0,,,,1.0,,
2020-01-15,es1s,1.0,1.0,9.0,8.0,0.0,,,,1.0,,
2020-01-16,es1s,1.0,1.0,10.0,9.0,0.0,,,,-1.0,,
2020-01-17,es1s,1.0,1.0,11.0,10.0,0.0,,,,-1.0,,
2020-01-21,es1s,1.0,1.0,1.0,0.0,0.0,,,,-1.0,,
2020-01-22,es1s,1.0,1.0,2.0,1.0,0.0,,,,-1.0,,
2020-01-23,es1s,1.0,1.0,3.0,2.0,0.0,,,,-1.0,,
2020-01-24,es1s,1.0,1.0,4.0,3.0,0.0,,,,1.0,,
2020-01-27,es1s,1.0,1.0,5.0,4.0,0.0,,,,1.0,,
2020-01-28,es1s,1.0,1.0,6.0,5.0,0.0,,,,1.0,,
2020-01-29,es1s,1.0,1.0,7.0,6.0,0.0,,,,1.0,,
2020-01-30,es1s,1.0,1.0,8.0,7.0,0.0,0.95,,0.95,1.0,0.1985152433458726,
2020-01-31,es1s,1.0,1.0,9.0,8.0,0.0,0.95,,0.95,1.0,0.1985152433458726,
2020-02-03,es1s,1.0,1.0,10.0,9.0,0.0,0.95,,0.95,1.0,0.1985152433458726,
2020-02-04,es1s,-1.0,1.0,1.0,0.0,0.0,0.95,,0.85,-1.0,0.39439769144744274,
2020-02-05,es1s,1.0,1.0,1.0,0.0,0.0,0.95,,0.85,-1.0,0.39439769144744274,
2020-02-06,es1s,1.0,1.0,2.0,1.0,0.0,0.95,,0.85,-1.0,0.39439769144744274,
2020-02-07,es1s,1.0,1.0,3.0,2.0,0.0,0.95,,0.85,-1.0,0.39439769144744274,
2020-02-10,es1s,1.0,1.0,4.0,3.0,0.0,0.95,,0.85,-1.0,0.39439769144744274,
2020-02-11,es1s,1.0,1.0,5.0,4.0,0.0,0.95,,0.85,-1.0,0.39439769144744274,
2020-02-12,es1s,1.0,1.0,6.0,5.0,0.0,0.95,,0.85,-1.0,0.39439769144744274,
2020-02-13,es1s,1.0,1.0,7.0,6.0,0.0,0.95,,0.85,-1.0,0.39439769144744274,
2020-02-14,es1s,1.0,1.0,8.0,7.0,0.0,0.95,,0.85,-1.0,0.39439769144744274,
2020-02-18,es1s,1.0,1.0,1.0,0.0,0.0,0.95,,0.85,-1.0,0.39439769144744274,
2020-02-19,es1s,1.0,1.0,2.0,1.0,0.0,0.95,,0.85,-1.0,0.39439769144744274,
2020-02-20,es1s,1.0,1.0,3.0,2.0,0.0,0.95,,0.85,-1.0,0.39439769144744274,
2020-02-21,es1s,1.0,1.0,4.0,3.0,0.0,0.95,,0.85,1.0,0.39439769144744274,
2020-02-24,es1s,1.0,1.0,5.0,4.0,0.0,0.95,,0.85,1.0,0.39439769144744274,
2020-02-25,es1s,1.0,1.0,6.0,5.0,0.0,0.95,,0.85,1.0,0.39439769144744274,
2020-02-26,es1s,1.0,1.0,7.0,6.0,0.0,0.95,,0.85,1.0,0.39439769144744274,
2020-02-27,es1s,1.0,1.0,8.0,7.0,0.0,0.95,,0.85,1.0,0.39439769144744274,
2020-02-28,es1s,1.0,1.0,9.0,8.0,0.0,0.95,,0.85,1.0,0.39439769144744274,
2020-03-02,es1s,1.0,1.0,10.0,9.0,0.0,0.95,,0.85,1.0,0.39439769144744274,
2020-03-03,es1s,1.0,1.0,11.0,10.0,0.0,0.95,,0.95,1.0,0.1985152433458726,
2020-03-04,es1s,-1.0,1.0,1.0,0.0,0.0,0.95,,0.85,-1.0,0.39439769144744274,
2020-03-05,es1s,-1.0,1.0,2.0,1.0,0.0,0.95,,0.75,-1.0,0.5181862130502128,
2020-03-06,es1s,-1.0,1.0,3.0,2.0,0.0,0.95,,0.65,-1.0,0.6128694524619496,
2020-03-09,es1s,1.0,1.0,1.0,0.0,0.0,0.95,,0.65,1.0,0.6128694524619496,
2020-03-10,es1s,1.0,1.0,2.0,1.0,0.0,0.95,,0.65,1.0,0.6128694524619496,
2020-03-11,es1s,1.0,1.0,3.0,2.0,0.0,0.95,,0.65,1.0,0.6128694524619496,
2020-03-12,es1s,1.0,1.0,4.0,3.0,0.0,0.95,,0.65,1.0,0.6128694524619496,
2020-03-13,es1s,1.0,1.0,5.0,4.0,0.0,0.95,,0.65,1.0,0.6128694524619496,
2020-03-16,es1s,1.0,1.0,6.0,5.0,0.0,1.0,,0.7,1.0,0.42270908780599087,
2020-03-17,es1s,1.0,1.0,7.0,6.0,0.0,1.0,,0.7,1.0,0.42270908780599087,
2020-03-18,es1s,1.0,1.0,8.0,7.0,0.0,1.0,,0.7,1.0,0.42270908780599087,
2020-03-19,es1s,1.0,1.0,9.0,8.0,0.0,1.0,,0.7,1.0,0.42270908780599087,
2020-03-20,es1s,1.0,1.0,10.0,9.0,0.0,1.0,,0.7,1.0,0.42270908780599087,
2020-03-23,es1s,1.0,1.0,11.0,10.0,0.0,1.0,,0.7,1.0,0.42270908780599087,
2020-03-24,es1s,1.0,1.0,12.0,11.0,0.0,1.0,,0.7,-1.0,0.42270908780599087,
2020-03-26,es1s,-1.0,1.0,1.0,0.0,0.0,0.95,0.95,0.55,1.0,0.6874357505033554,
2020-03-30,es1s,-1.0,1.0,1.0,0.0,0.0,0.9,0.9333333333333333,0.4,1.0,0.8568409950394724,0.2
2020-04-01,es1s,1.0,1.0,1.0,0.0,0.0,0.85,0.9166666666666666,0.45,-1.0,0.8864644756797975,0.23333333333333334
2020-04-02,es1s,1.0,1.0,2.0,1.0,0.0,0.85,0.9166666666666666,0.55,-1.0,0.818808456222877,0.23333333333333334
2020-04-03,es1s,1.0,1.0,3.0,2.0,0.0,0.85,0.9166666666666666,0.65,-1.0,0.7305880613711224,0.23333333333333334
2020-04-06,es1s,-1.0,1.0,1.0,0.0,0.0,0.85,0.9166666666666666,0.55,1.0,0.818808456222877,0.25
2020-04-07,es1s,-1.0,1.0,2.0,1.0,0.0,0.85,0.9166666666666666,0.45,1.0,0.8864644756797975,0.25
2020-04-08,es1s,-1.0,1.0,3.0,2.0,0.0,0.85,0.9166666666666666,0.35,1.0,0.9376369622724492,0.25
2020-04-09,es1s,-1.0,1.0,4.0,3.0,0.0,0.85,0.9166666666666666,0.25,1.0,0.9745701894462542,0.25
2020-04-14,es1s,-1.0,1.0,1.0,0.0,0.0,0.8,0.9166666666666666,0.1,1.0,1.0486537893593546,0.26666666666666666
2020-04-15,es1s,-1.0,1.0,2.0,1.0,0.0,0.8,0.9166666666666666,0.0,1.0,1.0549201679861442,0.25
2020-04-16,es1s,-1.0,1.0,3.0,2.0,0.0,0.8,0.9166666666666666,-0.1,1.0,1.0486537893593546,0.25
2020-04-17,es1s,-1.0,1.0,4.0,3.0,0.0,0.8,0.9166666666666666,-0.2,1.0,1.0296530140645737,0.25
2020-04-20,es1s,-1.0,1.0,5.0,4.0,0.0,0.8,0.9166666666666666,-0.3,1.0,0.9972715231823841,0.25
2020-04-21,es1s,1.0,1.0,1.0,0.0,0.0,0.8,0.9166666666666666,-0.3,-1.0,0.9972715231823841,0.26666666666666666
2020-04-22,es1s,1.0,1.0,2.0,1.0,0.0,0.8,0.9166666666666666,-0.3,-1.0,0.9972715231823841,0.26666666666666666
2020-04-23,es1s,1.0,1.0,3.0,2.0,0.0,0.85,0.9166666666666666,-0.25,1.0,0.9745701894462542,0.26666666666666666
2020-04-24,es1s,-1.0,1.0,1.0,0.0,0.0,0.85,0.9166666666666666,-0.25,1.0,0.9745701894462542,0.2833333333333333
2020-04-29,es1s,-1.0,1.0,1.0,0.0,0.0,0.85,0.8833333333333333,-0.25,1.0,0.9745701894462542,0.3
2020-04-30,es1s,-1.0,1.0,2.0,1.0,0.0,0.85,0.8833333333333333,-0.35,-1.0,0.9376369622724492,0.2833333333333333
2020-05-01,es1s,1.0,1.0,1.0,0.0,0.0,0.85,0.8833333333333333,-0.35,1.0,0.9376369622724492,0.3
2020-05-04,es1s,1.0,1.0,2.0,1.0,0.0,0.85,0.8833333333333333,-0.35,1.0,0.9376369622724492,0.3
2020-05-05,es1s,1.0,1.0,3.0,2.0,0.0,0.85,0.8833333333333333,-0.25,1.0,0.9745701894462542,0.3
2020-05-06,es1s,1.0,1.0,4.0,3.0,0.0,0.85,0.8833333333333333,-0.15,1.0,0.9985793315873921,0.3
2020-05-07,es1s,1.0,1.0,5.0,4.0,0.0,0.85,0.8833333333333333,-0.05,1.0,1.0104127537805414,0.3
2020-05-11,es1s,-1.0,1.0,1.0,0.0,0.0,0.85,0.8666666666666667,-0.05,-1.0,1.0104127537805414,0.3333333333333333
2020-05-12,es1s,1.0,1.0,1.0,0.0,0.0,0.85,0.8833333333333333,0.05,1.0,1.0104127537805414,0.3333333333333333
2020-05-13,es1s,1.0,1.0,2.0,1.0,0.0,0.85,0.8833333333333333,0.15,1.0,0.9985793315873921,0.31666666666666665
2020-05-14,es1s,1.0,1.0,3.0,2.0,0.0,0.85,0.8833333333333333,0.25,1.0,0.9745701894462542,0.31666666666666665
2020-05-15,es1s,1.0,1.0,4.0,3.0,0.0,0.85,0.8833333333333333,0.35,1.0,0.9376369622724492,0.31666666666666665
2020-05-18,es1s,1.0,1.0,5.0,4.0,0.0,0.85,0.8833333333333333,0.45,-1.0,0.8864644756797975,0.31666666666666665
2020-05-20,es1s,-1.0,1.0,1.0,0.0,0.0,0.8,0.8666666666666667,0.3,1.0,0.997271523182384,0.35
2020-05-21,es1s,-1.0,1.0,2.0,1.0,0.0,0.8,0.8666666666666667,0.2,-1.0,1.0296530140645737,0.35
2020-05-22,es1s,-1.0,1.0,3.0,2.0,0.0,0.8,0.8666666666666667,0.2,1.0,1.0296530140645737,0.35
2020-05-26,es1s,-1.0,1.0,1.0,0.0,0.0,0.85,0.85,0.15,1.0,0.9985793315873921,0.38333333333333336
2020-05-27,es1s,-1.0,1.0,2.0,1.0,0.0,0.85,0.85,0.15,1.0,0.9985793315873921,0.38333333333333336
2020-05-28,es1s,-1.0,1.0,3.0,2.0,0.0,0.85,0.85,0.15,1.0,0.9985793315873921,0.36666666666666664
2020-05-29,es1s,-1.0,1.0,4.0,3.0,0.0,0.85,0.85,0.05,1.0,1.0104127537805414,0.36666666666666664
2020-06-01,es1s,-1.0,1.0,5.0,4.0,0.0,0.85,0.85,-0.05,1.0,1.0104127537805414,0.36666666666666664
2020-06-02,es1s,-1.0,1.0,6.0,5.0,0.0,0.85,0.85,-0.15,1.0,0.9985793315873921,0.35
2020-06-03,es1s,-1.0,1.0,7.0,6.0,0.0,0.85,0.85,-0.25,1.0,0.9745701894462542,0.35
2020-06-04,es1s,-1.0,1.0,8.0,7.0,0.0,0.85,0.85,-0.35,1.0,0.9376369622724492,0.35
2020-06-05,es1s,-1.0,1.0,9.0,8.0,0.0,0.9,0.85,-0.4,1.0,0.8568409950394724,0.35
2020-06-08,es1s,-1.0,1.0,10.0,9.0,0.0,0.9,0.85,-0.4,1.0,0.8568409950394724,0.35
2020-06-09,es1s,-1.0,1.0,11.0,10.0,0.0,0.9,0.85,-0.5,1.0,0.8018185525433373,0.35
2020-06-10,es1s,-1.0,1.0,12.0,11.0,0.0,0.9,0.85,-0.6,1.0,0.7305880613711224,0.35
2020-06-11,es1s,1.0,1.0,1.0,0.0,0.0,0.9,0.85,-0.6,1.0,0.7305880613711224,0.36666666666666664
2020-06-12,es1s,1.0,1.0,2.0,1.0,0.0,0.9,0.85,-0.6,1.0,0.7305880613711224,0.36666666666666664
2020-06-15,es1s,1.0,1.0,3.0,2.0,0.0,0.9,0.85,-0.6,1.0,0.7305880613711224,0.36666666666666664
2020-06-16,es1s,1.0,1.0,4.0,3.0,0.0,0.95,0.85,-0.55,1.0,0.6874357505033553,0.36666666666666664
2020-06-17,es1s,1.0,1.0,5.0,4.0,0.0,0.95,0.85,-0.45,1.0,0.7460326647147848,0.36666666666666664
2020-06-18,es1s,1.0,1.0,6.0,5.0,0.0,0.95,0.8666666666666667,-0.35,1.0,0.7909873504355757,0.35
2020-06-19,es1s,1.0,1.0,7.0,6.0,0.0,0.95,0.8666666666666667,-0.25,1.0,0.8237197315118312,0.3333333333333333
2020-06-22,es1s,1.0,1.0,8.0,7.0,0.0,1.0,0.8833333333333333,-0.2,1.0,0.6730116670092565,0.31666666666666665
2020-06-23,es1s,1.0,1.0,9.0,8.0,0.0,1.0,0.8833333333333333,-0.1,1.0,0.6881388137135884,0.3
2020-06-24,es1s,1.0,1.0,10.0,9.0,0.0,1.0,0.9,0.0,1.0,0.6931471805599453,0.2833333333333333
2020-06-25,es1s,1.0,1.0,11.0,10.0,0.0,1.0,0.9,0.1,1.0,0.6881388137135884,0.26666666666666666
2020-06-26,es1s,1.0,1.0,12.0,11.0,0.0,1.0,0.9,0.2,1.0,0.6730116670092565,0.26666666666666666
