date,category,scope,venue_group,label,n_missing,n_active,affected_instruments
1990-02-19,full_holiday,global,ALL,Presidents' Day,7,7,"cl1s,gc1s,hg1s,ho1s,pl1s,rb1s,si1s"
1990-04-13,full_holiday,global,ALL,Good Friday,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1990-05-28,full_holiday,global,ALL,Memorial Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1990-07-04,full_holiday,global,ALL,Independence Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1990-09-03,full_holiday,global,ALL,Labor Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1990-09-04,glitch,exchange_specific,US_FUTURES,,1,8,gc1s
1990-11-22,full_holiday,global,ALL,Thanksgiving Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1990-12-24,early_close,global,ALL,Christmas Eve (early close),8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1990-12-25,full_holiday,global,ALL,Christmas Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1991-01-01,full_holiday,global,ALL,New Year's Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1991-02-18,full_holiday,global,ALL,Presidents' Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1991-03-29,full_holiday,global,ALL,Good Friday,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1991-04-19,glitch,exchange_specific,US_FUTURES,,1,8,hg1s
1991-05-27,full_holiday,global,ALL,Memorial Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1991-07-04,full_holiday,global,ALL,Independence Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1991-07-05,early_close,exchange_specific,US_FUTURES,July 5 (Independence Day Friday bridge),3,8,"gc1s,hg1s,si1s"
1991-09-02,full_holiday,global,ALL,Labor Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1991-11-28,full_holiday,global,ALL,Thanksgiving Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1991-12-25,full_holiday,global,ALL,Christmas Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1992-01-01,full_holiday,global,ALL,New Year's Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1992-02-17,full_holiday,global,ALL,Presidents' Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1992-04-17,full_holiday,global,ALL,Good Friday,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1992-05-25,full_holiday,global,ALL,Memorial Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1992-07-03,full_holiday,global,ALL,Independence Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1992-09-07,full_holiday,global,ALL,Labor Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1992-09-08,glitch,exchange_specific,US_FUTURES,,1,8,ho1s
1992-11-26,full_holiday,global,ALL,Thanksgiving Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1992-11-27,early_close,exchange_specific,US_FUTURES,Day after Thanksgiving (early close),5,8,"cl1s,ho1s,ng1s,pl1s,rb1s"
1992-12-24,early_close,exchange_specific,US_FUTURES,Christmas Eve (early close),5,8,"cl1s,ho1s,ng1s,pl1s,rb1s"
1992-12-25,full_holiday,global,ALL,Christmas Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1993-01-01,full_holiday,global,ALL,New Year's Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1993-02-15,full_holiday,global,ALL,Presidents' Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1993-04-09,full_holiday,global,ALL,Good Friday,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1993-05-31,full_holiday,global,ALL,Memorial Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1993-06-24,glitch,exchange_specific,US_FUTURES,,1,8,pl1s
1993-07-05,full_holiday,global,ALL,Independence Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1993-09-06,full_holiday,global,ALL,Labor Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1993-11-25,full_holiday,global,ALL,Thanksgiving Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1993-11-26,early_close,global,ALL,Day after Thanksgiving (early close),8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1993-12-24,full_holiday,global,ALL,Christmas Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1993-12-31,full_holiday,global,ALL,New Year's Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1994-02-21,full_holiday,global,ALL,Presidents' Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1994-04-01,full_holiday,global,ALL,Good Friday,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1994-04-27,full_holiday,global,ALL,Nixon state funeral,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1994-05-30,full_holiday,global,ALL,Memorial Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1994-07-04,full_holiday,global,ALL,Independence Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1994-09-05,full_holiday,global,ALL,Labor Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1994-11-24,full_holiday,global,ALL,Thanksgiving Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1994-11-25,early_close,global,ALL,Day after Thanksgiving (early close),8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1994-12-26,full_holiday,global,ALL,Christmas Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1995-01-02,full_holiday,global,ALL,New Year's Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1995-02-20,full_holiday,global,ALL,Presidents' Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1995-04-14,full_holiday,global,ALL,Good Friday,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1995-05-29,full_holiday,global,ALL,Memorial Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1995-07-03,early_close,global,ALL,July 3 (pre-Independence Day early close),8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1995-07-04,full_holiday,global,ALL,Independence Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1995-09-04,full_holiday,global,ALL,Labor Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1995-11-23,full_holiday,global,ALL,Thanksgiving Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
