date,year,holiday_name,holiday_type,venue_scope,venues_closed,observed_scope,n_missing,n_active,affected_instruments
1990-02-19,1990,Presidents' Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,global,7,7,"cl1s,gc1s,hg1s,ho1s,pl1s,rb1s,si1s"
1990-04-13,1990,Good Friday,recurring,global,NYMEX/COMEX+CME_EQ+EUREX,global,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1990-05-28,1990,Memorial Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,global,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1990-07-04,1990,Independence Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,global,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1990-09-03,1990,Labor Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,global,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1990-11-22,1990,Thanksgiving Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,global,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1990-12-25,1990,Christmas Day,recurring,global,NYMEX/COMEX+CME_EQ+EUREX,global,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1991-01-01,1991,New Year's Day,recurring,global,NYMEX/COMEX+CME_EQ+EUREX,global,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1991-02-18,1991,Presidents' Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,global,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1991-03-29,1991,Good Friday,recurring,global,NYMEX/COMEX+CME_EQ+EUREX,global,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1991-05-27,1991,Memorial Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,global,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1991-07-04,1991,Independence Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,global,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1991-09-02,1991,Labor Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,global,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1991-11-28,1991,Thanksgiving Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,global,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1991-12-25,1991,Christmas Day,recurring,global,NYMEX/COMEX+CME_EQ+EUREX,global,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1992-01-01,1992,New Year's Day,recurring,global,NYMEX/COMEX+CME_EQ+EUREX,global,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1992-02-17,1992,Presidents' Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,global,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
