date,instrument,side,t1,ret,bin,trgt,h,pt_mult,sl_mult,avg_uniqueness
2020-01-03,es1s,1,2020-01-17,0.02766187606236037,1,0.017085521414142837,10,1.5,1.0,0.27536075036075036
2020-01-06,es1s,1,2020-01-21,0.023431478342253564,1,0.01676473614336343,10,1.5,1.0,0.19354256854256854
2020-01-07,es1s,1,2020-01-16,0.025113978825876515,1,0.01660318684117633,10,1.5,1.0,0.17862103174603172
2020-01-08,es1s,1,2020-01-23,0.020167165097483508,1,0.016776109991357372,10,1.5,1.0,0.13514036468581925
2020-01-09,es1s,1,2020-01-24,0.0053418803424212236,1,0.01658095992382406,10,1.5,1.0,0.12067755476846384
2020-01-10,es1s,1,2020-01-27,-0.007734129717607341,0,0.016541287384242657,10,1.5,1.0,0.11076019939656302
2020-01-13,es1s,1,2020-01-28,-0.0034957063624379003,0,0.016677731564188742,10,1.5,1.0,0.11833595697232062
2020-01-14,es1s,1,2020-01-29,-0.004714111921902964,0,0.016399565580791826,10,1.5,1.0,0.12807621671258038
2020-01-15,es1s,1,2020-01-27,-0.016470588232733174,0,0.016075567343458688,10,1.5,1.0,0.09797979797979797
2020-01-16,es1s,1,2020-01-27,-0.02321724709736528,0,0.016106586521213825,10,1.5,1.0,0.09610389610389612
2020-01-17,es1s,1,2020-01-27,-0.0257142857126903,0,0.015796333556391907,10,1.5,1.0,0.09545454545454547
2020-01-21,es1s,1,2020-01-27,-0.02410001506143311,0,0.01562652942392147,10,1.5,1.0,0.09454545454545456
2020-01-22,es1s,1,2020-01-27,-0.024173507041497122,0,0.015346710090857077,10,1.5,1.0,0.0931818181818182
2020-01-23,es1s,1,2020-01-27,-0.02600721587541155,0,0.015044160980629996,10,1.5,1.0,0.0909090909090909
2020-01-24,es1s,1,2020-01-27,-0.01639593137951456,0,0.01634889948337299,10,1.5,1.0,0.09090909090909091
2020-01-27,es1s,1,2020-02-05,0.029479858001406845,1,0.019405872743115844,10,1.5,1.0,0.19380411255411256
2020-01-28,es1s,1,2020-02-11,0.02417448333891392,1,0.02030630812568229,10,1.5,1.0,0.18012265512265513
