instrument,date,t1,partition,side,sigma,pt,sl,h,ret,label,touch
cl1s,2020-01-07,2020-01-08,train,-1.0,0.009756523529109662,0.25,0.25,1,0.04928229671059314,1,pt
cl1s,2020-01-22,2020-01-23,train,-1.0,0.016239904694456127,0.25,0.25,1,0.020267888575167148,1,pt
cl1s,2020-01-23,2020-01-24,train,-1.0,0.016647881557833574,0.25,0.25,1,0.025184385302462364,1,pt
cl1s,2020-01-24,2020-01-27,train,-1.0,0.016951020367699493,0.25,0.25,1,0.019376268955035747,1,pt
cl1s,2020-01-27,2020-01-28,train,-1.0,0.016805740530172676,0.25,0.25,1,-0.006398193361042415,0,sl
cl1s,2020-01-28,2020-01-29,train,-1.0,0.016999260252895568,0.25,0.25,1,0.002804786810479243,1,vert
cl1s,2020-01-29,2020-01-30,train,-1.0,0.01696232223016401,0.25,0.25,1,0.022313894536648782,1,pt
cl1s,2020-01-30,2020-01-31,train,-1.0,0.017296431222037056,0.25,0.25,1,0.011123897349132439,1,pt
cl1s,2020-01-31,2020-02-03,train,-1.0,0.017150194175581383,0.25,0.25,1,0.02812257554289843,1,pt
cl1s,2020-02-05,2020-02-06,train,1.0,0.01661335686735026,0.25,0.25,1,0.003940886499662621,1,vert
cl1s,2020-02-06,2020-02-07,train,1.0,0.013976826750913846,0.25,0.25,1,-0.01236506376910318,0,sl
cl1s,2020-02-07,2020-02-10,train,1.0,0.013910074694196448,0.25,0.25,1,-0.014904610352941883,0,sl
cl1s,2020-02-10,2020-02-11,train,1.0,0.013987442382664327,0.25,0.25,1,0.00746419204692228,1,pt
cl1s,2020-02-11,2020-02-12,train,1.0,0.014314738620807217,0.25,0.25,1,0.02462955533085376,1,pt
cl1s,2020-02-12,2020-02-13,train,1.0,0.015868851140288028,0.25,0.25,1,0.0048856753152421994,1,pt
cl1s,2020-02-13,2020-02-14,train,1.0,0.016068589059082854,0.25,0.25,1,0.012775842016812478,1,pt
cl1s,2020-02-14,2020-02-18,train,1.0,0.01611818411788619,0.25,0.25,1,-0.0005733944511078226,0,vert
cl1s,2020-02-18,2020-02-19,train,1.0,0.01609011482033813,0.25,0.25,1,0.02294893826027855,1,pt
