scope,instrument,date,t1,partition,side,sigma,pt,sl,h,ret,label,touch
global,cl1s,2020-01-07,2020-01-08,train,-1.0,0.009756523529109662,2.5,1.5,10,0.04928229671059314,1,pt
global,cl1s,2020-01-22,2020-01-24,train,-1.0,0.016239904694456127,2.5,1.5,10,0.0449418395624851,1,pt
global,cl1s,2020-01-23,2020-01-27,train,-1.0,0.016647881557833574,2.5,1.5,10,0.04407267483441035,1,pt
global,cl1s,2020-01-24,2020-01-31,train,-1.0,0.016951020367699493,2.5,1.5,10,0.04853294004430764,1,pt
global,cl1s,2020-01-27,2020-02-03,train,-1.0,0.016805740530172676,2.5,1.5,10,0.05701919460981464,1,pt
global,cl1s,2020-01-28,2020-02-03,train,-1.0,0.016999260252895568,2.5,1.5,10,0.06301421086524772,1,pt
global,cl1s,2020-01-29,2020-02-03,train,-1.0,0.01696232223016401,2.5,1.5,10,0.06037877364271449,1,pt
global,cl1s,2020-01-30,2020-02-04,train,-1.0,0.017296431222037056,2.5,1.5,10,0.04852320655327835,1,pt
global,cl1s,2020-01-31,2020-02-14,train,-1.0,0.017150194175581383,2.5,1.5,10,-0.010025869203521554,0,vert
global,cl1s,2020-02-05,2020-02-19,train,1.0,0.01661335686735026,2.5,1.5,10,0.04909356132513154,1,pt
global,cl1s,2020-02-06,2020-02-10,train,1.0,0.013976826750913846,2.5,1.5,10,-0.027085377664577193,0,sl
global,cl1s,2020-02-07,2020-02-14,train,1.0,0.013910074694196448,2.5,1.5,10,0.03491521865491287,1,pt
global,cl1s,2020-02-10,2020-02-13,train,1.0,0.013987442382664327,2.5,1.5,10,0.037320960234610956,1,pt
global,cl1s,2020-02-11,2020-02-14,train,1.0,0.014314738620807217,2.5,1.5,10,0.04279002393999387,1,pt
global,cl1s,2020-02-12,2020-02-19,train,1.0,0.015868851140288028,2.5,1.5,10,0.04048267044299747,1,pt
global,cl1s,2020-02-13,2020-02-20,train,1.0,0.016068589059082854,2.5,1.5,10,0.0429732869147581,1,pt
global,cl1s,2020-02-14,2020-02-25,train,1.0,0.01611818411788619,2.5,1.5,10,-0.04625382300633718,0,sl
global,cl1s,2020-02-18,2020-02-25,train,1.0,0.01609011482033813,2.5,1.5,10,-0.04570663648696982,0,sl
global,cl1s,2020-02-19,2020-02-24,train,1.0,0.01731551007296798,2.5,1.5,10,-0.03851187135017564,0,sl
global,cl1s,2020-02-20,2020-02-24,train,1.0,0.016548350188345835,2.5,1.5,10,-0.045471418285369825,0,sl
global,cl1s,2020-02-21,2020-02-24,train,1.0,0.01610396884768102,2.5,1.5,10,-0.036530535757081206,0,sl
global,cl1s,2020-02-24,2020-02-25,train,1.0,0.017170864353423822,2.5,1.5,10,-0.029749173754649583,0,sl
global,cl1s,2020-02-25,2020-02-27,train,1.0,0.017866420360961165,2.5,1.5,10,-0.056312625063443256,0,sl
global,cl1s,2020-02-26,2020-02-27,train,1.0,0.0182648824360148,2.5,1.5,10,-0.03365483286845916,0,sl
global,cl1s,2020-02-27,2020-02-28,train,1.0,0.019393833526767813,2.5,1.5,10,-0.049479719734585204,0,sl
global,cl1s,2020-02-28,2020-03-03,train,1.0,0.021531732851168415,2.5,1.5,10,0.05406613037286845,1,pt
global,cl1s,2020-03-18,2020-03-19,train,1.0,0.0904760346864588,2.5,1.5,10,0.2438790202528529,1,pt
global,cl1s,2020-03-20,2020-04-03,train,1.0,0.10980310290953234,2.5,1.5,10,0.252319929218606,1,vert
global,cl1s,2020-03-23,2020-04-06,train,1.0,0.1110838535291566,2.5,1.5,10,0.1164383568991878,1,vert
global,cl1s,2020-03-24,2020-04-07,train,1.0,0.11209422182912515,2.5,1.5,10,-0.01582673866709572,0,vert
global,cl1s,2020-03-26,2020-04-09,train,1.0,0.11324270672814253,2.5,1.5,10,0.0070796454073183135,1,vert
global,cl1s,2020-03-27,2020-04-03,train,1.0,0.11323483174562435,2.5,1.5,10,0.3175267318983763,1,pt
global,cl1s,2020-03-30,2020-04-03,train,1.0,0.11179376165345198,2.5,1.5,10,0.41065206542429444,1,pt
global,cl1s,2020-04-21,2020-04-23,train,1.0,0.1515305132831126,2.5,1.5,10,0.4261019894772964,1,pt
global,cl1s,2020-04-22,2020-05-01,train,1.0,0.15883189238628795,2.5,1.5,10,0.4354136440089418,1,pt
global,cl1s,2020-04-23,2020-04-28,train,1.0,0.16596403028545723,2.5,1.5,10,-0.252121212804005,0,sl
global,cl1s,2020-04-24,2020-04-28,train,1.0,0.1660857813337614,2.5,1.5,10,-0.27154663588571837,0,sl
global,cl1s,2020-04-27,2020-04-30,train,1.0,0.17552764328986356,2.5,1.5,10,0.47417840368347797,1,pt
global,cl1s,2020-04-28,2020-04-30,train,1.0,0.17539850335357576,2.5,1.5,10,0.5267423015363157,1,pt
global,cl1s,2020-04-29,2020-05-05,train,1.0,0.18293745727870922,2.5,1.5,10,0.6308100945659525,1,pt
global,cl1s,2020-04-30,2020-05-14,train,1.0,0.19148447526857246,2.5,1.5,10,0.45735609336639427,1,vert
global,cl1s,2020-05-01,2020-05-15,train,1.0,0.18396316335899773,2.5,1.5,10,0.46975137753757945,1,pt
global,cl1s,2020-05-04,2020-05-18,train,1.0,0.1816062097933004,2.5,1.5,10,0.5286578788469731,1,pt
global,cl1s,2020-05-05,2020-05-19,train,1.0,0.1873459011974307,2.5,1.5,10,0.28154015306717617,1,vert
global,cl1s,2020-05-06,2020-05-20,train,1.0,0.18636299191825068,2.5,1.5,10,0.37479742300962027,1,vert
global,cl1s,2020-05-07,2020-05-21,train,1.0,0.18557584641637723,2.5,1.5,10,0.41846538417510404,1,vert
global,cl1s,2020-05-08,2020-05-22,train,1.0,0.18511470250928058,2.5,1.5,10,0.32356649347105493,1,vert
global,cl1s,2020-05-11,2020-05-26,train,1.0,0.18514159446284742,2.5,1.5,10,0.4013392469730268,1,vert
global,cl1s,2020-05-12,2020-05-27,train,1.0,0.18435691974370352,2.5,1.5,10,0.25336374311867105,1,vert
global,cl1s,2020-05-13,2020-05-28,train,1.0,0.18438627864268883,2.5,1.5,10,0.3126947046673092,1,vert
global,cl1s,2020-05-14,2020-05-29,train,1.0,0.18526096670360465,2.5,1.5,10,0.2729555237848642,1,vert
