date,instrument,weight
2022-01-03,cl1s,0.1086080576
2022-01-03,es1s,0.0000000000
2022-01-03,fesx1s,0.5539672768
2022-01-03,gc1s,0.0000000000
2022-01-03,hg1s,0.0000000000
2022-01-03,ho1s,0.0000000000
2022-01-03,ng1s,0.0000000000
2022-01-03,nq1s,-0.5307562820
2022-01-03,pl1s,0.3552944997
2022-01-03,rb1s,0.0000000000
2022-01-03,si1s,0.0000000000
2022-01-04,cl1s,0.1004078975
2022-01-04,es1s,0.0000000000
2022-01-04,fesx1s,0.5621582008
2022-01-04,gc1s,0.0000000000
2022-01-04,hg1s,0.0000000000
2022-01-04,ho1s,0.0000000000
2022-01-04,ng1s,0.0000000000
2022-01-04,nq1s,-0.5282362833
2022-01-04,pl1s,0.3550328770
2022-01-04,rb1s,0.0000000000
2022-01-04,si1s,0.0000000000
2022-01-05,cl1s,0.0918401245
2022-01-05,es1s,0.0000000000
2022-01-05,fesx1s,-0.5686822329
2022-01-05,gc1s,0.0000000000
2022-01-05,hg1s,0.0000000000
2022-01-05,ho1s,0.0000000000
2022-01-05,ng1s,0.0000000000
2022-01-05,nq1s,-0.4832914179
2022-01-05,pl1s,0.0000000000
2022-01-05,rb1s,0.0000000000
2022-01-05,si1s,0.0000000000
2022-01-06,cl1s,0.0628223724
2022-01-06,es1s,0.0000000000
2022-01-06,fesx1s,-0.5566418633
2022-01-06,gc1s,0.0000000000
2022-01-06,hg1s,0.0000000000
2022-01-06,ho1s,0.0000000000
2022-01-06,ng1s,0.0000000000
2022-01-06,nq1s,-0.4914141146
2022-01-06,pl1s,0.0000000000
2022-01-06,rb1s,0.0000000000
2022-01-06,si1s,0.0000000000
2022-01-07,cl1s,0.0734396018
2022-01-07,es1s,0.0000000000
2022-01-07,fesx1s,-0.5635516965
2022-01-07,gc1s,0.0000000000
2022-01-07,hg1s,0.0000000000
2022-01-07,ho1s,0.0000000000
2022-01-07,ng1s,0.0000000000
2022-01-07,nq1s,0.4939648012
2022-01-07,pl1s,0.0000000000
2022-01-07,rb1s,0.0000000000
2022-01-07,si1s,0.0000000000
2022-01-10,cl1s,0.0871340328
2022-01-10,es1s,0.0000000000
2022-01-10,fesx1s,-0.5632315986
2022-01-10,gc1s,0.0000000000
2022-01-10,hg1s,0.0000000000
2022-01-10,ho1s,0.0000000000
2022-01-10,ng1s,0.0000000000
2022-01-10,nq1s,0.5019676591
2022-01-10,pl1s,0.3263261915
2022-01-10,rb1s,0.0000000000
2022-01-10,si1s,0.0000000000
2022-01-11,cl1s,0.0733495965
2022-01-11,es1s,0.0000000000
2022-01-11,fesx1s,-0.5693505816
2022-01-11,gc1s,0.0000000000
2022-01-11,hg1s,0.0000000000
2022-01-11,ho1s,0.0000000000
2022-01-11,ng1s,0.0000000000
2022-01-11,nq1s,-0.4994383002
2022-01-11,pl1s,0.0000000000
2022-01-11,rb1s,0.0000000000
2022-01-11,si1s,0.0000000000
2022-01-12,cl1s,0.0808293084
2022-01-12,es1s,0.0000000000
2022-01-12,fesx1s,-0.5750235792
2022-01-12,gc1s,0.0000000000
2022-01-12,hg1s,0.0000000000
2022-01-12,ho1s,0.0000000000
2022-01-12,ng1s,0.0000000000
2022-01-12,nq1s,-0.5071329597
2022-01-12,pl1s,0.0000000000
2022-01-12,rb1s,0.0000000000
2022-01-12,si1s,0.0000000000
2022-01-13,cl1s,0.0764026867
2022-01-13,es1s,0.0000000000
2022-01-13,fesx1s,0.0000000000
2022-01-13,gc1s,0.0000000000
2022-01-13,hg1s,0.0000000000
2022-01-13,ho1s,0.0000000000
2022-01-13,ng1s,0.0000000000
2022-01-13,nq1s,-0.4848609862
2022-01-13,pl1s,0.0000000000
2022-01-13,rb1s,0.0000000000
2022-01-13,si1s,0.0000000000
2022-01-14,cl1s,0.0666142140
2022-01-14,es1s,0.0000000000
2022-01-14,fesx1s,0.5841712700
2022-01-14,gc1s,0.0000000000
2022-01-14,hg1s,0.0000000000
2022-01-14,ho1s,0.0000000000
2022-01-14,ng1s,0.0000000000
2022-01-14,nq1s,-0.4903091240
2022-01-14,pl1s,0.0000000000
2022-01-14,rb1s,0.0000000000
2022-01-14,si1s,0.0000000000
2022-01-17,cl1s,0.0000000000
