feature,cluster_id,max_corr_partner,max_abs_corr
f1_mr_score_10,64,f1_hilo_pos_10,0.6317483868600174
f1_dist_ma_sigma_10,79,f1_hilo_pos_10,0.8888440252756228
f1_ret_reversal_10,78,f1_ret_reversal_20,0.7230018592866573
f1_hilo_pos_10,79,f1_dist_ma_sigma_10,0.8888440252756228
f1_mr_score_20,65,f1_hilo_pos_10,0.7735579835285188
f1_dist_ma_sigma_20,80,f1_rsi_14,0.9308636911391551
f1_ret_reversal_20,77,f10_oto_ret_mean_20,0.9577854043566353
f1_hilo_pos_20,79,f6_donchian_pos_20,0.9651886989347424
f1_mr_score_40,79,f1_bb_pctb_20,0.7933337965820799
f1_dist_ma_sigma_40,80,f1_rsi_14,0.9227414752089059
f1_ret_reversal_40,84,f6_ma_cross_20_60,0.8810446205247306
f1_hilo_pos_40,80,f1_rsi_14,0.9120849260967132
f1_rsi_14,80,f1_dist_ma_sigma_20,0.930863691139155
f1_bb_pctb_20,79,f6_donchian_pos_20,0.9642883520296709
f1_bb_bandwidth_20,58,f2_vol_20,0.8551691653329035
f2_vol_10,58,z_f2_vol_10,0.9200110345182017
f2_vol_20,58,f10_hl_range_mean_20,0.9797940875084122
f2_vol_60,57,z_f2_vol_60,0.9019864168302993
f2_vol_ratio_20_60,51,f15_prob_timeout,0.6329073681171355
f2_vol_pctile_20,50,f15_prob_timeout,0.918727866417323
f2_vol_of_vol_20,57,z_f2_vol_of_vol_20,0.9129269678058305
f2_parkinson_20,58,f2_garman_klass_20,0.9977963310382585
f2_garman_klass_20,58,f2_rogers_satchell_20,0.9989421045028812
f2_atr_14,26,f7_rolls_spread_20,0.6798355258502606
f2_ret_skew_60,33,f2_ret_kurt_60,0.7586678106285218
f2_ret_kurt_60,33,f2_ret_skew_60,0.7586678106285218
f6_ts_momentum_20,80,f12_ma21_slope,0.970961055479632
f6_ts_momentum_60,85,f1_dist_ma_sigma_40,0.78077158972896
f6_ma_cross_20_60,84,f1_ret_reversal_40,0.8810446205247306
f6_macd_12_26,83,z_f6_macd_12_26,0.7766823520387045
f6_macd_hist_12_26_9,67,z_f6_macd_hist_12_26_9,0.7855119050121878
f6_adx_14,37,f12_efficiency_ratio_21,0.47544233412271636
f6_donchian_pos_20,79,f1_hilo_pos_20,0.9651886989347424
f7_volume_z_20,42,f7_volume_trend_20,0.954906024129839
f7_volume_trend_20,42,f7_volume_z_20,0.9549060241298389
f7_oi_level,23,f5_participation_60,0.395779389486038
f7_oi_change,8,f4_ae_recon_err,0.7131853307171602
f7_oi_z_20,9,z_f7_oi_change,0.2909913500910041
f7_oi_price_div_20,103,f4_ae_code2,0.161023368758567
f7_amihud_20,54,f7_kyles_lambda_20,0.9811909401038718
f10_hl_range,56,z_f10_hl_range,0.938112173907409
f10_hl_range_mean_20,58,f2_parkinson_20,0.9865313602970299
f10_oto_ret,63,z_f10_oto_ret,0.96704763986868
f10_oto_ret_mean_20,77,z_f10_oto_ret_mean_20,0.959324852046384
f5_signal,15,f5_long_bias_20,0.56587458628258
