instrument,t_signal,t_start,t_end,side,ret,label,uniqueness_weight,sigma
es1s,2020-01-03,2020-01-06,2020-01-16,1,0.02225701631404675,1,0.31432980599647264,0.0066968447412878475
es1s,2020-01-06,2020-01-07,2020-01-16,1,0.024803805262751055,1,0.22862103174603174,0.006633195530937728
es1s,2020-01-07,2020-01-08,2020-01-23,1,0.01996650121858856,1,0.15963531418076873,0.006586753954863436
es1s,2020-01-08,2020-01-09,2020-01-24,1,0.005327663108324998,1,0.13759674668765579,0.006588216485912814
es1s,2020-01-09,2020-01-10,2020-01-27,1,-0.007764193209133907,0,0.12313393677030038,0.006543009336359592
es1s,2020-01-10,2020-01-13,2020-01-28,1,-0.003501830620495028,0,0.12010363373999738,0.006510537684863858
es1s,2020-01-13,2020-01-14,2020-01-29,1,-0.004725258391776066,0,0.12010363373999738,0.006509903528527533
es1s,2020-01-14,2020-01-15,2020-01-30,1,-0.0012151592574172199,0,0.12226813590449956,0.006449936806326922
es1s,2020-01-15,2020-01-16,2020-01-27,1,-0.023491013075108924,0,0.10284992784992786,0.006386197614246333
es1s,2020-01-16,2020-01-17,2020-01-27,1,-0.026050677198305117,0,0.10147306397306399,0.006372150857158679
es1s,2020-01-17,2020-01-21,2020-01-27,1,-0.024395172268099508,0,0.09676767676767677,0.006311078438956991
es1s,2020-01-21,2020-01-22,2020-01-27,1,-0.02447048198073709,0,0.0931818181818182,0.006262514534173118
es1s,2020-01-22,2020-01-23,2020-01-27,1,-0.026351383863360667,0,0.0909090909090909,0.0062025651221593705
es1s,2020-01-23,2020-01-24,2020-01-31,1,-0.021328004453501137,0,0.1414141414141414,0.006141433655501211
es1s,2020-01-24,2020-01-27,2020-02-05,1,0.029053682458380692,1,0.15124458874458874,0.0062760324551889525
es1s,2020-01-27,2020-01-28,2020-02-10,1,0.022545724055588856,1,0.1595238095238095,0.0066843548501785924
es1s,2020-01-28,2020-01-29,2020-02-06,1,0.021987210401121615,1,0.1598639455782313,0.006800237792518448
es1s,2020-01-29,2020-01-30,2020-02-12,1,0.027212053500424993,1,0.15297619047619046,0.006743137500605505
es1s,2020-01-30,2020-01-31,2020-02-04,1,0.023148117194997653,1,0.15873015873015872,0.006704041251003929
es1s,2020-01-31,2020-02-03,2020-02-05,1,0.02720325787612321,1,0.15079365079365079,0.007268677015754608
es1s,2020-02-03,2020-02-04,2020-02-12,1,0.024252685708316513,1,0.14710884353741496,0.0072467478766587825
es1s,2020-02-04,2020-02-05,2020-02-20,-1,-0.010217488299883115,0,0.1324347369801915,0.007509119389348439
es1s,2020-02-05,2020-02-06,2020-02-21,1,-0.00179519833016073,0,0.1277121868030959,0.007557806461501663
es1s,2020-02-06,2020-02-07,2020-02-24,1,-0.030299566690463742,0,0.12082513446149806,0.007487275332640746
es1s,2020-02-07,2020-02-10,2020-02-24,1,-0.03853499543305716,0,0.11624098124098123,0.00747986199119018
es1s,2020-02-10,2020-02-11,2020-02-24,1,-0.03987617736505289,0,0.11328362995029662,0.00747297933943626
es1s,2020-02-11,2020-02-12,2020-02-24,1,-0.04670315549838833,0,0.10958694083694084,0.007398639693016898
es1s,2020-02-12,2020-02-13,2020-02-24,1,-0.045815318802612026,0,0.1073850752422181,0.007366970685627205
es1s,2020-02-13,2020-02-14,2020-02-24,1,-0.04685105167486636,0,0.10147306397306399,0.007300280641074495
es1s,2020-02-14,2020-02-18,2020-02-24,1,-0.043369695616587656,0,0.09676767676767677,0.007227725006126383
es1s,2020-02-18,2020-02-19,2020-02-24,1,-0.04869791069370777,0,0.0931818181818182,0.007186824587581161
es1s,2020-02-19,2020-02-20,2020-02-24,1,-0.043369695616587656,0,0.0909090909090909,0.007138890215628956
es1s,2020-02-20,2020-02-21,2020-02-24,1,-0.034425758823624975,0,0.09090909090909091,0.007127981182632614
es1s,2020-02-21,2020-02-24,2020-02-25,1,-0.029489064261905007,0,0.29545454545454547,0.007196899190308372
es1s,2020-02-24,2020-02-25,2020-02-27,1,-0.057656166918981455,0,0.4444444444444444,0.008677036722059956
es1s,2020-02-25,2020-02-26,2020-02-27,1,-0.050527867944140326,0,0.41666666666666663,0.009546059799992387
