vol_estimator,portfolio,period,n,sharpe,cum_return,ann_vol,mdd,turnover
garch,raw,full,644,3.38562,1.917755,0.126212,-0.123533,0.308893
garch,raw,oos_2022h1,128,4.581837,0.281121,0.107805,-0.031526,0.376092
garch,raw,oos_from_2021-10-21,179,4.425004,0.415254,0.112009,-0.031526,0.351277
garch,inv_vol_10pct,full,644,3.488838,0.351413,0.03395,-0.032954,0.140367
garch,inv_vol_10pct,oos_2022h1,128,4.645651,0.085642,0.034964,-0.01112,0.151614
garch,inv_vol_10pct,oos_from_2021-10-21,179,4.328116,0.115255,0.035638,-0.01112,0.151276
garch,raw_port10pct,full,644,3.516082,1.379345,0.097892,-0.086251,0.34589
garch,raw_port10pct,oos_2022h1,128,4.644295,0.257282,0.098167,-0.025711,0.382098
garch,raw_port10pct,oos_from_2021-10-21,179,4.365626,0.355279,0.099236,-0.025711,0.353294
garch,inv_vol_port10,full,644,3.651593,1.548572,0.101736,-0.079993,0.512814
garch,inv_vol_port10,oos_2022h1,128,4.927938,0.312673,0.110016,-0.031013,0.529567
garch,inv_vol_port10,oos_from_2021-10-21,179,4.487782,0.402035,0.107376,-0.031013,0.527836
