scope,members,pool_size,instrument,asset_class,model,variant,n_modelling,n_oos,mean_auc,sem,std_auc,lower_ci_1se,skipped,reason,elapsed_s
energy_all,cl1s+ho1s+rb1s+ng1s,4,cl1s,energy,elasticnet_logistic,without_bbg,804,1364,0.568035,0.045541,0.170398,0.522495,False,,2.140000
energy_all,cl1s+ho1s+rb1s+ng1s,4,cl1s,energy,random_forest,without_bbg,804,1364,0.533280,0.034142,0.127746,0.499138,False,,1.900000
energy_all,cl1s+ho1s+rb1s+ng1s,4,cl1s,energy,xgboost,without_bbg,804,1364,0.558078,0.032361,0.121083,0.525717,False,,0.750000
energy_all,cl1s+ho1s+rb1s+ng1s,4,cl1s,energy,lightgbm,without_bbg,804,1364,0.565092,0.027556,0.103105,0.537536,False,,1.740000
energy_all,cl1s+ho1s+rb1s+ng1s,4,ho1s,energy,elasticnet_logistic,without_bbg,804,169,0.624125,0.044226,0.165480,0.579899,False,,2.170000
energy_all,cl1s+ho1s+rb1s+ng1s,4,ho1s,energy,random_forest,without_bbg,804,169,0.503672,0.071896,0.269012,0.431776,False,,1.890000
energy_all,cl1s+ho1s+rb1s+ng1s,4,ho1s,energy,xgboost,without_bbg,804,169,0.361467,0.049811,0.186377,0.311656,False,,0.630000
energy_all,cl1s+ho1s+rb1s+ng1s,4,ho1s,energy,lightgbm,without_bbg,804,169,0.524881,0.045564,0.170485,0.479317,False,,1.310000
energy_all,cl1s+ho1s+rb1s+ng1s,4,rb1s,energy,elasticnet_logistic,without_bbg,804,2071,0.491271,0.015597,0.058359,0.475674,False,,2.180000
energy_all,cl1s+ho1s+rb1s+ng1s,4,rb1s,energy,random_forest,without_bbg,804,2071,0.516284,0.015830,0.059230,0.500454,False,,1.890000
energy_all,cl1s+ho1s+rb1s+ng1s,4,rb1s,energy,xgboost,without_bbg,804,2071,0.497084,0.014945,0.055919,0.482139,False,,0.640000
energy_all,cl1s+ho1s+rb1s+ng1s,4,rb1s,energy,lightgbm,without_bbg,804,2071,0.518632,0.018874,0.070619,0.499758,False,,1.320000
energy_all,cl1s+ho1s+rb1s+ng1s,4,ng1s,energy,elasticnet_logistic,without_bbg,804,148,0.577937,0.045566,0.136697,0.532371,False,,2.180000
energy_all,cl1s+ho1s+rb1s+ng1s,4,ng1s,energy,random_forest,without_bbg,804,148,0.613065,0.047031,0.141093,0.566034,False,,1.900000
energy_all,cl1s+ho1s+rb1s+ng1s,4,ng1s,energy,xgboost,without_bbg,804,148,0.476925,0.072645,0.217936,0.404280,False,,0.650000
energy_all,cl1s+ho1s+rb1s+ng1s,4,ng1s,energy,lightgbm,without_bbg,804,148,0.573438,0.053338,0.160015,0.520100,False,,1.320000
energy_ex_ng,cl1s+ho1s+rb1s,3,cl1s,energy,elasticnet_logistic,without_bbg,774,1368,0.535201,0.044107,0.165034,0.491094,False,,1.890000
energy_ex_ng,cl1s+ho1s+rb1s,3,cl1s,energy,random_forest,without_bbg,774,1368,0.492675,0.029748,0.111308,0.462927,False,,1.870000
energy_ex_ng,cl1s+ho1s+rb1s,3,cl1s,energy,xgboost,without_bbg,774,1368,0.566486,0.033603,0.125732,0.532883,False,,0.630000
