instrument,asset_class,chosen_scope,chosen_model,chosen_variant,chosen_members,n_modelling,n_oos,route_mean_auc,route_sem,route_lower_ci_1se,route_boot_mean,route_boot_ci_lo,route_boot_ci_hi,fold_above_050,fold_iqr,fold_min,fold_max,fold_n,baseline_scope,baseline_model,baseline_variant,baseline_mean_auc,baseline_boot_mean,baseline_boot_ci_lo,baseline_boot_ci_hi,diff_mean_auc,diff_boot_ci_lo,diff_boot_ci_hi,sim_miss_mean_auc,sim_miss_boot_ci_lo,sim_miss_boot_ci_hi,sim_miss_delta_vs_with_bbg,strength,strength_rationale,elapsed_s
cl1s,energy,cl_only,lightgbm,without_bbg,cl1s,294,1372,0.683869,0.022509,0.661359,0.670425,0.636111,0.702226,0.928571,0.097938,0.443614,0.774787,14,energy_all,lightgbm,without_bbg,0.565092,0.586096,0.549401,0.623820,0.085215,0.035142,0.136150,,,,,strong,"diff CI > 0 (+0.0351), route lower CI > 0.5 (0.6361), 93% of CPCV paths above 0.5",4.130000
es1s,equity,es_fesx,lightgbm,without_bbg,es1s+fesx1s,855,1889,0.596615,0.018291,0.578324,0.579763,0.552170,0.606594,0.928571,0.110734,0.440817,0.703445,14,equity_all,lightgbm,without_bbg,0.573955,0.559363,0.530723,0.588487,0.019324,-0.021078,0.056336,,,,,medium,"route mean > baseline mean (++0.0227), but diff CI includes 0 (-0.0211); 93% CPCV paths above 0.5",5.830000
fesx1s,equity,equity_all,random_forest,with_bbg,es1s+nq1s+fesx1s,1277,2099,0.557385,0.019133,0.538253,0.550160,0.521798,0.578207,0.642857,0.123688,0.470117,0.677167,14,equity_all,random_forest,without_bbg,0.553795,0.545615,0.517259,0.572458,0.004789,-0.034151,0.043812,0.536230,0.508007,0.564347,0.013930,medium,"route mean > baseline mean (++0.0036), but diff CI includes 0 (-0.0342); 64% CPCV paths above 0.5",10.450000
gc1s,metals,precious,elasticnet_logistic,without_bbg,gc1s+si1s+pl1s,941,645,0.497034,0.028978,0.468055,0.480996,0.429248,0.532494,0.571429,0.198673,0.341056,0.658051,14,metals_all,elasticnet_logistic,without_bbg,0.453771,0.495868,0.444008,0.549633,-0.012997,-0.087885,0.059582,,,,,weak,route mean AUC < 0.5 (0.4970) — below random,6.310000
hg1s,metals,metals_all,xgboost,without_bbg,gc1s+si1s+hg1s+pl1s,1385,2068,0.550398,0.011290,0.539108,0.542897,0.516903,0.569057,0.928571,0.060822,0.460788,0.624743,14,metals_all,xgboost,without_bbg,0.550398,0.542897,0.516903,0.569057,-0.000027,-0.037094,0.036408,,,,,weak,"no clear advantage over baseline (route 0.5504 vs baseline 0.5504, fold_above_050 93%)",3.730000
ho1s,energy,ho_rb,elasticnet_logistic,without_bbg,ho1s+rb1s,480,168,0.662153,0.044530,0.617622,0.553050,0.448326,0.661796,0.857143,0.197112,0.435451,1.000000,14,energy_all,elasticnet_logistic,without_bbg,0.624125,0.565911,0.462250,0.667684,-0.010594,-0.148509,0.138443,,,,,medium,"route mean > baseline mean (++0.0380), but diff CI includes 0 (-0.1485); 86% CPCV paths above 0.5",4.360000
ng1s,energy,energy_all,random_forest,without_bbg,cl1s+ho1s+rb1s+ng1s,804,148,0.613065,0.047031,0.566034,0.555676,0.442389,0.666250,0.777778,0.228020,0.377034,0.786830,9,energy_all,random_forest,without_bbg,0.613065,0.555676,0.442389,0.666250,0.002454,-0.163565,0.159234,,,,,weak,"no clear advantage over baseline (route 0.6131 vs baseline 0.6131, fold_above_050 78%)",4.950000
nq1s,equity,equity_all,xgboost,without_bbg,es1s+nq1s+fesx1s,1277,1968,0.548662,0.015351,0.533311,0.542260,0.514747,0.570210,0.785714,0.083306,0.442424,0.642710,14,equity_all,xgboost,without_bbg,0.548662,0.542260,0.514747,0.570210,-0.000414,-0.038834,0.039503,,,,,weak,"no clear advantage over baseline (route 0.5487 vs baseline 0.5487, fold_above_050 79%)",3.630000
pl1s,metals,si_pl,random_forest,with_bbg,si1s+pl1s,805,1871,0.577276,0.011895,0.565381,0.557180,0.526951,0.585789,0.928571,0.071166,0.494156,0.666152,14,metals_all,random_forest,without_bbg,0.530249,0.509934,0.479940,0.538493,0.047784,0.006125,0.092962,0.543652,0.514027,0.570651,0.013528,strong,"diff CI > 0 (+0.0061), route lower CI > 0.5 (0.5270), 93% of CPCV paths above 0.5",9.020000
rb1s,energy,cl_rb,random_forest,without_bbg,cl1s+rb1s,738,2076,0.574769,0.024131,0.550638,0.517975,0.491920,0.545197,0.714286,0.125239,0.436462,0.727122,14,energy_all,random_forest,without_bbg,0.516284,0.479138,0.451911,0.505375,0.038579,0.002431,0.079627,,,,,medium,"route mean > baseline mean (++0.0585), but diff CI includes 0 (+0.0024); 71% CPCV paths above 0.5",5.690000
si1s,metals,precious,elasticnet_logistic,without_bbg,gc1s+si1s+pl1s,941,1879,0.540331,0.012739,0.527591,0.553352,0.524550,0.581432,0.785714,0.044132,0.441572,0.622597,14,metals_all,elasticnet_logistic,without_bbg,0.527299,0.529246,0.498347,0.558008,0.023580,-0.016371,0.064637,,,,,medium,"route mean > baseline mean (++0.0130), but diff CI includes 0 (-0.0164); 79% CPCV paths above 0.5",6.800000
