date,instrument,primary_signal,label,t1,barrier_hit,ret,uniqueness_weight,vol_5d,vol_21d,vol_63d,ewma_vol_50,vol_ratio_5_63,vol_of_vol_63,semivol_21d,mom_5d,mom_21d,mom_63d,ma_dist_21d,ma_dist_63d,ma21_slope,autocorr_21d,efficiency_ratio_21d,variance_ratio_5d_21w,parkinson_vol_21d,garman_klass_vol_21d,rogers_satchell_vol_21d,trend_tval_10d,trend_tval_21d,trend_tval_42d,hurst_100d,volume_z_63d,volume_trend_21d,oi_trend_21d,amihud_illiq_21d,hl_range_21d,z_vol_5d,z_vol_21d,z_vol_63d,z_ewma_vol_50,z_vol_of_vol_63,z_semivol_21d,z_mom_5d,z_mom_21d,z_mom_63d,z_ma_dist_21d,z_ma_dist_63d,z_ma21_slope,z_parkinson_vol_21d,z_garman_klass_vol_21d,z_rogers_satchell_vol_21d,z_volume_z_63d,z_volume_trend_21d,z_oi_trend_21d,z_amihud_illiq_21d,z_hl_range_21d,side_signal,signal_run_len,days_since_flip,net_signal_equity,net_signal_metals,net_signal_energy,month_sin,month_cos,dow_sin,dow_cos,cross_sec_mom_rank_21d,cross_sec_vol_rank_21d,corr_to_sector_63d,avg_cross_asset_corr_63d,signal_breadth_full,signal_consensus_pct,trend_persistence,vol_clustering_21d,recent_shock_z,hmm_state_lo,hmm_state_mid,hmm_state_hi,hmm_state_argmax,gmm_cluster_lo,gmm_cluster_mid,gmm_cluster_hi,gmm_cluster_argmax,period
2020-01-03,es1s,1,1.000000,2020-01-16,pt,0.024727,2.793293,0.098541,0.070268,0.083055,0.085769,1.186448,0.034799,0.030433,-0.002778,0.044359,0.104100,0.634629,1.032221,0.473323,-0.311647,0.541290,0.411091,0.078698,0.081088,0.081257,2.354807,13.762904,17.328623,0.501460,1.412761,-0.009527,0.001644,0.000000,0.000068,-0.474174,-0.918673,-0.936547,-0.912025,-0.183696,-1.016304,-0.151648,0.862546,1.168085,0.977041,1.720996,1.908684,-0.920172,-0.910415,-0.905862,1.218586,-0.315243,0.043965,-0.307690,-0.512516,1.000000,1.000000,0.000000,0.333333,0.250000,0.250000,0.500000,0.866025,-0.951057,0.309017,0.666667,0.333333,0.903436,0.131741,0.272727,0.400000,0.000000,-0.176438,1.234075,0.999861,0.000139,0.000000,0.000000,0.975987,0.022737,0.001275,0.000000,train_2020_2021
2020-01-03,fesx1s,-1,0.000000,2020-01-17,vertical,-0.010862,2.652112,0.153942,0.136900,0.122333,0.117992,1.258390,0.037815,0.082077,-0.001863,0.017942,0.070089,0.344894,0.531500,0.099575,-0.215635,0.130116,0.262643,0.123706,0.124710,0.125005,1.230104,8.025732,5.696973,0.559710,-0.280148,0.033880,-0.003373,0.000000,0.000168,-0.347016,-0.637833,-0.883076,-0.928795,-0.255421,-0.551826,-0.071590,0.280174,0.642220,0.540979,0.888152,0.289830,-0.712620,-0.726123,-0.716299,-0.329145,1.279804,-0.509294,-0.165224,-0.527560,-1.000000,1.000000,0.000000,0.333333,0.250000,0.250000,0.500000,0.866025,-0.951057,0.309017,0.333333,1.000000,0.760218,0.131741,0.272727,0.100000,0.000000,-0.217177,1.520906,0.999747,0.000253,0.000000,0.000000,0.926178,0.067819,0.006003,0.000000,train_2020_2021
2020-01-03,hg1s,1,1.000000,2020-01-14,pt,0.030565,3.128105,0.159352,0.142471,0.147249,0.147831,1.082197,0.018770,0.069141,-0.022002,0.060647,0.083355,-0.015782,0.435784,0.312455,-0.115221,0.394364,0.988337,0.143173,0.146945,0.148185,-0.813864,4.847761,8.556544,0.591282,0.654172,-0.003739,0.004752,0.000000,0.000226,-0.492232,-0.897917,-1.000286,-0.986341,-0.785582,-0.942610,-0.665418,0.783483,0.538305,-0.068851,0.718360,1.339471,-0.833491,-0.782207,-0.752509,0.589877,-0.117900,0.198566,-0.159786,-0.531142,1.000000,1.000000,0.000000,0.333333,0.250000,0.250000,0.500000,0.866025,-0.951057,0.309017,0.750000,0.500000,-0.183984,0.131741,0.272727,0.400000,0.000000,-0.070823,0.470284,0.999935,0.000032,0.000033,0.000000,0.967497,0.031317,0.001186,0.000000,train_2020_2021
2020-01-03,nq1s,1,1.000000,2020-01-13,pt,0.031095,3.328031,0.154196,0.093002,0.106664,0.112462,1.445619,0.035616,0.039914,0.000653,0.062031,0.136579,0.863268,1.135025,0.501071,-0.373981,0.577994,0.341585,0.098883,0.100787,0.099053,3.417842,17.158839,14.737732,0.522623,2.433865,-0.000966,0.002526,0.000000,0.000108,-0.345597,-0.862403,-0.866617,-0.830165,-0.362521,-0.979539,-0.010647,0.817424,0.969401,1.304238,1.756179,1.879912,-0.905700,-0.914731,-0.931984,2.138937,-0.054475,0.103599,-0.180802,-0.595312,1.000000,1.000000,0.000000,0.333333,0.250000,0.250000,0.500000,0.866025,-0.951057,0.309017,1.000000,0.666667,0.886025,0.131741,0.272727,0.400000,0.000000,-0.125784,2.288870,0.999925,0.000075,0.000000,0.000000,0.965595,0.033417,0.000988,0.000000,train_2020_2021
2020-01-03,pl1s,-1,0.000000,2020-01-17,vertical,-0.034245,2.894695,0.089620,0.200846,0.195849,0.205180,0.457595,0.022787,0.101275,0.032221,0.076096,0.095144,0.852032,0.729576,0.290277,-0.129196,0.391250,0.476161,0.214090,0.213016,0.209867,7.241163,8.426386,6.137325,0.688618,-0.268952,0.001716,0.014191,0.000000,0.000504,-0.897745,0.072977,-0.042989,0.093765,-0.628544,-0.267954,1.054779,1.195222,0.806369,1.446912,1.273535,1.227817,0.397579,0.372798,0.320209,-0.290761,0.040406,0.915784,-0.285868,0.134178,-1.000000,1.000000,0.000000,0.333333,0.250000,0.250000,0.500000,0.866025,-0.951057,0.309017,1.000000,1.000000,0.526502,0.131741,0.272727,0.100000,0.000000,0.033056,-0.253879,0.001069,0.998169,0.000762,1.000000,0.854859,0.116382,0.028760,0.000000,train_2020_2021
2020-01-03,rb1s,1,0.000000,2020-01-15,sl,-0.066187,3.068502,0.284639,0.201790,0.243925,0.267143,1.166909,0.091242,0.091540,-0.002912,0.111566,0.143147,0.650088,0.551109,0.411809,0.204412,0.495758,0.455464,0.222669,0.232313,0.235373,0.593094,8.181120,5.125392,0.541772,0.570832,-0.004425,0.000015,0.000000,0.000546,-0.136526,-0.913453,-0.737735,-0.546506,0.669595,-1.019342,-0.088683,1.037470,0.681407,1.041433,0.853895,1.662075,-0.774682,-0.671766,-0.626789,0.500280,-0.217630,-0.014073,-0.716793,-0.609829,1.000000,1.000000,0.000000,0.333333,0.250000,0.250000,0.500000,0.866025,-0.951057,0.309017,0.750000,0.750000,0.711182,0.131741,0.272727,0.400000,0.000000,-0.346293,-0.315347,0.999935,0.000065,0.000000,0.000000,0.977105,0.020373,0.002522,0.000000,train_2020_2021
2020-01-03,si1s,1,0.000000,2020-01-17,vertical,-0.004307,2.669002,0.080630,0.164758,0.162603,0.174472,0.495871,0.054366,0.112823,0.008910,0.051029,0.017908,0.984116,0.475488,0.239491,0.007266,0.306358,0.863020,0.169165,0.172594,0.172542,5.513274,10.500407,1.945917,0.700429,1.189302,0.009506,0.005594,0.000000,0.000315,-1.024709,-0.739822,-0.910536,-0.782917,-0.001967,-0.477815,0.225831,0.652658,0.133455,1.738917,0.931319,1.073856,-0.740208,-0.723748,-0.711330,1.106543,0.252651,0.306528,-0.161505,-0.535320,1.000000,1.000000,0.000000,0.333333,0.250000,0.250000,0.500000,0.866025,-0.951057,0.309017,0.500000,0.750000,0.450791,0.131741,0.272727,0.400000,0.000000,0.142329,-0.071271,0.999851,0.000145,0.000005,0.000000,0.963222,0.023895,0.012883,0.000000,train_2020_2021
2020-01-06,es1s,1,1.000000,2020-01-16,pt,0.022257,1.528363,0.099270,0.068503,0.079582,0.084158,1.247404,0.034700,0.030433,0.001852,0.040379,0.093179,0.679182,1.102228,0.443036,-0.297180,0.517875,0.465360,0.079000,0.081118,0.081276,1.820091,12.274723,17.631809,0.472078,0.709467,0.000599,0.001769,0.000000,0.000069,-0.467982,-0.935844,-0.974337,-0.929425,-0.186603,-1.016121,0.035504,0.777477,1.029929,1.061429,1.858687,1.765869,-0.916682,-0.909933,-0.905499,0.575228,-0.008528,0.053152,-0.307813,-0.511594,1.000000,2.000000,1.000000,0.333333,0.750000,0.250000,0.500000,0.866025,0.000000,1.000000,0.666667,0.333333,0.913840,0.130112,0.454545,0.500000,1.000000,-0.175591,0.870405,0.999936,0.000064,0.000000,0.000000,0.978023,0.020811,0.001166,0.000000,train_2020_2021
2020-01-06,fesx1s,1,1.000000,2020-01-20,vertical,0.013548,1.309962,0.154882,0.137933,0.105254,0.116699,1.471512,0.037708,0.081491,-0.007195,0.013397,0.096145,0.225696,0.513241,0.073616,-0.224440,0.094781,0.221129,0.125584,0.127275,0.129028,1.166282,9.125333,5.470617,0.551455,-0.232799,-0.002874,-0.003664,0.000000,0.000174,-0.340288,-0.629066,-1.041521,-0.940657,-0.258417,-0.559652,-0.242558,0.203120,0.899604,0.310289,0.851244,0.162744,-0.693367,-0.700018,-0.675674,-0.286164,-0.164434,-0.542869,-0.165127,-0.519723,1.000000,1.000000,0.000000,0.333333,0.750000,0.250000,0.500000,0.866025,0.000000,1.000000,0.333333,1.000000,0.779559,0.130112,0.454545,0.500000,0.000000,-0.090289,0.383805,0.999783,0.000217,0.000000,0.000000,0.932974,0.061206,0.005819,0.000000,train_2020_2021
2020-01-06,hg1s,1,1.000000,2020-01-21,vertical,0.001254,1.290369,0.161567,0.137078,0.147182,0.144906,1.097734,0.018791,0.069141,-0.014058,0.048091,0.080913,-0.045678,0.433283,0.258749,-0.088719,0.340522,0.897401,0.140450,0.144386,0.146037,-1.271814,3.638460,8.722054,0.593481,-0.278993,-0.009240,0.007046,0.000000,0.000217,-0.475284,-0.950252,-1.000883,-1.017762,-0.784849,-0.942492,-0.433054,0.611955,0.520573,-0.121816,0.713927,1.098289,-0.860559,-0.807081,-0.772956,-0.300874,-0.251343,0.302146,-0.159977,-0.541113,1.000000,2.000000,1.000000,0.333333,0.750000,0.250000,0.500000,0.866025,0.000000,1.000000,0.250000,0.500000,-0.180301,0.130112,0.454545,0.500000,1.000000,-0.074324,1.089160,0.999970,0.000010,0.000020,0.000000,0.971899,0.027212,0.000889,0.000000,train_2020_2021
