instrument,n,pos_rate,auc,log_loss,brier,accuracy,precision,recall,f1,avg_precision,asset_class,winner
es1s,1889,0.571353,0.557488,0.718191,0.259160,0.555652,0.608176,0.624868,0.616409,0.627707,equity,xgboost
fesx1s,2099,0.526515,0.545602,0.741681,0.269335,0.531874,0.558323,0.530802,0.544215,0.578031,equity,xgboost
nq1s,1968,0.541922,0.536876,0.742096,0.268628,0.522645,0.550325,0.651451,0.596633,0.576969,equity,xgboost
cl1s,1364,0.639051,0.582837,0.774633,0.267016,0.606528,0.695625,0.683244,0.689379,0.700527,energy,lightgbm
ho1s,169,0.607947,0.455157,0.865458,0.303215,0.547794,0.599797,0.769826,0.674258,0.594087,energy,lightgbm
ng1s,148,0.693487,0.545714,0.722487,0.237995,0.682562,0.719397,0.889026,0.795267,0.732524,energy,lightgbm
rb1s,2071,0.486003,0.498540,0.901508,0.317792,0.501696,0.488151,0.521359,0.504209,0.489642,energy,lightgbm
gc1s,136,0.578558,0.431211,0.781830,0.282075,0.541264,0.580411,0.747449,0.653424,0.505376,metals,ensemble_simple
hg1s,444,0.501043,0.550695,0.713911,0.258580,0.536266,0.529353,0.671422,0.591983,0.529753,metals,ensemble_simple
pl1s,400,0.531990,0.486928,0.747846,0.275053,0.471793,0.502743,0.651678,0.567603,0.569087,metals,ensemble_simple
si1s,405,0.502462,0.553967,0.719817,0.261052,0.551564,0.540518,0.717198,0.616448,0.542009,metals,ensemble_simple
