instrument,variant,pool,n_pool_members,model,n_modelling,n_oos_for_instrument,mean_auc,std_auc,sem,is_champion
es1s,with_bbg,es1s,1,elasticnet_logistic,345,1608,0.541510,0.055705,0.014888,False
es1s,with_bbg,es1s,1,random_forest,345,1608,0.515794,0.058498,0.015634,False
es1s,with_bbg,es1s,1,lightgbm,345,1608,0.507042,0.037411,0.009999,False
es1s,with_bbg,es1s,1,xgboost,345,1608,0.502338,0.043194,0.011544,False
es1s,with_bbg,equity_all,3,elasticnet_logistic,1083,1612,0.547823,0.048193,0.012880,True
es1s,with_bbg,equity_all,3,random_forest,1083,1612,0.558331,0.059669,0.015947,False
es1s,with_bbg,equity_all,3,lightgbm,1083,1612,0.519388,0.049360,0.013192,False
es1s,with_bbg,equity_all,3,xgboost,1083,1612,0.522788,0.072753,0.019444,False
es1s,with_bbg,equity_all,3,multitask_nn,1083,1612,0.556849,0.055278,0.014774,False
nq1s,with_bbg,nq1s,1,elasticnet_logistic,357,1664,0.520567,0.039960,0.010680,False
nq1s,with_bbg,nq1s,1,random_forest,357,1664,0.556678,0.045774,0.012234,True
nq1s,with_bbg,nq1s,1,lightgbm,357,1664,0.556520,0.032996,0.008819,False
nq1s,with_bbg,nq1s,1,xgboost,357,1664,0.555166,0.039631,0.010592,False
nq1s,with_bbg,equity_all,3,elasticnet_logistic,1083,1661,0.507129,0.042682,0.011407,False
nq1s,with_bbg,equity_all,3,random_forest,1083,1661,0.562729,0.042135,0.011261,False
nq1s,with_bbg,equity_all,3,lightgbm,1083,1661,0.551642,0.046678,0.012475,False
nq1s,with_bbg,equity_all,3,xgboost,1083,1661,0.549881,0.043950,0.011746,False
nq1s,with_bbg,equity_all,3,multitask_nn,1083,1661,0.549034,0.053192,0.014216,False
fesx1s,with_bbg,fesx1s,1,elasticnet_logistic,381,1776,0.498459,0.032853,0.008780,False
fesx1s,with_bbg,fesx1s,1,random_forest,381,1776,0.502601,0.054716,0.014624,False
fesx1s,with_bbg,fesx1s,1,lightgbm,381,1776,0.480635,0.058924,0.015748,False
fesx1s,with_bbg,fesx1s,1,xgboost,381,1776,0.491865,0.058217,0.015559,False
fesx1s,with_bbg,equity_all,3,elasticnet_logistic,1083,1779,0.516140,0.034440,0.009204,True
fesx1s,with_bbg,equity_all,3,random_forest,1083,1779,0.518074,0.049035,0.013105,False
fesx1s,with_bbg,equity_all,3,lightgbm,1083,1779,0.493026,0.049326,0.013183,False
fesx1s,with_bbg,equity_all,3,xgboost,1083,1779,0.523983,0.045385,0.012130,False
fesx1s,with_bbg,equity_all,3,multitask_nn,1083,1779,0.505408,0.032643,0.008724,False
cl1s,with_bbg,energy_cl_ho,2,elasticnet_logistic,263,1066,0.508126,0.084697,0.022636,False
cl1s,with_bbg,energy_cl_ho,2,random_forest,263,1066,0.511686,0.042123,0.011258,False
cl1s,with_bbg,energy_cl_ho,2,lightgbm,263,1066,0.520243,0.055424,0.014813,False
cl1s,with_bbg,energy_cl_ho,2,xgboost,263,1066,0.512434,0.045466,0.012151,False
cl1s,with_bbg,energy_cl_ho,2,multitask_nn,263,1066,0.507095,0.086308,0.023067,False
cl1s,with_bbg,energy_all,4,elasticnet_logistic,668,1066,0.517211,0.078285,0.020923,False
cl1s,with_bbg,energy_all,4,random_forest,668,1066,0.481536,0.058269,0.015573,False
cl1s,with_bbg,energy_all,4,lightgbm,668,1066,0.502982,0.064668,0.017283,False
cl1s,with_bbg,energy_all,4,xgboost,668,1066,0.480909,0.061159,0.016345,False
cl1s,with_bbg,energy_all,4,multitask_nn,668,1066,0.566481,0.056571,0.015119,True
ho1s,with_bbg,energy_cl_ho,2,elasticnet_logistic,263,158,0.461156,0.176951,0.049077,False
ho1s,with_bbg,energy_cl_ho,2,random_forest,263,158,0.428533,0.188929,0.052399,False
ho1s,with_bbg,energy_cl_ho,2,lightgbm,263,158,0.552109,0.195605,0.054251,True
ho1s,with_bbg,energy_cl_ho,2,xgboost,263,158,0.496087,0.219190,0.060792,False
ho1s,with_bbg,energy_cl_ho,2,multitask_nn,263,158,0.407304,0.230298,0.063873,False
ho1s,with_bbg,energy_all,4,elasticnet_logistic,668,160,0.472884,0.200326,0.055560,False
ho1s,with_bbg,energy_all,4,random_forest,668,160,0.469271,0.145243,0.040283,False
ho1s,with_bbg,energy_all,4,lightgbm,668,160,0.455250,0.182958,0.050743,False
ho1s,with_bbg,energy_all,4,xgboost,668,160,0.445197,0.146931,0.040751,False
ho1s,with_bbg,energy_all,4,multitask_nn,668,160,0.429925,0.184641,0.051210,False
rb1s,with_bbg,rb1s,1,elasticnet_logistic,377,1756,0.391522,0.119193,0.031856,False
rb1s,with_bbg,rb1s,1,random_forest,377,1756,0.525514,0.050079,0.013384,True
rb1s,with_bbg,rb1s,1,lightgbm,377,1756,0.522101,0.116062,0.031019,False
rb1s,with_bbg,rb1s,1,xgboost,377,1756,0.527681,0.106028,0.028337,False
rb1s,with_bbg,energy_all,4,elasticnet_logistic,668,1750,0.404908,0.097308,0.026007,False
rb1s,with_bbg,energy_all,4,random_forest,668,1750,0.514741,0.076068,0.020330,False
rb1s,with_bbg,energy_all,4,lightgbm,668,1750,0.505596,0.086491,0.023116,False
rb1s,with_bbg,energy_all,4,xgboost,668,1750,0.486693,0.062379,0.016671,False
rb1s,with_bbg,energy_all,4,multitask_nn,668,1750,0.388441,0.117634,0.031439,False
ng1s,with_bbg,energy_all,4,elasticnet_logistic,668,140,0.618634,0.171970,0.049644,True
ng1s,with_bbg,energy_all,4,random_forest,668,140,0.464129,0.235860,0.068087,False
ng1s,with_bbg,energy_all,4,lightgbm,668,140,0.492538,0.257424,0.074312,False
ng1s,with_bbg,energy_all,4,xgboost,668,140,0.484449,0.260828,0.075294,False
ng1s,with_bbg,energy_all,4,multitask_nn,668,140,0.403893,0.235378,0.067948,False
gc1s,with_bbg,precious,3,elasticnet_logistic,797,566,0.497081,0.127802,0.034157,False
gc1s,with_bbg,precious,3,random_forest,797,566,0.503871,0.075876,0.020279,False
gc1s,with_bbg,precious,3,lightgbm,797,566,0.506866,0.073872,0.019743,False
gc1s,with_bbg,precious,3,xgboost,797,566,0.520924,0.078411,0.020956,False
