feature,n_train,n_test,ks,val_auc,keep,reason
f18_term_spread,3466,1342,0.232301,0.530494,True,keep
f18_term_spread_z63,3466,1342,0.059539,0.506725,True,keep
f18_contango_flag,3466,1342,0.147128,0.532710,True,keep
f18_term_chg5,3466,1342,0.036717,0.520237,True,keep
f18_roll_yield,3466,1342,0.232301,0.530494,True,keep
f19_atm_iv_1m,3466,1342,0.139672,0.541558,True,keep
f19_atm_iv_3m,3466,1342,0.118019,0.534521,True,keep
f19_iv_term_slope,3466,1342,0.043562,0.510046,True,keep
f19_iv_rv_spread_20,3466,1342,0.044408,0.515818,True,keep
f19_skew_1m,3466,1342,0.179869,0.508849,True,keep
f19_iv_pctile_252,3466,1342,0.296337,0.559265,True,keep
f22_eia_release_flag,3466,1342,0.004078,0.512883,True,keep
f22_eia_crude_change_z26w,3466,1342,0.273979,0.514315,False,drop: KS>0.25 AND val_AUC<0.54
f1_bb_pctb_20,3466,1342,0.096726,0.525599,True,keep
f1_rsi_14,3466,1342,0.135816,0.521539,True,keep
f1_mr_score_20,3466,1342,0.096726,0.525599,True,keep
f2_vol_20,3466,1342,0.158819,0.531066,True,keep
f2_vol_60,3466,1342,0.123506,0.544852,True,keep
f2_vol_ratio_20_60,3466,1342,0.082552,0.521966,True,keep
f2_parkinson_20,3466,1342,0.136454,0.540969,True,keep
f2_garman_klass_20,3466,1342,0.129562,0.539864,True,keep
f2_vol_of_vol_20,3466,1342,0.061796,0.557821,True,keep
f5_trailing_run_length,3466,1342,0.041607,0.564773,True,keep
f5_days_since_flip,3466,1342,0.041607,0.564773,True,keep
f5_signal_entropy_20,3466,1342,0.087745,0.558148,True,keep
f5_flip_rate_60,3466,1342,0.101432,0.549309,True,keep
f5_long_bias_20,3466,1342,0.104546,0.569808,True,keep
f5_participation_60,3466,1342,0.168672,0.523019,True,keep
f6_ts_momentum_20,3466,1342,0.115846,0.510862,True,keep
f6_ts_momentum_60,3466,1342,0.203297,0.509067,False,drop: KS>0.20 AND val_AUC<0.51
f6_ma_cross_20_60,3466,1342,0.148456,0.537975,True,keep
