cluster_id,n_members,members,mda_mean,mda_rank,mdi_sum,mdi_rank,shap_sum,shap_rank,significant
8,3,"f5_participation_60,f7_oi_level,ewma_hmm_prob_highvol",0.117782,1,0.188587,1,0.795587,1,True
1,6,"f1_bb_pctb_20,f1_rsi_14,f6_ts_momentum_20,f10_oc_ret_mean_20,f12_trend_tval_21,f15_semi_vol_ratio_20",0.003830,2,0.073121,5,0.300837,6,False
4,7,"f19_atm_iv_1m,f19_atm_iv_3m,f2_vol_60,f2_vol_of_vol_20,f12_hurst_100,f9_pair_corr_mean_63,f9_implied_corr_z_252",0.003542,3,0.100497,3,0.338376,4,False
6,3,"f11_be10y_chg20,f11_ust10_chg5,f11_be10y_chg5",0.002778,4,0.037701,10,0.137484,10,False
7,3,"f11_dxy_chg20,f11_eurusd_chg20,f11_dxy_chg5",0.002302,5,0.027478,13,0.129030,12,True
14,3,"f19_skew_1m,f5_long_bias_20,f7_overnight_gap",0.001167,6,0.068834,7,0.239281,8,False
10,2,"f7_volume_z_20,f7_volume_trend_20",0.000573,7,0.023715,15,0.124317,13,False
12,4,"f18_term_spread_z63,f5_flip_rate_60,f8_month_cos,f11_eia_ng_stock_rank63",-0.000228,8,0.039225,9,0.130470,11,False
15,2,"f12_variance_ratio_5_21,f12_autocorr_21",-0.000351,9,0.029864,12,0.091108,15,False
5,7,"f11_vix_rank63,f11_move_rank63,f11_vix_chg20,f11_move_chg20,f11_hy_oas_chg20,f11_vix_chg5,f11_hy_oas_chg5",-0.000579,10,0.076693,4,0.412168,3,False
2,4,"f19_iv_term_slope,f11_ust2_rank63,f11_ig_oas_rank63,f11_lme_copper_rank63",-0.000663,11,0.036292,11,0.149431,9,False
16,6,"f18_term_chg5,f19_iv_rv_spread_20,f6_macd_hist,f7_oi_change_20,f10_oc_ret,f9_xsect_rank_60",-0.001018,12,0.071825,6,0.330224,5,False
13,2,"f12_efficiency_ratio_21,f15_path_tortuosity_20",-0.002014,13,0.023825,14,0.080048,16,False
3,9,"f22_eia_crude_change_z26w,f2_vol_ratio_20_60,f6_ts_momentum_60,f6_ma_cross_20_60,f6_macd_12_26,f6_macd_signal_9,f21_gold_silver_z63,f11_skew_rank63,f11_vix_term_slope",-0.002075,14,0.130483,2,0.439642,2,False
11,3,"f22_eia_release_flag,f8_dow_sin,f8_dow_cos",-0.002223,15,0.011393,16,0.113384,14,False
9,4,"f18_term_spread,f18_contango_flag,f5_trailing_run_length,f5_signal_entropy_20",-0.002601,16,0.060469,8,0.260812,7,False
