feature,shap_magnitude,shap_signed,mdi
f7_oi_level,0.565700,-0.264336,0.033905
f5_participation_60,0.485004,-0.233153,0.037713
f10_oc_ret,0.261877,-0.003229,0.011120
f7_overnight_gap,0.247158,-0.026681,0.012398
f11_vix_chg5,0.221197,0.007666,0.014871
f1_bb_pctb_20,0.202944,-0.008628,0.016045
f11_dxy_chg5,0.188413,0.014153,0.012831
f5_trailing_run_length,0.187116,-0.016743,0.016939
f11_skew_rank63,0.158356,0.006528,0.014817
f7_volume_z_20,0.152649,-0.000866,0.014731
f11_be10y_chg5,0.150302,-0.005867,0.016273
f22_eia_crude_change_z26w,0.145722,-0.010782,0.011635
f7_oi_change_20,0.143923,0.006969,0.015922
f18_term_spread_z63,0.142200,-0.019632,0.015147
f11_hy_oas_chg5,0.141234,-0.001723,0.012057
f8_dow_cos,0.136548,-0.001831,0.015877
f21_gold_silver_z63,0.135530,-0.002535,0.012556
f19_iv_rv_spread_20,0.132971,-0.001390,0.014822
f1_rsi_14,0.126370,-0.008403,0.013749
f19_skew_1m,0.115512,-0.028376,0.010993
f12_autocorr_21,0.111118,-0.006441,0.014292
f11_dxy_chg20,0.109894,-0.011905,0.014743
f7_volume_trend_20,0.097499,-0.005074,0.012130
f12_hurst_100,0.093198,-0.017968,0.010570
f15_semi_vol_ratio_20,0.087438,-0.018505,0.022936
f11_vix_term_slope,0.086890,0.002251,0.016086
f11_vix_rank63,0.085609,0.006399,0.011504
f8_dow_sin,0.085222,-0.002072,0.011570
f11_ust2_rank63,0.077431,0.004088,0.015012
f11_ig_oas_rank63,0.076894,-0.000286,0.013034
f5_long_bias_20,0.075774,-0.033025,0.011026
f11_eurusd_chg20,0.074041,-0.006740,0.014052
f11_move_chg20,0.070597,0.000357,0.016172
f18_term_spread,0.070311,-0.016852,0.012501
f9_pair_corr_mean_63,0.064921,0.003681,0.012847
f12_efficiency_ratio_21,0.061460,-0.009184,0.011217
f6_ts_momentum_60,0.061339,-0.008218,0.011352
f12_variance_ratio_5_21,0.060557,0.002368,0.011256
f6_macd_hist,0.059238,-0.011466,0.010823
f2_vol_60,0.058342,-0.014993,0.011290
f11_ust10_chg5,0.057042,-0.004586,0.011675
f2_vol_ratio_20_60,0.055239,0.002928,0.013062
f18_term_chg5,0.052581,-0.007600,0.010131
f11_eia_ng_stock_rank63,0.050611,0.000529,0.011148
f6_macd_signal_9,0.049766,-0.020641,0.013084
f15_path_tortuosity_20,0.047617,-0.003446,0.010596
f12_trend_tval_21,0.047241,-0.005664,0.012542
f10_oc_ret_mean_20,0.045861,-0.010949,0.015181
ewma_hmm_prob_highvol,0.045165,-0.020210,0.094690
f6_ts_momentum_20,0.040489,0.001683,0.017681
f6_ma_cross_20_60,0.039471,-0.008177,0.014653
f11_move_rank63,0.038248,-0.003181,0.013634
f11_be10y_chg20,0.036914,-0.003907,0.010045
f19_iv_term_slope,0.036603,0.001674,0.006946
f19_atm_iv_1m,0.036118,-0.000886,0.009026
f19_atm_iv_3m,0.034530,-0.003261,0.008914
f6_macd_12_26,0.032524,-0.007568,0.015364
f11_vix_chg20,0.029895,0.001086,0.011467
f5_signal_entropy_20,0.028672,0.001975,0.013566
f2_vol_of_vol_20,0.027668,-0.005709,0.010943
f9_implied_corr_z_252,0.024964,-0.002609,0.008197
f11_hy_oas_chg20,0.024811,-0.005392,0.015400
f8_month_cos,0.021516,-0.000181,0.021720
f9_xsect_rank_60,0.021506,-0.002948,0.009284
f22_eia_release_flag,0.018655,0.000011,0.011312
f5_flip_rate_60,0.017774,0.000433,0.009822
f11_lme_copper_rank63,0.017746,0.000389,0.011102
f18_contango_flag,0.000000,0.000000,0.000000
