feature,cluster_id
f18_term_spread,2
f18_term_spread_z63,4
f18_contango_flag,2
f18_term_chg5,4
f19_atm_iv_1m,1
f19_atm_iv_3m,1
f19_iv_term_slope,2
f19_iv_rv_spread_20,3
f19_skew_1m,2
f19_iv_pctile_252,2
f1_bb_pctb_20,7
f1_rsi_14,7
f2_vol_20,1
f2_vol_60,1
f2_vol_ratio_20_60,4
f2_parkinson_20,1
f2_vol_of_vol_20,1
f5_trailing_run_length,13
f5_signal_entropy_20,13
f5_flip_rate_60,14
f5_long_bias_20,13
f5_participation_60,16
f6_ts_momentum_20,7
f6_ma_cross_20_60,5
f6_macd_12_26,5
f6_macd_signal_9,5
f6_macd_hist,7
f7_volume_z_20,10
f7_volume_trend_20,10
f7_oi_level,16
f7_oi_change_20,16
f7_overnight_gap,16
f8_dow_sin,15
f8_dow_cos,15
f8_month_sin,3
f8_month_cos,14
f10_hl_range,2
f10_oc_ret,10
f10_oc_ret_mean_20,7
f12_efficiency_ratio_21,6
f12_variance_ratio_5_21,12
f12_trend_tval_21,7
f12_autocorr_21,12
f12_hurst_100,3
f9_xsect_rank_60,16
f9_implied_corr_z_252,9
f21_gold_silver_z63,9
f21_crack_321,1
f11_move_rank63,4
f11_skew_rank63,4
f11_ust10_rank63,8
f11_be10y_rank63,9
f11_china_pmi_rank63,16
f11_eia_crude_stock_rank63,3
f11_eia_gasoline_stock_rank63,14
f11_vix_chg20,4
f11_ust10_chg20,8
f11_be10y_chg20,9
f11_eurusd_chg20,9
f11_vix_chg5,4
f11_ust10_chg5,8
f11_dxy_chg5,9
f11_be10y_chg5,8
f11_curve_slope,16
f11_vix_term_slope,2
f15_path_tortuosity_20,6
f15_semi_vol_ratio_20,7
f16_regime_alignment_score,3
ewma_hmm_prob_highvol,11
ewma_hmm_switch_prob,11
