cluster_id,n_members,members,mdi_sum_mean,mdi_sum_std,gain_sum_mean,gain_sum_std,mda_mean,mda_std_across_folds,baseline_auc_mean
7,7,"f1_bb_pctb_20,f1_rsi_14,f6_ts_momentum_20,f6_macd_hist,f10_oc_ret_mean_20,f12_trend_tval_21,f15_semi_vol_ratio_20",0.128539,0.021268,0.128539,0.021268,0.022303,0.034751,0.535457
12,2,"f12_variance_ratio_5_21,f12_autocorr_21",0.059718,0.019956,0.059718,0.019956,0.013946,0.014866,0.535457
10,3,"f7_volume_z_20,f7_volume_trend_20,f10_oc_ret",0.052716,0.016649,0.052716,0.016649,0.005074,0.006975,0.535457
13,3,"f5_trailing_run_length,f5_signal_entropy_20,f5_long_bias_20",0.034343,0.010322,0.034343,0.010322,0.004196,0.004370,0.535457
1,7,"f19_atm_iv_1m,f19_atm_iv_3m,f2_vol_20,f2_vol_60,f2_parkinson_20,f2_vol_of_vol_20,f21_crack_321",0.099977,0.009155,0.099977,0.009155,0.001678,0.006261,0.535457
15,2,"f8_dow_sin,f8_dow_cos",0.006510,0.003837,0.006510,0.003837,0.000697,0.003069,0.535457
8,4,"f11_ust10_rank63,f11_ust10_chg20,f11_ust10_chg5,f11_be10y_chg5",0.056820,0.011238,0.056820,0.011238,0.000182,0.006349,0.535457
11,2,"ewma_hmm_prob_highvol,ewma_hmm_switch_prob",0.000111,0.000416,0.000111,0.000416,0.000027,0.000099,0.535457
2,7,"f18_term_spread,f18_contango_flag,f19_iv_term_slope,f19_skew_1m,f19_iv_pctile_252,f10_hl_range,f11_vix_term_slope",0.085451,0.012759,0.085451,0.012759,-0.000055,0.009097,0.535457
3,5,"f19_iv_rv_spread_20,f8_month_sin,f12_hurst_100,f11_eia_crude_stock_rank63,f16_regime_alignment_score",0.048545,0.005500,0.048545,0.005500,-0.000332,0.004833,0.535457
14,3,"f5_flip_rate_60,f8_month_cos,f11_eia_gasoline_stock_rank63",0.033720,0.008445,0.033720,0.008445,-0.000673,0.008323,0.535457
6,2,"f12_efficiency_ratio_21,f15_path_tortuosity_20",0.031507,0.006624,0.031507,0.006624,-0.001203,0.007162,0.535457
16,7,"f5_participation_60,f7_oi_level,f7_oi_change_20,f7_overnight_gap,f9_xsect_rank_60,f11_china_pmi_rank63,f11_curve_slope",0.087442,0.007736,0.087442,0.007736,-0.001705,0.008106,0.535457
5,3,"f6_ma_cross_20_60,f6_macd_12_26,f6_macd_signal_9",0.046878,0.008257,0.046878,0.008257,-0.002738,0.007212,0.535457
4,7,"f18_term_spread_z63,f18_term_chg5,f2_vol_ratio_20_60,f11_move_rank63,f11_skew_rank63,f11_vix_chg20,f11_vix_chg5",0.102377,0.011266,0.102377,0.011266,-0.004595,0.013459,0.535457
9,6,"f9_implied_corr_z_252,f21_gold_silver_z63,f11_be10y_rank63,f11_be10y_chg20,f11_eurusd_chg20,f11_dxy_chg5",0.125347,0.015354,0.125347,0.015354,-0.004685,0.015182,0.535457
