feature,shap_magnitude,shap_signed,mdi
f1_rsi_14,0.179338,-0.006907,0.018928
f10_oc_ret,0.163897,-0.004001,0.018614
f7_overnight_gap,0.145538,0.002829,0.015407
f18_term_chg5,0.130148,0.003698,0.015145
f11_dxy_chg5,0.126686,0.003728,0.019959
f12_variance_ratio_5_21,0.116788,0.000365,0.016688
f15_semi_vol_ratio_20,0.110900,-0.002499,0.017332
f7_oi_level,0.107369,-0.025780,0.014410
f6_ts_momentum_20,0.102677,0.001959,0.016034
f7_volume_trend_20,0.101761,-0.001768,0.016170
f11_vix_chg20,0.097377,0.001395,0.017033
f6_macd_hist,0.097360,0.015025,0.014317
f2_vol_ratio_20_60,0.089079,-0.003893,0.017610
f19_skew_1m,0.086835,0.001684,0.014777
f5_participation_60,0.079941,-0.004251,0.016557
f12_efficiency_ratio_21,0.079333,0.001073,0.015998
f12_autocorr_21,0.077229,0.006248,0.016521
f7_volume_z_20,0.066921,0.002045,0.016157
f12_trend_tval_21,0.066436,0.006719,0.013951
f11_be10y_chg5,0.064332,0.002470,0.018314
f19_iv_term_slope,0.061728,0.006827,0.016592
f11_ust2_rank63,0.060118,0.007465,0.016626
f5_signal_entropy_20,0.059166,-0.000799,0.016961
f5_flip_rate_60,0.058371,0.006457,0.016180
f7_oi_change_20,0.057021,-0.000531,0.013732
f11_vix_chg5,0.056499,0.002455,0.014870
f2_vol_of_vol_20,0.054779,0.004884,0.013502
f9_implied_corr_z_252,0.053819,0.001499,0.016741
f11_eurusd_chg20,0.053294,-0.003466,0.018733
f11_dxy_chg20,0.053142,0.004209,0.015454
f11_be10y_chg20,0.052594,0.003205,0.013933
f15_path_tortuosity_20,0.051222,0.006599,0.014518
f18_term_spread,0.049659,-0.001927,0.015507
f6_ts_momentum_60,0.047209,-0.001806,0.014260
f11_hy_oas_chg20,0.046496,-0.003332,0.015404
f18_term_spread_z63,0.045343,0.000236,0.015622
f21_gold_silver_z63,0.045332,0.000394,0.016129
f11_skew_rank63,0.044583,0.001963,0.016680
f11_ust10_chg5,0.043916,0.000596,0.013964
f10_oc_ret_mean_20,0.042059,0.001525,0.016979
f12_hurst_100,0.039858,0.005551,0.014067
f11_ig_oas_rank63,0.038628,-0.001232,0.015691
f11_move_chg20,0.038376,-0.003412,0.014327
f1_bb_pctb_20,0.038158,0.000748,0.014702
f11_move_rank63,0.037801,0.000021,0.013824
f6_macd_signal_9,0.036293,0.000267,0.017623
f6_macd_12_26,0.035907,0.001156,0.015773
f19_iv_rv_spread_20,0.034930,0.006697,0.015477
f19_atm_iv_3m,0.033255,0.001732,0.013508
f8_dow_sin,0.032351,0.001112,0.017542
f5_long_bias_20,0.031627,0.001663,0.013540
f6_ma_cross_20_60,0.030652,-0.001283,0.015132
f11_lme_copper_rank63,0.029046,0.005011,0.016971
f11_vix_term_slope,0.028291,0.001090,0.017004
f5_trailing_run_length,0.026150,-0.000439,0.012578
f11_vix_rank63,0.024740,0.003317,0.018096
f2_vol_60,0.024349,-0.005102,0.016412
f11_hy_oas_chg5,0.024323,-0.002538,0.015753
f19_atm_iv_1m,0.023255,-0.005339,0.013223
f9_xsect_rank_60,0.013531,0.001804,0.012419
f8_dow_cos,0.013175,0.000900,0.012262
f11_eia_ng_stock_rank63,0.012464,0.000701,0.012667
ewma_hmm_switch_prob,0.001060,0.000157,0.016635
f8_month_cos,0.000467,-0.000125,0.012461
f18_contango_flag,0.000000,0.000000,0.000000
ewma_hmm_prob_highvol,0.000000,0.000000,0.000000
