cluster_id,n_members,members,mda_mean,mda_rank,mdi_sum,mdi_rank,shap_sum,shap_rank,significant
2,5,"f19_iv_rv_spread_20,f2_vol_60,f2_vol_of_vol_20,f5_flip_rate_60,f9_pair_corr_mean_63",0.008231,1,0.107750,3,0.288421,3,False
1,2,"f19_atm_iv_1m,f19_atm_iv_3m",0.007888,2,0.040770,12,0.091804,15,True
4,6,"f8_month_cos,f12_hurst_100,f9_implied_corr_z_252,f11_move_rank63,f11_eia_ng_stock_rank63,f11_move_chg20",0.006454,3,0.077008,5,0.246952,4,False
13,3,"f19_iv_term_slope,f2_vol_ratio_20_60,f7_oi_change_20",0.004438,4,0.053236,8,0.188120,6,False
16,6,"f5_long_bias_20,f6_ts_momentum_60,f6_ma_cross_20_60,f6_macd_12_26,f6_macd_signal_9,f9_xsect_rank_60",0.004412,5,0.086069,4,0.206731,5,False
9,2,"f12_efficiency_ratio_21,f15_path_tortuosity_20",0.004134,6,0.029471,14,0.118092,13,False
7,4,"f8_dow_sin,f8_dow_cos,f10_oc_ret,ewma_hmm_switch_prob",0.003604,7,0.026232,16,0.139359,10,True
15,7,"f1_bb_pctb_20,f1_rsi_14,f6_ts_momentum_20,f6_macd_hist,f10_oc_ret_mean_20,f12_trend_tval_21,f15_semi_vol_ratio_20",0.003217,8,0.120495,2,0.326591,2,False
12,5,"f11_vix_rank63,f11_vix_chg20,f11_hy_oas_chg20,f11_vix_chg5,f11_hy_oas_chg5",0.003170,9,0.057478,7,0.134425,11,False
5,5,"f5_trailing_run_length,f5_signal_entropy_20,f5_participation_60,f7_oi_level,ewma_hmm_prob_highvol",0.002774,10,0.065548,6,0.163346,8,False
11,3,"f11_dxy_chg20,f11_eurusd_chg20,f11_dxy_chg5",0.002027,11,0.049546,9,0.098079,14,False
6,2,"f19_skew_1m,f7_overnight_gap",0.001450,12,0.043122,11,0.176374,7,False
8,2,"f7_volume_z_20,f7_volume_trend_20",0.000833,13,0.027908,15,0.065574,16,False
3,4,"f18_term_spread,f18_term_spread_z63,f18_contango_flag,f18_term_chg5",-0.000156,14,0.048949,10,0.124897,12,False
10,2,"f12_variance_ratio_5_21,f12_autocorr_21",-0.000290,15,0.037819,13,0.157122,9,False
14,9,"f21_gold_silver_z63,f11_skew_rank63,f11_ust2_rank63,f11_ig_oas_rank63,f11_lme_copper_rank63,f11_be10y_chg20,f11_ust10_chg5,f11_be10y_chg5,f11_vix_term_slope",-0.003185,16,0.128598,1,0.454933,1,False
