feature,cluster_id
f18_term_spread,3
f18_term_spread_z63,3
f18_contango_flag,3
f18_term_chg5,3
f19_atm_iv_1m,1
f19_atm_iv_3m,1
f19_iv_term_slope,13
f19_iv_rv_spread_20,2
f19_skew_1m,6
f1_bb_pctb_20,15
f1_rsi_14,15
f2_vol_60,2
f2_vol_ratio_20_60,13
f2_vol_of_vol_20,2
f5_trailing_run_length,5
f5_signal_entropy_20,5
f5_flip_rate_60,2
f5_long_bias_20,16
f5_participation_60,5
f6_ts_momentum_20,15
f6_ts_momentum_60,16
f6_ma_cross_20_60,16
f6_macd_12_26,16
f6_macd_signal_9,16
f6_macd_hist,15
f7_volume_z_20,8
f7_volume_trend_20,8
f7_oi_level,5
f7_oi_change_20,13
f7_overnight_gap,6
f8_dow_sin,7
f8_dow_cos,7
f8_month_cos,4
f10_oc_ret,7
f10_oc_ret_mean_20,15
f12_efficiency_ratio_21,9
f12_variance_ratio_5_21,10
f12_trend_tval_21,15
f12_autocorr_21,10
f12_hurst_100,4
f9_xsect_rank_60,16
f9_pair_corr_mean_63,2
f9_implied_corr_z_252,4
f21_gold_silver_z63,14
f11_vix_rank63,12
f11_move_rank63,4
f11_skew_rank63,14
f11_ust2_rank63,14
f11_ig_oas_rank63,14
f11_lme_copper_rank63,14
f11_eia_ng_stock_rank63,4
f11_vix_chg20,12
f11_move_chg20,4
f11_dxy_chg20,11
f11_hy_oas_chg20,12
f11_be10y_chg20,14
f11_eurusd_chg20,11
f11_vix_chg5,12
f11_ust10_chg5,14
f11_dxy_chg5,11
f11_be10y_chg5,14
f11_hy_oas_chg5,12
f11_vix_term_slope,14
f15_path_tortuosity_20,9
f15_semi_vol_ratio_20,15
ewma_hmm_prob_highvol,5
ewma_hmm_switch_prob,7
