cluster_id,n_members,members,mdi_sum_mean,mdi_sum_std,gain_sum_mean,gain_sum_std,mda_mean,mda_std_across_folds,baseline_auc_mean
2,4,"f11_ust10_rank63,f11_ust10_chg20,f11_ust10_chg5,f11_be10y_chg5",0.100006,0.029663,0.100006,0.029663,0.015507,0.019199,0.511181
10,7,"f11_move_rank63,f11_skew_rank63,f11_vix_chg20,f11_eurusd_chg20,f11_vix_chg5,f11_dxy_chg5,f11_vix_term_slope",0.104382,0.021399,0.104382,0.021399,0.006729,0.011036,0.511181
9,4,"f19_iv_term_slope,f19_iv_rv_spread_20,f2_vol_ratio_20_60,f7_oi_change_20",0.066536,0.009820,0.066536,0.009820,0.003107,0.006205,0.511181
14,5,"f2_vol_20,f2_vol_60,f2_parkinson_20,f2_vol_of_vol_20,f10_hl_range",0.076723,0.016257,0.076723,0.016257,0.001848,0.008736,0.511181
8,3,"f8_month_sin,f11_eia_crude_stock_rank63,f11_eia_gasoline_stock_rank63",0.025330,0.008985,0.025330,0.008985,0.001658,0.003851,0.511181
12,2,"f12_efficiency_ratio_21,f15_path_tortuosity_20",0.034495,0.013424,0.034495,0.013424,0.001422,0.005496,0.511181
3,6,"f6_ma_cross_20_60,f6_macd_12_26,f6_macd_signal_9,f21_gold_silver_z63,f11_be10y_rank63,f11_be10y_chg20",0.088913,0.019765,0.088913,0.019765,0.000681,0.009225,0.511181
7,6,"f19_skew_1m,f7_overnight_gap,f8_dow_sin,f8_dow_cos,f10_oc_ret,ewma_hmm_switch_prob",0.035374,0.005282,0.035374,0.005282,0.000167,0.002935,0.511181
16,7,"f19_atm_iv_1m,f19_atm_iv_3m,f5_trailing_run_length,f5_signal_entropy_20,f5_flip_rate_60,f5_long_bias_20,f9_xsect_rank_60",0.097522,0.015748,0.097522,0.015748,-0.000445,0.015423,0.511181
4,3,"f8_month_cos,f9_pair_corr_mean_63,f9_implied_corr_z_252",0.032004,0.010076,0.032004,0.010076,-0.000560,0.002901,0.511181
1,7,"f1_bb_pctb_20,f1_rsi_14,f6_ts_momentum_20,f6_macd_hist,f10_oc_ret_mean_20,f12_trend_tval_21,f15_semi_vol_ratio_20",0.095550,0.014504,0.095550,0.014504,-0.000569,0.012806,0.511181
13,2,"f12_variance_ratio_5_21,f12_autocorr_21",0.023305,0.003493,0.023305,0.003493,-0.000728,0.002020,0.511181
15,3,"f5_participation_60,f7_oi_level,ewma_hmm_prob_highvol",0.028302,0.007922,0.028302,0.007922,-0.001574,0.006683,0.511181
11,2,"f7_volume_z_20,f7_volume_trend_20",0.022135,0.006440,0.022135,0.006440,-0.002483,0.004653,0.511181
5,7,"f19_iv_pctile_252,f12_hurst_100,f9_dispersion_z_60,f21_crack_321,f11_china_pmi_rank63,f11_curve_slope,f16_regime_alignment_score",0.104386,0.009788,0.104386,0.009788,-0.005011,0.007343,0.511181
6,4,"f18_term_spread,f18_term_spread_z63,f18_contango_flag,f18_term_chg5",0.065035,0.025313,0.065035,0.025313,-0.007183,0.012555,0.511181
