instrument,sigma_source,n_events,n_long,n_short,n_label_1,pos_rate,n_pt,n_sl,n_vertical,frac_pt,frac_sl,frac_vertical,mean_uniqueness
cl1s,garch,411,375,36,276,0.671533,230,119,62,0.559611,0.289538,0.150852,0.214260
es1s,garch,564,446,118,299,0.530142,269,233,62,0.476950,0.413121,0.109929,0.202304
fesx1s,garch,626,286,340,334,0.533546,294,237,95,0.469649,0.378594,0.151757,0.178432
gc1s,garch,161,129,32,97,0.602484,84,54,23,0.521739,0.335404,0.142857,0.351573
hg1s,garch,617,298,319,314,0.508914,281,273,63,0.455429,0.442464,0.102107,0.198157
ho1s,garch,63,53,10,40,0.634921,37,22,4,0.587302,0.349206,0.063492,0.465878
ng1s,garch,120,0,120,62,0.516667,54,48,18,0.450000,0.400000,0.150000,0.273518
nq1s,garch,593,397,196,336,0.566610,307,239,47,0.517707,0.403035,0.079258,0.203264
pl1s,garch,547,411,136,303,0.553931,266,213,68,0.486289,0.389397,0.124314,0.213284
rb1s,garch,617,358,259,324,0.525122,282,256,79,0.457050,0.414911,0.128039,0.184368
si1s,garch,567,297,270,289,0.509700,231,245,91,0.407407,0.432099,0.160494,0.190261
