instrument,n_events,n_long,n_short,n_label_1,pos_rate,n_pt,n_sl,n_vertical,frac_pt,frac_sl,frac_vertical
cl1s,411,375,36,281,0.683698,23,83,305,0.055961,0.201946,0.742092
es1s,564,446,118,312,0.553191,46,133,385,0.081560,0.235816,0.682624
fesx1s,626,286,340,314,0.501597,60,96,470,0.095847,0.153355,0.750799
gc1s,161,129,32,95,0.590062,17,26,118,0.105590,0.161491,0.732919
hg1s,617,298,319,311,0.504052,79,141,397,0.128039,0.228525,0.643436
ho1s,63,53,10,41,0.650794,4,13,46,0.063492,0.206349,0.730159
ng1s,120,0,120,67,0.558333,12,15,93,0.100000,0.125000,0.775000
nq1s,593,397,196,335,0.564924,67,140,386,0.112985,0.236088,0.650927
pl1s,547,411,136,275,0.502742,46,113,388,0.084095,0.206581,0.709324
rb1s,617,358,259,303,0.491086,63,140,414,0.102107,0.226904,0.670989
si1s,567,297,270,304,0.536155,52,123,392,0.091711,0.216931,0.691358
