name,value
n_periods,180.000000
ann_return,0.193279
ann_vol,0.125370
ann_sharpe,1.541672
t_stat,1.302951
bootstrap_ci_low_per_period,-0.042858
bootstrap_ci_high_per_period,0.206347
bootstrap_ci_low_ann,-0.680347
bootstrap_ci_high_ann,3.275657
bootstrap_block_length,9.781539
analytic_ci_low_per_period,-0.055092
analytic_ci_high_per_period,0.249325
psr_zero,0.894451
min_trl_periods,310.674885
ljung_box_q_lag10,19.479667
ljung_box_p_lag10,0.034577
n_eff_trials,3.000000
n_raw_trials,120.000000
expected_max_sharpe_n_eff,0.042640
expected_max_sharpe_n_raw,0.129705
min_btl,2.831316
cscv_pbo_combinations_n16,12870.000000
pesaran_timmermann_stat,
pesaran_timmermann_p,
treynor_mazuy_gamma,-0.079054
treynor_mazuy_t,-2.875088
henriksson_merton_hit,0.555717
henriksson_merton_z,4.129107
henriksson_merton_p,0.000018
