scope,instrument,pt,sl,h,path_auc,path_auc_std
global,cl1s,2.5,1.5,10,0.5621,0.0256
global,es1s,2.5,1.5,10,0.5621,0.0256
global,fesx1s,2.5,1.5,10,0.5621,0.0256
global,gc1s,2.5,1.5,10,0.5621,0.0256
global,hg1s,2.5,1.5,10,0.5621,0.0256
global,ho1s,2.5,1.5,10,0.5621,0.0256
global,ng1s,2.5,1.5,10,0.5621,0.0256
global,nq1s,2.5,1.5,10,0.5621,0.0256
global,pl1s,2.5,1.5,10,0.5621,0.0256
global,rb1s,2.5,1.5,10,0.5621,0.0256
global,si1s,2.5,1.5,10,0.5621,0.0256
per_class,cl1s,2.5,2.5,20,0.6082,0.0124
per_class,es1s,2.0,1.0,10,0.6071,0.0179
per_class,fesx1s,2.0,1.0,10,0.6071,0.0179
per_class,gc1s,2.5,2.5,5,0.5389,0.0122
per_class,hg1s,2.5,2.5,5,0.5389,0.0122
per_class,ho1s,2.5,2.5,20,0.6082,0.0124
per_class,ng1s,2.5,2.5,20,0.6082,0.0124
per_class,nq1s,2.0,1.0,10,0.6071,0.0179
per_class,pl1s,2.5,2.5,5,0.5389,0.0122
per_class,rb1s,2.5,2.5,20,0.6082,0.0124
per_class,si1s,2.5,2.5,5,0.5389,0.0122
per_instrument,cl1s,0.25,0.25,15,0.5931,0.0235
per_instrument,es1s,2.5,2.0,10,0.6322,0.0231
per_instrument,fesx1s,1.5,2.0,15,0.5642,0.0351
per_instrument,gc1s,0.25,0.25,3,0.616,0.0279
per_instrument,hg1s,2.0,1.5,5,0.5997,0.0117
per_instrument,ho1s,2.5,2.5,15,0.5614,0.1401
per_instrument,ng1s,2.5,0.75,2,0.6703,0.0
per_instrument,nq1s,2.5,2.0,15,0.6176,0.0159
per_instrument,pl1s,2.5,1.0,10,0.5947,0.0095
per_instrument,rb1s,0.25,0.25,10,0.5568,0.0146
per_instrument,si1s,2.5,0.5,20,0.5376,0.0228
