instrument,len_pt,len_sl,len_h,len_pos_rate,len_n_kept,len_vert_frac,len_adj_tr,len_adj_ho,len_raw_ho,len_exit_adj_tr,len_ho_rank343,len_vz_adj_tr,cons_pt,cons_sl,cons_h,cons_pos_rate,cons_n_kept,cons_vert_frac,cons_adj_tr,cons_adj_ho,cons_raw_ho,cons_n_taken_ho,cons_exit_adj_tr,cons_ho_rank120,floor_ok,geom_changed
cl1s,0.25,0.25,1,0.5904,196,0.2199,10.5049,17.7578,3.5688,10.5049,25,11.6011,1.5,0.5,5,0.3384,111,0.1921,9.9341,17.214,3.8404,38,11.9267,4,True,True
es1s,1.0,0.25,10,0.434,194,0.0,13.1274,24.4427,1.1683,18.3517,11,13.1274,2.5,0.5,5,0.1863,84,0.286,12.9926,22.4627,1.6847,20,21.1681,2,True,True
fesx1s,0.25,0.25,1,0.5305,270,0.2259,14.9145,19.865,2.6239,14.9145,25,17.879,2.5,0.5,5,0.1604,81,0.301,14.2667,20.0768,2.4825,23,27.4911,1,True,True
gc1s,1.0,0.25,15,0.4783,66,0.0,15.3377,18.3242,4.5765,29.3123,109,15.3377,2.5,0.5,5,0.1884,26,0.3841,15.5923,23.838,5.5126,5,46.6365,21,True,True
hg1s,1.0,0.25,10,0.4138,204,0.0,19.8823,23.6729,1.8823,39.5427,11,19.8823,2.0,0.5,5,0.257,128,0.1627,18.6967,18.9008,1.0104,39,60.8604,9,True,True
ho1s,0.25,0.25,1,0.6885,42,0.1967,19.71,0.0,-31.0049,19.71,172,23.8423,2.0,0.5,20,0.375,18,0.0,18.3941,0.0,0.0,0,21.3511,60,True,True
ng1s,0.25,0.25,1,0.5,34,0.1324,27.5018,16.8634,1.0155,27.5018,125,33.5075,3.0,0.5,15,0.2206,15,0.1176,23.2439,26.1548,-0.3378,4,91.2964,13,True,True
nq1s,0.25,0.25,1,0.5417,260,0.1958,15.3682,24.4345,2.4647,15.3682,41,17.6472,2.5,0.5,5,0.1975,94,0.2689,15.8596,26.3847,2.4715,24,33.4232,4,True,True
pl1s,0.25,0.25,1,0.5366,242,0.1707,18.8649,22.0141,1.0863,18.8649,52,21.2295,2.0,0.5,5,0.2394,107,0.2237,17.6304,17.7704,1.0506,29,38.3104,7,True,True
rb1s,2.5,0.25,15,0.2398,117,0.0143,10.8949,16.9675,3.3062,18.7396,110,10.7897,2.5,0.5,5,0.1687,84,0.249,10.1169,18.9096,3.1683,32,18.5983,4,True,True
si1s,0.75,0.25,20,0.4063,180,0.0,16.1693,23.9338,0.2727,26.8256,58,16.1693,2.5,0.5,5,0.1507,69,0.3275,15.9031,28.0523,0.6364,23,37.6253,1,True,True
