instrument,pnl_type,pt,sl,h,adj_sharpe_train,adj_sharpe_hold,raw_sharpe_hold,ho_rank
cl1s,exit,1.0,2.0,20,14.3053,35.0163,14.6842,92
cl1s,exit,1.0,1.5,20,14.2753,35.9013,14.3917,71
cl1s,exit,1.0,2.5,20,14.2308,35.3254,21.2666,84
es1s,exit,2.0,2.0,20,21.833,48.4442,-0.6842,45
es1s,exit,2.0,2.5,20,21.7925,47.2136,-1.0066,55
es1s,exit,2.0,1.5,20,21.7141,51.3278,-0.4465,26
fesx1s,exit,2.5,0.5,15,28.6709,59.1843,1.6353,4
fesx1s,exit,2.5,0.25,15,28.4257,57.6648,2.4931,6
fesx1s,exit,2.5,1.0,15,27.7694,51.9674,2.8117,16
gc1s,exit,2.5,0.25,20,53.0726,117.9668,2.0548,3
gc1s,exit,2.5,0.25,15,50.0573,117.9668,1.3052,3
gc1s,exit,2.5,0.5,20,49.5914,72.4574,1.236,18
hg1s,exit,2.0,0.25,20,56.1293,62.1497,1.9541,1
hg1s,exit,2.0,0.5,20,55.1457,55.8128,1.384,4
hg1s,exit,2.0,0.75,20,54.2133,49.8313,1.7786,11
ho1s,exit,1.0,0.25,5,34.549,0.0,-31.0049,172
ho1s,exit,1.0,0.75,10,34.1461,0.0,-83.6409,172
ho1s,exit,0.75,0.75,5,33.2208,0.0,-83.6409,172
ng1s,exit,2.0,0.25,15,150.3755,60.9922,-4.0552,26
ng1s,exit,2.0,0.25,20,150.3755,65.7529,-6.5161,21
ng1s,exit,2.0,0.5,20,125.0522,65.7529,-8.0151,21
nq1s,exit,1.5,2.0,20,27.2775,57.5605,3.1545,45
nq1s,exit,1.5,2.0,15,26.8864,53.3507,2.2328,56
nq1s,exit,1.5,1.5,20,26.8296,58.6458,2.1477,36
pl1s,exit,2.5,0.25,20,46.9042,76.2094,3.37,3
pl1s,exit,2.5,0.5,20,45.4401,79.17,4.3066,1
pl1s,exit,2.5,0.25,15,43.6666,59.1687,3.2446,26
rb1s,exit,2.5,0.75,20,18.9027,36.2824,3.0245,34
rb1s,exit,2.5,2.0,20,18.823,36.0246,3.5367,36
rb1s,exit,2.5,0.5,15,18.799,39.3698,3.1454,10
si1s,exit,2.5,0.5,20,37.5749,90.9754,-0.467,2
si1s,exit,2.5,0.75,20,37.0122,92.3361,-0.4808,1
si1s,exit,2.5,0.25,20,35.7136,86.8029,-0.645,5
cl1s,lag0,0.25,0.25,1,0.562,1.5932,1.6186,233
cl1s,lag0,0.25,0.5,1,0.562,1.5932,1.6186,233
cl1s,lag0,0.25,0.75,1,0.562,1.5932,1.6186,233
es1s,lag0,2.5,1.5,15,-0.3499,-6.8,-3.8991,336
es1s,lag0,2.0,1.5,2,-0.3784,-3.9623,-3.6775,136
es1s,lag0,2.5,1.5,2,-0.3784,-4.0427,-3.6775,146
fesx1s,lag0,2.5,2.0,15,-2.1126,-1.2605,-1.381,4
fesx1s,lag0,2.5,2.0,20,-2.1519,-1.3651,-0.9641,10
fesx1s,lag0,2.0,2.0,20,-2.2223,-1.6926,-0.9641,24
gc1s,lag0,0.25,1.0,5,1.7663,-8.1572,-7.1028,299
gc1s,lag0,0.25,1.5,10,1.7465,-8.1572,-6.9287,299
gc1s,lag0,0.25,1.0,10,1.701,-8.1572,-6.9287,299
hg1s,lag0,0.75,1.5,5,-2.1773,-2.1215,-2.5166,109
hg1s,lag0,0.75,2.0,5,-2.1998,-2.1882,-2.5166,117
hg1s,lag0,0.75,2.5,5,-2.2164,-2.1882,-2.5166,117
ho1s,lag0,0.5,2.5,5,-5.7371,0.0,-45.6575,172
ho1s,lag0,0.25,2.5,5,-6.0811,0.0,-45.6575,172
ho1s,lag0,0.25,0.25,1,-6.1185,0.0,-45.6575,172
ng1s,lag0,2.5,0.25,10,2.6783,-7.679,-2.4956,340
ng1s,lag0,0.25,0.5,2,2.6449,-2.5808,-1.9164,250
ng1s,lag0,0.25,0.25,2,2.5959,-2.5808,-1.9164,250
nq1s,lag0,2.5,2.0,20,-1.4619,-2.4037,-2.1508,154
nq1s,lag0,2.5,2.0,15,-1.4843,-1.9746,-2.0231,80
nq1s,lag0,2.0,2.0,15,-1.5931,-2.7071,-2.0231,200
pl1s,lag0,1.5,0.25,5,-1.4831,-3.8208,-4.3924,212
pl1s,lag0,2.0,0.25,5,-1.5543,-6.1802,-4.3924,322
pl1s,lag0,1.0,0.25,5,-1.5838,-3.8931,-4.3924,222
rb1s,lag0,1.5,0.25,10,0.7289,0.6775,-1.3356,55
rb1s,lag0,1.5,0.25,15,0.7289,0.5587,-1.1038,62
rb1s,lag0,2.5,0.25,15,0.7074,0.5287,-1.1038,63
si1s,lag0,2.5,0.5,20,-2.1943,-2.9887,-2.6891,215
si1s,lag0,2.0,0.5,20,-2.2053,-2.2489,-2.6891,145
si1s,lag0,2.0,1.5,20,-2.5593,-1.2963,-2.6891,37
cl1s,lag1,0.25,0.25,1,10.5049,17.7578,3.5688,25
cl1s,lag1,0.25,0.5,1,10.5049,17.7578,3.5688,25
cl1s,lag1,0.25,0.75,1,10.5049,17.7578,3.5688,25
es1s,lag1,1.0,0.25,10,13.1274,24.4427,1.1683,11
es1s,lag1,1.0,0.25,15,13.1274,24.9633,1.3677,8
es1s,lag1,1.0,0.25,20,13.0923,24.2094,0.9611,14
fesx1s,lag1,0.25,0.25,1,14.9145,19.865,2.6239,25
fesx1s,lag1,0.25,0.5,1,14.9145,19.865,2.6239,25
fesx1s,lag1,0.25,0.75,1,14.9145,19.865,2.6239,25
gc1s,lag1,1.0,0.25,15,15.3377,18.3242,4.5765,109
gc1s,lag1,1.0,0.25,20,15.3377,18.9564,4.9488,93
gc1s,lag1,1.0,0.25,10,15.0404,18.7894,5.6184,101
hg1s,lag1,1.0,0.25,10,19.8823,23.6729,1.8823,11
hg1s,lag1,0.75,0.25,10,19.8798,24.0302,1.8823,8
hg1s,lag1,0.75,0.25,5,19.8793,23.3674,1.0104,12
ho1s,lag1,0.25,0.25,1,19.71,0.0,-31.0049,172
ho1s,lag1,0.25,0.5,1,19.71,0.0,-31.0049,172
ho1s,lag1,0.25,0.75,1,19.71,0.0,-31.0049,172
ng1s,lag1,0.25,0.25,1,27.5018,16.8634,1.0155,125
ng1s,lag1,0.25,0.5,1,27.5018,16.8634,1.0155,125
ng1s,lag1,0.25,0.75,1,27.5018,16.8634,1.0155,125
nq1s,lag1,0.25,0.25,1,15.3682,24.4345,2.4647,41
nq1s,lag1,0.25,0.5,1,15.3682,24.4345,2.4647,41
nq1s,lag1,0.25,0.75,1,15.3682,24.4345,2.4647,41
pl1s,lag1,0.25,0.25,1,18.8649,22.0141,1.0863,52
pl1s,lag1,0.25,0.5,1,18.8649,22.0141,1.0863,52
pl1s,lag1,0.25,0.75,1,18.8649,22.0141,1.0863,52
rb1s,lag1,2.5,0.25,15,10.8949,16.9675,3.3062,110
rb1s,lag1,2.5,0.25,20,10.7449,16.9981,3.5161,108
rb1s,lag1,0.25,0.25,1,10.6618,18.7344,3.5083,46
si1s,lag1,0.75,0.25,20,16.1693,23.9338,0.2727,58
si1s,lag1,0.75,0.25,15,16.1683,22.7077,0.4457,74
si1s,lag1,0.75,0.25,10,16.0816,23.4118,0.4562,64
cl1s,lag2,2.0,2.0,2,7.4978,12.9103,4.0444,3
cl1s,lag2,2.0,2.5,2,7.4978,12.9103,4.0444,3
cl1s,lag2,2.5,2.0,2,7.4978,12.9103,4.0444,3
es1s,lag2,2.0,2.0,2,6.2316,13.1746,0.3582,20
es1s,lag2,2.0,2.5,2,6.2316,13.1746,0.3582,20
es1s,lag2,2.5,2.0,2,6.2316,16.0826,0.3582,2
fesx1s,lag2,2.5,0.25,15,9.7538,6.3388,-0.2124,41
fesx1s,lag2,2.5,0.25,20,9.5273,6.3024,0.4837,42
fesx1s,lag2,2.5,0.25,10,9.1164,6.4416,-0.291,35
gc1s,lag2,1.5,1.5,2,10.0613,11.073,1.1375,64
gc1s,lag2,1.5,2.0,2,10.0613,11.073,1.1375,64
gc1s,lag2,1.5,2.5,2,10.0613,11.073,1.1375,64
hg1s,lag2,2.0,2.0,2,8.6203,10.0749,0.4824,25
hg1s,lag2,2.0,2.5,2,8.6203,10.0749,0.4824,25
hg1s,lag2,2.5,2.0,2,8.6203,12.1742,0.4824,5
ho1s,lag2,2.5,0.25,10,14.2616,0.0,-186.0448,172
ho1s,lag2,2.5,0.25,15,14.2616,0.0,-186.0448,172
ho1s,lag2,2.0,0.25,10,13.4106,0.0,-186.0448,172
ng1s,lag2,1.5,0.25,10,21.156,11.8665,-0.6635,42
ng1s,lag2,1.5,0.25,15,21.156,11.8665,-0.6635,42
ng1s,lag2,1.5,0.25,20,21.156,13.3213,-0.4558,25
nq1s,lag2,2.0,2.0,2,6.7919,12.982,1.1846,2
nq1s,lag2,2.0,2.5,2,6.7919,12.982,1.1846,2
nq1s,lag2,2.5,2.0,2,6.7919,12.982,1.1846,2
