instrument,pnl_type,pt,sl,h,pos_rate,n_kept,vert_frac,adj_sharpe_train,adj_sharpe_hold,raw_sharpe_hold,ho_rank,n_taken_hold
cl1s,exit,1.0,1.0,5,0.4878,160,0.1738,14.5016,36.6704,9.7155,98,58
cl1s,exit,1.0,2.0,5,0.5366,176,0.2683,14.4952,35.9719,8.4888,104,61
cl1s,exit,1.0,2.0,10,0.678,219,0.0743,14.4791,34.5106,10.9685,120,69
es1s,exit,3.0,2.0,10,0.2841,127,0.3669,26.9156,63.2497,-0.8727,14,28
es1s,exit,3.0,1.5,10,0.2774,124,0.2841,26.8864,64.0423,-0.6254,13,26
es1s,exit,3.0,2.5,10,0.2975,133,0.4049,26.8489,60.6668,-0.9132,24,29
fesx1s,exit,3.0,0.5,20,0.251,123,0.0408,31.084,71.2768,1.8044,2,30
fesx1s,exit,2.5,1.5,15,0.3697,183,0.1535,31.0731,64.9145,2.9816,37,49
fesx1s,exit,2.5,0.5,15,0.2869,142,0.0444,31.0271,70.0426,1.6353,4,36
gc1s,exit,2.5,1.0,20,0.4493,62,0.058,53.9916,119.7305,0.9446,34,7
gc1s,exit,2.5,0.75,20,0.4275,59,0.0435,53.9547,117.9668,1.236,44,6
gc1s,exit,2.5,0.5,20,0.3986,55,0.0362,52.5505,117.9668,1.236,44,6
hg1s,exit,2.0,0.5,5,0.257,128,0.1627,60.8604,69.2148,2.1521,43,39
hg1s,exit,2.0,0.5,20,0.3251,157,0.0124,59.9294,59.9664,1.384,68,38
hg1s,exit,2.0,0.5,15,0.3217,157,0.0225,59.845,62.6276,2.3391,58,43
ho1s,exit,1.0,0.75,5,0.5789,33,0.1053,36.486,0.0,-83.6409,60,0
ho1s,exit,1.0,0.5,5,0.5439,31,0.0877,35.2184,0.0,-31.0049,60,0
ho1s,exit,1.0,0.75,10,0.6346,33,0.0,34.1461,0.0,-83.6409,60,0
ng1s,exit,3.0,2.5,20,0.5882,40,0.2794,126.8308,140.6795,-10.3523,16,7
ng1s,exit,2.0,0.5,20,0.3971,27,0.0,125.0522,65.7529,-8.0151,76,5
ng1s,exit,2.0,0.5,15,0.3824,26,0.0147,123.38,60.9922,-4.9394,86,7
nq1s,exit,2.5,1.0,5,0.2227,106,0.3697,34.0478,68.0723,1.9284,65,27
nq1s,exit,2.5,0.75,5,0.2038,97,0.3214,33.8485,64.5461,1.3211,71,24
nq1s,exit,2.5,2.5,5,0.2395,114,0.5945,33.7349,69.7685,2.7553,50,29
pl1s,exit,2.5,2.0,20,0.3843,166,0.1435,51.9707,78.4749,6.1546,46,56
