K,silhouette,calinski_harabasz,davies_bouldin
3,0.10910583565262302,0.44476414520229285,6.527809736467533
4,0.12104822013438152,0.512571248709141,8.257684668667146
5,0.09960068080825221,0.37985190910511524,7.409114386217924
6,0.11032539653623505,0.925555696117674,6.636497567594201
7,0.12553937556542485,6.843026355528598,6.259620831486656
8,0.1263274894369768,5.79303818582818,13.960808322919661
9,0.13316979394039716,5.00554713491742,12.881248271812343
10,0.1488696027420827,4.393054025592993,11.838447246484451
11,0.14912944580093823,3.9030595448507146,4.360668681754902
12,0.16690142705677335,3.50215496351517,4.186535920226199
13,0.16052479106818487,3.1680678135930767,3.7436947660608864
14,0.16505954522085695,2.8853787619007414,3.6047680805371547
15,0.17018710980257767,2.6430737886761286,3.5173828343495313
