K,silhouette,calinski_harabasz,davies_bouldin
3,0.0758804899791032,0.25488239554694814,3.7258033601847775
4,0.09994312902297828,0.7058335303626738,3.313378497209583
5,0.10075755044736487,1.1283368752148237,3.4498402179210808
6,0.11223393224105309,0.8932437917799823,3.2214021801847643
7,0.1168593390674618,2.063908479233053,3.3324437380708463
8,0.12353460339909911,1.7496202395621154,3.5051262006940402
9,0.13232500462630126,1.5117812382490918,3.444782919400018
10,0.1503148058721661,1.3267953483388615,3.3661629054018434
11,0.15661118743621358,1.1796588475627667,3.2221793608233584
12,0.14446678169199906,1.0584896391246654,3.0765350135799228
13,0.1479325045726233,0.9622748137563456,3.479720219918245
14,0.15411757689678932,0.8764102919148661,3.2911027728082987
15,0.1455182488736831,0.802812130431142,3.534696049861839
