K,silhouette,calinski_harabasz,davies_bouldin
3,0.1154101275584832,0.7572377497251659,3.2290580651886374
4,0.08848392690291916,0.49888612695001194,2.881411978353274
5,0.09536078906891543,0.3697102601994195,3.2559888153889154
6,0.10359186624687644,0.3739208782533412,3.0564776744365445
7,0.11250640786381107,0.4781451411929326,2.9271960531355754
8,0.12368227345630357,3.8951508364125482,2.8193833179787133
9,0.14231293123967423,3.365653856738952,2.7943815506719356
10,0.1430099811594743,2.953822794146264,2.994631323493852
11,0.14994346329512032,2.624357988973872,2.8819456635633625
12,0.1564196041736141,2.3547960696604906,2.8701909908551495
13,0.15995529883117257,2.1301619146572657,3.139662909552264
14,0.1694793735361688,1.9400859289940402,3.1980650094625527
15,0.17199557639894422,1.7771638314616491,3.2927213544006886
