feature,pfi_mean,mdi_mean,shap_magnitude
f1_mr_score_10,0.0,0.0,0.0
f1_dist_ma_sigma_10,0.0,0.0,0.0
f1_ret_reversal_10,0.0,0.0,0.0
f1_hilo_pos_10,0.0,0.0,0.0
f1_mr_score_20,0.0,0.0,0.0
f1_dist_ma_sigma_20,0.0,0.0,0.0
f1_ret_reversal_20,0.0,0.0,0.0
f1_hilo_pos_20,0.0,0.0,0.0
f1_mr_score_40,0.0,0.0,0.0
f1_dist_ma_sigma_40,0.0,0.0,0.0
f1_ret_reversal_40,0.0,0.0,0.0
f1_hilo_pos_40,0.0,0.0,0.0
f1_rsi_14,0.0,0.0,0.0
f1_bb_pctb_20,0.0,0.0,0.0
f1_bb_bandwidth_20,0.0,0.0,0.0
f2_vol_10,0.0,0.0,0.0
f2_vol_20,0.0,0.0,0.0
f2_vol_60,0.0,0.0,0.0
f2_vol_ratio_20_60,0.0,0.0,0.0
f2_vol_pctile_20,0.0,0.0,0.0
f2_vol_of_vol_20,0.0,0.0,0.0
f2_parkinson_20,0.0,0.0,0.0
f2_garman_klass_20,0.0,0.0,0.0
f2_atr_14,0.0,0.0,0.0
f2_ret_skew_60,0.0,0.0,0.0
f2_ret_kurt_60,0.0,0.0,0.0
f6_ts_momentum_20,0.0,0.0,0.0
f6_ts_momentum_60,0.0,0.0,0.0
f6_ma_cross_20_60,0.0,0.0,0.0
f6_macd_12_26,0.0,0.0,0.0
f6_macd_hist_12_26_9,0.0,0.0,0.0
f6_adx_14,0.0,0.0,0.0
f6_donchian_pos_20,0.0,0.0,0.0
f7_volume_z_20,0.0,0.0,0.0
f7_oi_level,0.0,0.0,0.0
f7_oi_change,0.0,0.0,0.0
f7_oi_z_20,0.0,0.0,0.0
f7_oi_price_div_20,0.0,0.0,0.0
f10_hl_range,0.0,0.0,0.0
f10_hl_range_mean_20,0.0,0.0,0.0
f10_oto_ret,0.0,0.0,0.0
f10_oto_ret_mean_20,0.0,0.0,0.0
f4_pc2,0.0,0.0,0.0
f4_pc3,0.0,0.0,0.0
f4_pc4,0.0,0.0,0.0
f5_signal,0.0,0.0,0.0
f5_trailing_run_length,0.0,0.0,0.0
f5_participation_20,0.0,0.0,0.0
f5_participation_60,0.0,0.0,0.0
f5_long_bias_20,0.0,0.0,0.0
f5_sign_agree_mr,0.0,0.0,0.0
f8_dow_sin,0.0,0.0,0.0
f8_dow_cos,0.0,0.0,0.0
f8_month_sin,0.0,0.0,0.0
f8_month_cos,0.0,0.0,0.0
f11_vix_level_z,0.0,0.0,0.0
f11_vix_5d_change,0.0,0.0,0.0
f11_vix_term_slope,0.0,0.0,0.0
f11_move_z,0.0,0.0,0.0
f11_move_vix_ratio,0.0,0.0,0.0
f11_skew_z,0.0,0.0,0.0
f11_us_2s10s_slope,0.0,0.0,0.0
f11_ust_10y_5d_change,0.0,0.0,0.0
f11_bund_10y_5d_change,0.0,0.0,0.0
f11_ust_bund_spread,0.0,0.0,0.0
f11_real_yield_10y,0.0,0.0,0.0
f11_breakeven_10y,0.0,0.0,0.0
f11_be_5d_change,0.0,0.0,0.0
f11_hy_oas_z,0.0,0.0,0.0
f11_hy_oas_5d_change,0.0,0.0,0.0
f11_ig_oas_z,0.0,0.0,0.0
f11_hy_ig_ratio,0.0,0.0,0.0
f11_dxy_z,0.0,0.0,0.0
f11_dxy_5d_change,0.0,0.0,0.0
f11_eurusd_5d_change,0.0,0.0,0.0
f11_crude_stock_surprise,0.0,0.0,0.0
f11_dist_stock_surprise,0.0,0.0,0.0
f11_gasoline_stock_surprise,0.0,0.0,0.0
f11_ng_stock_surprise,0.0,0.0,0.0
f11_copper_stock_z,0.0,0.0,0.0
f11_baltic_dry_z,0.0,0.0,0.0
f11_baltic_5d_change,0.0,0.0,0.0
f11_ism_pmi_level,0.0,0.0,0.0
f11_ism_pmi_3m_change,0.0,0.0,0.0
f11_china_pmi_level,0.0,0.0,0.0
f11_global_pmi_breadth,0.0,0.0,0.0
f12_mra_energy_D1,0.0,0.0,0.0
f12_mra_energy_D2,0.0,0.0,0.0
f12_mra_energy_D3,0.0,0.0,0.0
f12_mra_energy_D4,0.0,0.0,0.0
f12_mra_energy_D5,0.0,0.0,0.0
f13_path_tortuosity_20d,0.0,0.0,0.0
f13_realized_semi_vol_ratio,0.0,0.0,0.0
f13_expected_hit_time,0.0,0.0,0.0
f13_prob_timeout,0.0,0.0,0.0
f15_ewma_implied_corr_z,0.0,0.0,0.0
hmm_vol_p0_calm,0.0,0.0,0.0
hmm_vol_p2_turbulent,0.0,0.0,0.0
hmm_vol_entropy,0.0,0.0,0.0
hmm_macro_p0,0.0,0.0,0.0
hmm_macro_entropy,0.0,0.0,0.0
