cluster,mda_mean,mda_rank,coef_sum,coef_rank,significant
C2_f11_lowfreq_macro,0.01221078854175728,1,0.1727173820171015,11,True
C14_f12,0.011619769580633117,2,0.150307413555156,14,True
C13_f11,0.010220776749836187,3,0.5023880661094631,3,False
C9_f2,0.008787855408192023,4,0.3043198467431026,7,False
C12_f2,0.007692478683879866,5,0.8473366570130073,1,False
C3_f11,0.006712518394502453,6,0.5282269718483381,2,False
F8_calendar,0.0048515659540704125,7,0.20470279446499343,10,False
C11_f11_lowfreq_macro,0.004464968040471507,8,0.15195636081872724,13,False
C10_f7,0.0019430725779637189,9,0.07406152888474353,17,False
C15_f7,0.0015842389040973135,10,0.13166165658106968,16,False
C4_f1,0.0003319779128727364,11,0.2877563840227271,8,False
F4_latent,-0.0004150181706799998,12,0.05088301570940009,18,False
C1_f1,-0.0006560252152150332,13,0.39804436631969475,4,False
C7_f11,-0.0018926887891134857,14,0.3216669523655356,6,False
C8_f11,-0.002511332154961139,15,0.13615552546666815,15,False
C5_f11,-0.0034174190150558547,16,0.34426505719009615,5,False
C6_f1,-0.008057314786534922,17,0.16182405847138984,12,False
F5_signal,-0.01997222720723613,18,0.2558253999967451,9,False
