cluster,mda_mean,mda_rank,coef_sum,coef_rank,significant
C10_f1,0.05151797792595728,1,0.4315884032757804,2,True
C2_f2,0.029776036261471135,2,0.4784374282737505,1,True
C8_f11_lowfreq_macro,0.02787797806610259,3,0.30295883873186985,3,True
C12_f11,0.011900427839036052,4,0.17502388269008057,8,False
C1_f11,0.0067817970298002265,5,0.19433463689401972,5,False
F5_signal,0.006003381123636281,6,0.1887215855719855,6,False
C5_f7,0.004402190352880545,7,0.14173688942305057,10,False
C11_f11,0.0011176822831447527,8,0.13533005663640246,11,False
C13_f6,0.0009895878477105468,9,0.11935219291476071,12,False
F4_latent,-0.0007410421068381943,10,0.052198483494818544,17,False
C14_f11,-0.0007563084193932761,11,0.18309759918343094,7,False
C7_f11,-0.0008424994686875608,12,0.16801704419514604,9,False
C6_f11_lowfreq_macro,-0.0022254070784111526,13,0.07010753182275535,13,False
F8_calendar,-0.0027106329052561605,14,0.06280772227685708,15,False
C3_f11_lowfreq_macro,-0.003429527185848352,15,0.05792119641497429,16,False
C9_f11,-0.0047651675611714754,16,0.273257653903336,4,False
C4_f11,-0.004917038828934396,17,0.06968383669761395,14,False
