K,silhouette,calinski_harabasz,davies_bouldin
3,0.12535565747291688,1.4236731791125983,1.9858462754408002
4,0.10723871444098877,0.9379493893931744,3.191304064320682
5,0.11834748983921083,0.696804861593442,3.0276006864518896
6,0.12743629333593962,0.5507276987199724,4.679882202025727
7,0.11780863147202845,2.0636238844690378,4.986734427424676
8,0.12664504321204315,1.7469831826244333,4.620230268429534
9,0.14480299246109096,1.5098496134470119,4.3308977715700685
10,0.1503901598479133,1.3292333090090283,4.146738853043132
11,0.14760921537485786,1.1809726722409588,3.937733599272583
12,0.15434892004065548,1.0596685323112796,4.204842368713084
13,0.1591683643414532,0.9585817320264736,3.549197124079345
14,0.1638300236816844,0.8792091363653991,3.6302685974738873
15,0.15207217300278952,0.8053759368118867,3.5712666432765645
