cluster,mda_mean,mda_rank,mdi_sum,mdi_rank,shap_sum,shap_rank,significant
C2_f1,0.006116675513835268,1,0.1358820528071034,2,0.02254578933232737,2,False
F5_signal,0.003937620936860075,2,0.025352875113835837,14,0.005367604371803516,14,False
C15_f11,0.0029779161541707653,3,0.07400091148821532,4,0.011152231258597494,5,False
C7_f7,0.0029476245288399044,4,0.04767437319642264,10,0.008363589604828369,8,False
F4_latent,0.0023366542014102904,5,0.051808380619214285,8,0.007983101126856082,10,False
C1_f2,0.0017394868904339578,6,0.17641069448114324,1,0.029216965661749337,1,False
C5_f11,0.000355578293211706,7,0.039275679458903694,11,0.006733357321829665,11,False
C13_f7,-0.0004788461319912899,8,0.02104695078947354,16,0.002818743145888194,15,False
F8_calendar,-0.001091991776129431,9,0.006763483693717118,18,0.001285811520452653,18,False
C10_f12,-0.0011347001042071143,10,0.04884821198207916,9,0.00837633620474221,7,False
C4_f11,-0.0013645206665389696,11,0.059360082649768955,6,0.009672989297721138,6,False
C14_f11_lowfreq_macro,-0.0015433447286227772,12,0.031027559368399415,13,0.00550964835988483,13,False
C9_f12,-0.0016945929965818873,13,0.017978115605179906,17,0.002015128629602935,17,False
C6_f11,-0.002941383731315786,14,0.05383337340230614,7,0.008043539542503149,9,False
C3_f6,-0.004095463578859864,15,0.06984298599717878,5,0.011355353050226764,4,False
C12_f11_lowfreq_macro,-0.004322180610842396,16,0.03511741463053705,12,0.0057016772199761905,12,False
C11_f11_lowfreq_macro,-0.004841667441994701,17,0.02105688875191051,15,0.002616916958979781,16,False
C8_f11,-0.008504540559905219,18,0.08471996596461115,3,0.012177988751651337,3,False
