K,silhouette,calinski_harabasz,davies_bouldin
3,0.0853900211987543,2.253052505252762,1.9579067329271325
4,0.1031046054662064,1.4895951183193277,3.671482955922425
5,0.1128691600666283,1.107742314595488,3.3892945893552797
6,0.0992189733738531,0.8753866125083748,3.0453273857257046
7,0.1060775854010281,0.7204828087781642,3.4129646436310326
8,0.1101965554441645,0.6124849028210445,3.3984023898646276
9,0.1269197663019536,0.5303389962318703,3.2532079790498
10,0.1326740238212237,0.4766018620412285,3.219239603473774
11,0.1436900713379724,0.423371004725016,3.148874986676546
12,0.1518637141605735,0.3798185108269152,3.059908504565811
13,0.1599279903915033,0.3435247423494506,3.1725207488907605
14,0.1651207823362024,0.3257616040792099,3.123560778021379
15,0.1708443734874137,0.2983491794707893,3.073364831233066
