cluster,mda_mean,mda_rank,mdi_sum,mdi_rank,shap_sum,shap_rank,significant
C5_hmm_vol,0.03357391999970098,1,0.21687887866295352,1,0.03323626645422877,1,False
C10_f11_lowfreq_macro,0.012410058977901909,2,0.04396542170641932,10,0.006338557417186309,8,False
C2_f1,0.006727553965166787,3,0.0785039508336668,3,0.006590377831246835,7,False
C9_f11_lowfreq_macro,0.004324686716571611,4,0.034803789525399025,12,0.004282336968411746,12,False
C15_f11,0.0010856290775708352,5,0.05988782136287615,6,0.006711766842259796,6,False
F5_signal,0.0008264646737191541,6,0.01499983467616988,16,0.0025287688645257117,16,False
C12_f7,-0.0009650127311336699,7,0.01434108989058672,18,0.0017944549945316376,18,False
C8_f11,-0.0010749818523734357,8,0.0700397485684995,4,0.009933505028091337,2,False
C14_f7,-0.001719917733578966,9,0.024626185163524307,15,0.0036651286054517557,14,False
F_instrument,-0.0018144690275680231,10,0.008647442961985831,19,0.0015803459424901293,19,False
C13_f11,-0.0018317286310768246,11,0.04339032133204493,11,0.0058712895825087045,11,False
C6_f11,-0.003620698405160901,12,0.02793479802861702,14,0.003959417480211745,13,False
C7_f12,-0.003676817184626703,13,0.05952997768597475,7,0.006888771147531,5,False
C11_f11_lowfreq_macro,-0.004159464710947109,14,0.04768154810723924,9,0.006242223221788921,9,False
C1_f1,-0.005186822115519435,15,0.0899409756411224,2,0.00973939012361638,3,False
C4_f2,-0.0053805531205299096,16,0.06752257185948415,5,0.008712691088002439,4,False
F4_latent,-0.005677495520857623,17,0.050534056986634254,8,0.006113792576860662,10,False
C3_f2,-0.009367924171124578,18,0.032228274021321,13,0.0035241430844413376,15,False
F8_calendar,-0.0098158842041188,19,0.014543312985481211,17,0.002281929968186318,17,False
