cluster,mda_mean,mda_rank,mdi_sum,mdi_rank,shap_sum,shap_rank,significant
C1_f1,0.02117754848486431,1,0.1798387639647622,1,0.03146284984099955,1,True
C14_f11,0.014018012872325231,2,0.077493808471194,4,0.014227051658750026,4,False
C12_f11,0.004409911977402322,3,0.043459977208874206,10,0.007967616790663242,10,True
C13_f11,0.0036985470080874027,4,0.04515208952955705,9,0.0083549405023235,9,False
C2_f1,0.003521114137551022,5,0.12831348614467233,2,0.02383377767349606,2,False
C11_f2,0.0031115493995554923,6,0.05811559406458877,7,0.010829210772306865,6,False
C15_f12,0.0018813057297722396,7,0.046262286242018384,8,0.009315465040129327,7,False
C6_f11,0.0017031262720057982,8,0.058938740972436114,6,0.008501838631724346,8,False
F8_calendar,-0.0001228155564544871,9,0.007171156131194196,18,0.0015237150146397223,18,False
C5_f11_lowfreq_macro,-0.0003981643504489651,10,0.019092259813655463,15,0.002887278619529431,17,False
F5_signal,-0.0006512842045862606,11,0.018656309523665763,16,0.004642162618146085,14,False
F4_latent,-0.0013217991858794815,12,0.042372297216391165,11,0.007408867589353894,11,False
C8_f1,-0.0015795983980379537,13,0.034131285063693804,13,0.006300152762378544,13,False
C3_hmm_vol,-0.0016547521914394487,14,0.035632770349111595,12,0.006620614249646647,12,False
C10_f11_lowfreq_macro,-0.0027348962249195566,15,0.01648716332197412,17,0.0029599660931439505,16,False
C4_f2,-0.004625108230293398,16,0.07160023916600852,5,0.011508191063156733,5,False
C7_f7,-0.005035950306727541,17,0.026981233361469015,14,0.0044184203332552855,15,False
C9_f11,-0.01007027647026942,18,0.09030053945473333,3,0.016257000985555756,3,False
