K,silhouette,calinski_harabasz,davies_bouldin
3,0.08775437497810862,0.330847406539458,2.7180865902412275
4,0.07443191425507865,0.21797029891287176,2.3456127891385155
5,0.09028247834539478,0.3740600698029164,4.435365982279
6,0.10032189920748791,0.37882447800996494,4.182229508627265
7,0.1108064554284523,0.3118374140948643,4.391776606522308
8,0.12196012514716958,0.3466687879820772,4.233251073706733
9,0.1310415860352247,0.879652154113549,4.046086328593534
10,0.13944908473487042,0.7720185765206153,4.314105092981196
11,0.14896391853811114,3.8087863322134416,4.232093131705981
12,0.16699748480419815,3.417565069974423,4.045402817374886
13,0.17395725832994186,3.0915477731335437,3.940521936787811
14,0.18227869637054558,2.815706383632452,3.8683430665707346
15,0.1866593771382635,2.5792529102520123,3.7409540998629693
