cluster,mda_mean,mda_rank,coef_sum,coef_rank,significant
C6_f11,0.0207705778018278,1,0.8271796883531383,3,False
C4_f11_lowfreq_macro,0.01712296962296962,2,0.22671470364861068,16,False
C8_f11_lowfreq_macro,0.0077889587264587294,3,0.2315873570029616,15,False
C2_f6,0.004318973850223845,4,0.3862386876100614,11,False
F_instrument,-0.00040844572094571823,5,0.06362521029691212,19,False
C11_f11,-0.0005551103988604029,6,0.7489879311071416,5,False
C15_f11,-0.0011437752062752,7,0.8581371333360907,2,False
C3_f1,-0.001924418174418175,8,1.117972377611197,1,False
F8_calendar,-0.0033695066507566534,9,0.4645257664464439,9,False
C14_f7,-0.004141286953786962,10,0.2682297994874229,12,False
C12_f7,-0.008109714359714358,11,0.07638838826614348,18,False
F5_signal,-0.009020285270285274,12,0.4890675381444635,8,False
C13_f11_lowfreq_macro,-0.010786823130573131,13,0.43552644029230514,10,False
F4_latent,-0.012431301337551342,14,0.14217356383225851,17,False
C1_f1,-0.01479321604321604,15,0.7110510798037198,6,False
C9_f11,-0.0168696060883561,16,0.2584844706121918,13,False
C10_f11_lowfreq_macro,-0.022261598355348366,17,0.2547412384198741,14,False
C5_f2,-0.022630442474192478,18,0.5929787971567646,7,False
C7_f12,-0.030234045468420456,19,0.8224555132642496,4,False
