K,silhouette,calinski_harabasz,davies_bouldin
3,0.1100054959667121,0.510780585284603,5.901543936296158
4,0.0861790238183662,0.3365142706711417,5.6527579330855255
5,0.10097977348675008,0.418964345403031,6.306309890196706
6,0.11243541148200169,0.6058728120309946,6.177387252521619
7,0.12279437305860448,6.845706953749833,5.583141126217079
8,0.12981344387679894,5.795307581742311,5.449778489578533
9,0.1267772432000527,5.0075079687341315,4.519472844112729
10,0.1454104767583639,4.394774926165468,4.272132318460697
11,0.14927552064818103,3.904588492125149,4.137023657458408
12,0.16505475413706855,3.5035268642599307,3.986779409687694
13,0.1658302369356074,3.1693088453744345,4.602944179968731
14,0.1545745316651014,2.886508980377386,4.700183434069233
15,0.159223805162814,2.6441091854760135,4.501931459071008
