cluster,mda_mean,mda_rank,mdi_sum,mdi_rank,shap_sum,shap_rank,significant
C15_f7,0.10876543209876548,1,0.226361039143276,1,0.051932052675066065,1,True
C10_f11_lowfreq_macro,0.06183641975308644,2,0.03639790294111253,9,0.007731342305881971,9,False
C4_f2,0.05511188271604941,3,0.17951778142101046,2,0.028246282807272777,3,False
C2_f1,0.04795447530864199,4,0.06304339171050097,5,0.011197551693134801,5,False
F_instrument,0.04755632716049385,5,0.08609897872815615,4,0.015244075964446378,4,False
C5_f11,0.04684027777777779,6,0.05394851373468986,6,0.008465596902354192,8,False
F5_signal,0.0460871913580247,7,0.09418993266688447,3,0.0289293485392452,2,False
C7_f11,0.034305555555555575,8,0.05381155894978266,7,0.011109886731500358,6,False
C8_f11_lowfreq_macro,0.02922299382716051,9,0.017723976117077146,14,0.0033061430724481947,14,False
C3_f6,0.024817901234567914,10,0.02910583007034832,10,0.004600449597479011,12,False
C13_f11,0.020183641975308645,11,0.023740470700604116,11,0.0047865200131362645,11,False
C6_f2,0.019618827160493842,12,0.02277729196918678,12,0.005639872147885318,10,False
C11_f12,0.018419753086419768,13,0.010320779534076688,16,0.0012279710519059429,18,False
C14_f7,0.018138888888888902,14,0.008449606608712475,18,0.0011809241254720358,19,False
C9_f11_lowfreq_macro,0.012490740740740755,15,0.010406446959287222,15,0.0019186639385003186,15,False
F8_calendar,0.010106481481481489,16,0.005541599852480098,19,0.001396973624813603,17,False
C12_f11_lowfreq_macro,0.007628086419753096,17,0.009809332561643005,17,0.0014745360114426923,16,False
F4_latent,0.0065763888888889085,18,0.022359722374065916,13,0.0038738331491341258,13,False
C1_f1,-0.021021604938271588,19,0.04639584395710517,8,0.010914907308110034,7,False
