cluster,mda_mean,mda_rank,mdi_sum,mdi_rank,shap_sum,shap_rank,significant
F5_signal,0.1743685341276739,1,0.08893489887317022,3,0.30440188500297743,1,True
C4_f11,0.06273588536195897,2,0.07430370450019837,5,0.07799913211551839,3,True
C8_f11,0.012351423332781605,3,0.1237270640830199,1,0.09688380770518613,2,False
C6_f11,0.009525096139543332,4,0.07768022616704305,4,0.06222593228967819,4,False
C11_f11,0.0062711500226997185,5,0.065117588515083,7,0.060615134343643545,5,False
C12_f11_lowfreq_macro,0.0056961407018597384,6,0.033861275451878704,14,0.028277991649780832,7,False
C10_f7,0.0015211911176518504,7,0.03117327792569995,15,0.01047135290915471,15,False
C3_f6,0.001202007210395545,8,0.044619131833314896,11,0.0075745643928976465,17,False
C9_f11_lowfreq_macro,0.0005283480901034916,9,0.0353601220374306,13,0.02134328711037596,9,False
C7_f12,-4.973953662703439e-05,10,0.06252398006618023,8,0.020121250622433366,10,False
F8_calendar,-0.00037277310408980076,11,0.008796368353068828,18,0.0012703154121276503,18,False
C1_f1,-0.0004544245156075664,12,0.09607736778755983,2,0.04113826234415984,6,False
C14_f11,-0.0006845562118493726,13,0.030948618426918983,16,0.017981606984110485,11,False
F4_latent,-0.0015924564300582272,14,0.027632759790867566,17,0.010698155080152713,14,False
C15_f7,-0.0017559795531021114,15,0.040280141045028965,12,0.009122418697704268,16,False
C13_f11,-0.002305537162889454,16,0.04470287696458399,10,0.01773362673316743,12,False
C2_f6,-0.002803100726450556,17,0.04552069753408432,9,0.01721427269766239,13,False
C5_f2,-0.002942379972274497,18,0.06873990247646967,6,0.02257795460515424,8,False
