K,silhouette,calinski_harabasz,davies_bouldin
3,0.1114206148862118,1.4246046552478422,1.9872652955055137
4,0.0831259235416139,0.9385633785418463,2.799566073102472
5,0.0962410757182683,0.6961906092020779,3.700159046296308
6,0.090457107183929,1.0579983455391266,3.581011132234958
7,0.1030316202628549,1.747238714533399,3.875967049403834
8,0.1119216402282385,1.4791441035411053,3.607143629377603
9,0.1200524825392007,1.2792516850300395,3.6710398510750712
10,0.1368277626196795,1.1230769448234423,3.559977162877375
11,0.1446718169204499,0.9978106704206366,3.4055485932464307
12,0.1512240196640034,0.896267001330982,3.3102330650303315
13,0.1666120679891397,0.8107678467419427,3.2395197494028753
14,0.1716940330151352,0.7396946543567939,3.2609055073110595
15,0.172125420688245,0.6775776888015489,3.2244468399612862
