cluster,mda_mean,mda_rank,mdi_sum,mdi_rank,shap_sum,shap_rank,significant
C5_hmm_vol,0.044748352934099206,1,0.21687887866295352,1,0.02928560633465017,1,True
C11_f11,0.015163423814682402,2,0.08307638782062646,3,0.0133686261889446,2,True
C15_f11_lowfreq_macro,0.011312427425217464,3,0.061624819451444365,7,0.009302666633534509,5,False
F8_calendar,0.005254996929804007,4,0.014543312985481211,17,0.0024709350776330494,16,False
C9_f13,0.003380332943954948,5,0.020201754874294608,15,0.0029791691863537517,15,False
C12_f11,0.0032218074433421912,6,0.0700397485684995,5,0.009550150660012583,4,False
C13_f11_lowfreq_macro,0.0019894230227214577,7,0.034803789525399025,11,0.003967651596574402,11,False
C14_f11_lowfreq_macro,0.0008514914325095489,8,0.03815048303383321,10,0.004647963904531438,10,False
C2_f1,0.0008184214578962331,9,0.0785039508336668,4,0.00759775334447137,6,False
C4_f2,0.0005722887538214065,10,0.06752257185948415,6,0.0072076214624963745,7,False
F_instrument,0.0005015529313252413,11,0.008647442961985831,19,0.0015888751501515128,19,False
C6_f11,0.000395660968186656,12,0.02793479802861702,13,0.003952570868540063,12,False
F5_signal,0.0003551451132676861,13,0.01499983467616988,16,0.0021392271415829564,17,False
C7_f12,0.0002725062955155103,14,0.05140164501435574,8,0.006034718747846784,8,False
F4_latent,-0.0007472702958853092,15,0.050534056986634254,9,0.005478355739946173,9,False
C3_f2,-0.0014325885656553772,16,0.032228274021321,12,0.0037982027041181376,13,False
C1_f1,-0.0024476235521291847,17,0.0899409756411224,2,0.011200619384790026,3,False
C8_f7,-0.003031076813410719,18,0.01434108989058672,18,0.0016365881386650127,18,False
C10_f7,-0.005167783415158027,19,0.024626185163524307,14,0.003193283122740769,14,False
