K,silhouette,calinski_harabasz,davies_bouldin
3,0.10697112838994859,2.7251230844810306,1.9483568591774905
4,0.08622514206016872,1.795375229937295,2.073966632344685
5,0.09550323692265944,1.331886511296839,4.120936401959418
6,0.10888703945527226,1.0588498755652636,4.410481179254134
7,0.11686237412797305,0.871614241258433,8.475132035094587
8,0.11205592133355506,1.7426330381866248,7.755158400598338
9,0.13147685313927823,1.5068724953630113,7.174284490185531
10,0.13750038156176736,1.3224872844350264,3.902242205604041
11,0.14698538450853235,1.1769597232542517,3.9041419797256554
12,0.16450965825725186,1.056067756451135,3.875140578907459
13,0.15591234431782103,0.9553244580721167,3.884682140462293
14,0.16445132884607497,0.8955668960368505,3.8108332454611125
15,0.17001749522711762,0.82036002373922,3.597725403614884
