cluster,mda_mean,mda_rank,coef_sum,coef_rank,significant
F5_signal,0.029244544001658657,1,0.3702767299055205,1,False
C6_f11_lowfreq_macro,0.015205050606328473,2,0.19366409525688524,5,False
C1_f1,0.011119949352674845,3,0.2179494315911842,3,False
C3_f2,0.01040829855251264,4,0.2214486988008503,2,False
C4_f7,0.009504972595499312,5,0.12779321066281338,12,False
C2_f6,0.008102881678019635,6,0.12351894148401008,13,False
C7_f1,0.003994736401630368,7,0.13510257215791832,10,False
C12_f11,0.0033778964071908752,8,0.14551319967892423,8,False
F8_calendar,0.0008072479160372137,9,0.06705824861290566,14,False
C5_f1,0.000580056131033938,10,0.03650498736738652,17,False
C10_f11,-4.058612995535739e-05,11,0.1593282690655978,7,False
F4_latent,-0.002229659730775255,12,0.03964839133483857,16,False
C11_f2,-0.002376651315732842,13,0.14507703012507986,9,False
C14_f11_lowfreq_macro,-0.0024628928655533503,14,0.12840799282168144,11,False
C9_f11_lowfreq_macro,-0.0041849043279134105,15,0.025197794983642073,18,False
C13_f11_lowfreq_macro,-0.005208033732292553,16,0.06512854872856678,15,False
C8_f11,-0.005734505029577379,17,0.18310950872698145,6,False
C15_f11,-0.006767249630879033,18,0.19638612746462503,4,False
