K,silhouette,calinski_harabasz,davies_bouldin
3,0.09737606685893735,0.436141683410867,3.7695018927176087
4,0.08100352779091212,0.28734040318867815,5.363863414913879
5,0.09298160911765851,0.47789468992228795,6.832830074275144
6,0.09870886625132093,0.3777095380596691,5.428703977311521
7,0.1099501783752938,3.2347997275696763,5.003083885013672
8,0.09932290460043411,2.738454795826549,4.964878898348211
9,0.10081550811723057,2.366196097018885,4.905882989565007
10,0.10928595396395173,2.076661553502793,4.739347988064204
11,0.11490632176869711,1.8450339187106828,4.497372393621056
12,0.13054251490364102,1.6555203993156444,3.9474632232041986
13,0.13640938964976748,1.4975924664869287,3.84857618665486
14,0.1516939356754673,2.8027350319709337,3.688664262954826
15,0.15991555425131018,2.5673702175100703,3.7016233660475115
