cluster,mda_mean,mda_rank,mdi_sum,mdi_rank,shap_sum,shap_rank,significant
C13_f1,0.007482039728695255,1,0.12228477050860723,2,0.06332173920630739,4,False
C2_f11,0.006290038491615766,2,0.10146749839186668,3,0.11082378519137229,1,False
C15_f2,0.002974190353902568,3,0.1385932664076487,1,0.10102762826234865,2,False
F4_latent,0.0017782218738341393,4,0.051704456781347594,8,0.05335686141026031,5,False
C5_f11_lowfreq_macro,0.001707742351110902,5,0.039379859591523805,11,0.011659770799312916,13,False
C6_f11_lowfreq_macro,0.001683467581961945,6,0.04833369155724843,9,0.018749861303031957,10,False
C9_f7,0.0008897979171826282,7,0.009753835061565042,17,0.0012759220083281102,18,False
F8_calendar,-2.1141579888076878e-05,8,0.008480560748527448,18,0.00307788407829191,17,False
C7_f11_lowfreq_macro,-8.767521181118383e-05,9,0.0114130689141651,16,0.005049401964307343,16,False
C10_f13,-0.00048070612295110667,10,0.0256303566818436,15,0.009337364365506879,14,False
F5_signal,-0.0005265312880727948,11,0.04325072548041741,10,0.02579464862064924,7,False
C8_f7,-0.0018328869533706339,12,0.03402851950377226,12,0.018757148139781153,9,False
C4_f11,-0.003497219584117564,13,0.08476290268202623,4,0.07606675273391712,3,False
C12_f11,-0.003841138557890053,14,0.05871770127365986,7,0.013132480414899648,12,False
C11_f11_lowfreq_macro,-0.003944563214054053,15,0.026325004175305367,14,0.009283410626458663,15,False
C14_f1,-0.005084996363755467,16,0.0779015784462293,6,0.025079523590695187,8,False
C3_f11,-0.005365320462791059,17,0.03331324563672145,13,0.017720924770655407,11,False
C1_f2,-0.007905946814976923,18,0.08465897142887116,5,0.03308389682902354,6,False
