K,silhouette,calinski_harabasz,davies_bouldin
3,0.12173317083251636,0.5711002952260551,5.221284452607244
4,0.09985829017890237,0.3762543335017383,6.307432740913342
5,0.11075463009957011,0.5272995682831955,8.877580464258426
6,0.11987223851104435,0.7191290321949895,8.058013191638125
7,0.10363179909252161,0.5919659916741902,6.7914345980740745
8,0.08894464107923196,0.5011352455721662,5.499305051632071
9,0.0997812092538295,2.3458659779537188,5.173630281530308
10,0.10714427729770483,2.0588190966225053,9.26691939298895
11,0.125790671894128,1.8291816594048824,8.605010667040801
12,0.13647772443906678,1.6412965611289818,8.149372330570982
13,0.15585611576161182,3.0457196111849214,7.709185008544712
14,0.16336412163032524,2.7739477077815233,7.241854421010042
15,0.1710045465569119,2.5410020327979996,6.840479950097151
