group,model,instrument,auc_mean,auc_std,logloss,brier,n_events
cl1s,logistic,cl1s,0.5971,0.1041,1.0033,0.2706,2025
cl1s,mlp,cl1s,0.6432,0.0741,0.6726,0.2174,2025
cl1s,rf,cl1s,0.6109,0.1014,0.627,0.2178,2025
cl1s,xgb,cl1s,0.6645,0.1299,0.6318,0.2177,2025
energy_all,logistic,cl1s,0.6176,0.1281,0.8526,0.2568,2025
energy_all,mlp,cl1s,0.6507,0.1065,0.8001,0.2393,2025
energy_all,rf,cl1s,0.543,0.0978,0.6483,0.2279,2025
energy_all,xgb,cl1s,0.5947,0.1188,0.6487,0.2285,2025
energy_cl_ho,logistic,cl1s,0.619,0.0693,0.9684,0.2637,2025
energy_cl_ho,mlp,cl1s,0.5744,0.1144,0.7846,0.2473,2025
energy_cl_ho,rf,cl1s,0.5851,0.1229,0.6402,0.2243,2025
energy_cl_ho,xgb,cl1s,0.6285,0.1024,0.6542,0.2298,2025
es1s,logistic,es1s,0.5457,0.0663,1.3071,0.3347,2735
es1s,mlp,es1s,0.516,0.0574,1.1163,0.3289,2735
es1s,rf,es1s,0.5726,0.0691,0.686,0.2462,2735
es1s,xgb,es1s,0.5438,0.0751,0.7073,0.2561,2735
fesx1s,logistic,fesx1s,0.4946,0.0475,0.887,0.283,3040
fesx1s,mlp,fesx1s,0.4666,0.0653,0.9891,0.33,3040
fesx1s,rf,fesx1s,0.4432,0.0634,0.7204,0.2631,3040
fesx1s,xgb,fesx1s,0.4947,0.0692,0.6975,0.2521,3040
gc1s,logistic,gc1s,0.4586,0.119,1.6784,0.3839,810
gc1s,mlp,gc1s,0.4583,0.1565,1.0096,0.3188,810
gc1s,rf,gc1s,0.4731,0.1208,0.7241,0.2648,810
gc1s,xgb,gc1s,0.4611,0.0902,0.6977,0.2522,810
precious,logistic,gc1s,0.4792,0.1282,1.1643,0.3291,810
precious,mlp,gc1s,0.4709,0.0839,1.1828,0.3533,810
precious,rf,gc1s,0.4797,0.1053,0.6961,0.2516,810
precious,xgb,gc1s,0.484,0.1238,0.689,0.2479,810
hg1s,logistic,hg1s,0.5085,0.0769,1.0449,0.3046,3000
hg1s,mlp,hg1s,0.5191,0.0636,0.8768,0.3021,3000
hg1s,rf,hg1s,0.5161,0.0357,0.7042,0.2552,3000
hg1s,xgb,hg1s,0.515,0.0559,0.6961,0.2514,3000
energy_all,logistic,ho1s,0.7347,0.1838,0.6667,0.2018,305
energy_all,mlp,ho1s,0.7266,0.1552,0.7583,0.2184,305
energy_all,rf,ho1s,0.6725,0.219,0.6315,0.2194,305
energy_all,xgb,ho1s,0.706,0.1881,0.632,0.2203,305
energy_cl_ho,logistic,ho1s,0.7319,0.181,0.7665,0.2038,305
energy_cl_ho,mlp,ho1s,0.6375,0.2059,0.8019,0.2294,305
energy_cl_ho,rf,ho1s,0.6981,0.2274,0.618,0.2136,305
energy_cl_ho,xgb,ho1s,0.516,0.2229,0.7377,0.2694,305
energy_all,logistic,ng1s,0.5646,0.1396,1.1937,0.3257,600
energy_all,mlp,ng1s,0.4548,0.1167,1.2049,0.3538,600
energy_all,rf,ng1s,0.4552,0.1614,0.7035,0.255,600
energy_all,xgb,ng1s,0.441,0.1528,0.7178,0.262,600
ng1s,logistic,ng1s,0.5741,0.1262,1.1607,0.2936,600
ng1s,mlp,ng1s,0.5193,0.145,0.7975,0.2834,600
ng1s,rf,ng1s,0.6054,0.1425,0.6815,0.2434,600
ng1s,xgb,ng1s,0.4948,0.0897,0.7119,0.258,600
nq1s,logistic,nq1s,0.4677,0.0485,0.8444,0.2702,2880
nq1s,mlp,nq1s,0.4898,0.0649,1.0378,0.3324,2880
nq1s,rf,nq1s,0.4871,0.0546,0.7045,0.2553,2880
nq1s,xgb,nq1s,0.5126,0.1082,0.6959,0.2514,2880
pl1s,logistic,pl1s,0.5128,0.0643,1.2051,0.3062,2670
pl1s,mlp,pl1s,0.5295,0.0574,0.9099,0.3095,2670
pl1s,rf,pl1s,0.5182,0.0699,0.7016,0.254,2670
pl1s,xgb,pl1s,0.5074,0.0516,0.6941,0.2505,2670
precious,logistic,pl1s,0.4911,0.0643,1.0691,0.3149,2670
precious,mlp,pl1s,0.5074,0.0599,1.0874,0.3271,2670
precious,rf,pl1s,0.4905,0.0567,0.7017,0.2541,2670
precious,xgb,pl1s,0.4948,0.0576,0.6956,0.2512,2670
energy_all,logistic,rb1s,0.5984,0.1183,1.1683,0.287,3000
energy_all,mlp,rb1s,0.5651,0.0818,1.0924,0.3233,3000
energy_all,rf,rb1s,0.5469,0.0905,0.7092,0.2563,3000
energy_all,xgb,rb1s,0.5887,0.1214,0.6933,0.2489,3000
rb1s,logistic,rb1s,0.6063,0.0883,0.7907,0.2634,3000
rb1s,mlp,rb1s,0.471,0.0931,1.6926,0.3703,3000
rb1s,rf,rb1s,0.4741,0.1054,0.7323,0.2673,3000
rb1s,xgb,rb1s,0.5365,0.0977,0.7101,0.2571,3000
precious,logistic,si1s,0.4682,0.0502,1.2291,0.3461,2755
precious,mlp,si1s,0.4851,0.056,1.2509,0.3455,2755
precious,rf,si1s,0.4437,0.0575,0.7077,0.2571,2755
precious,xgb,si1s,0.4906,0.0656,0.6919,0.2494,2755
si1s,logistic,si1s,0.473,0.041,1.0197,0.3172,2755
si1s,mlp,si1s,0.4829,0.0661,0.9076,0.3065,2755
si1s,rf,si1s,0.4595,0.065,0.716,0.2608,2755
si1s,xgb,si1s,0.4881,0.0669,0.7049,0.2553,2755
