inst,variant,auc_mean,auc_std,logloss,brier,n_paths
gc1s,full,0.526973807497279,0.11321242980770296,0.701591922034585,0.2541891809906411,15
gc1s,pruned,0.5593825619323078,0.10829891872520023,0.695302245804975,0.2509951877505851,15
gc1s,reduced,0.5672658623782814,0.10025630370128796,0.6851573380815908,0.24597598644776159,15
si1s,full,0.5423234617202551,0.06379196466967618,0.6872535638457055,0.24704781267353573,15
si1s,pruned,0.5807598317842947,0.05904922153704301,0.6759542648545186,0.24149907415339764,15
si1s,reduced,0.5817112781580062,0.05701554667359048,0.6729392991414616,0.2401008056184067,15
pl1s,full,0.5753516829485018,0.030110438388296145,0.6855272936054558,0.2461921833330315,15
pl1s,pruned,0.5669533459711226,0.043648598450341705,0.686828687393098,0.24679288164138322,15
pl1s,reduced,0.5871714148829478,0.04167452025913068,0.6853957821134287,0.2461210955073036,15
hg1s,full,0.5402771289136155,0.040465968369675885,0.6848167865854384,0.24590327217305785,15
hg1s,pruned,0.5578439112656638,0.0409461230167043,0.6840715750623032,0.24547444795002174,15
hg1s,reduced,0.5873376119026463,0.03683063415139492,0.6794892985530633,0.24330187694261216,15
