inst,variant,is_locked,auc,auc_ci_lo,auc_ci_hi,ap,logloss,brier,n_test
gc1s,full,False,0.43333333333333335,0.19163690476190476,0.6916666666666667,0.6827199932227527,0.712295545087005,0.2595121816349125,23
gc1s,pruned,False,0.41666666666666663,0.18737599206349206,0.6749999999999999,0.6587156642184236,0.7266798454577953,0.2665806234824387,23
gc1s,reduced,True,0.41666666666666663,0.16653846153846152,0.6785714285714286,0.6468809303248663,0.7468333846280437,0.2761681637235781,23
si1s,full,False,0.49129256965944273,0.39764237998188406,0.6010200996517027,0.4676071173987384,0.6962000080385687,0.2515108174363858,144
si1s,pruned,False,0.6116486068111455,0.5182505093415405,0.7083048028248512,0.5644586607116242,0.6908225398209981,0.24881359804070324,144
si1s,reduced,True,0.5667569659442724,0.4758923782656673,0.6628243361753443,0.5360064904076991,0.7013657329667335,0.2540018226319947,144
pl1s,full,False,0.5367701404286769,0.4407117165809259,0.6343046701773836,0.5844152912531442,0.6886298262794738,0.2477387919269771,148
pl1s,pruned,False,0.49963045084996305,0.4017701411960133,0.6014665355222104,0.5698723942259148,0.6914482532214907,0.24913110347200187,148
pl1s,reduced,True,0.498429416112343,0.3932537538574169,0.5957931447487975,0.5731672676570461,0.6938753863477821,0.2502848186219582,148
hg1s,full,False,0.44303001728744296,0.3551384938371936,0.5403725913034706,0.35671771854825557,0.7295608203910997,0.2678216854973568,164
hg1s,pruned,False,0.4202420242024203,0.3301799598846083,0.5159817361683308,0.3800690806892156,0.7567578186811368,0.28072592802936985,164
hg1s,reduced,True,0.4420870658494421,0.3558877793449415,0.5389138363573047,0.4064074590169011,0.7597543973103318,0.2821574505428831,164
