instrument,best_group,best_model,best_auc,best_logloss,best_brier,n_events,lower_ci,signal,runner_up_group,runner_up_model,runner_up_auc
es1s,es1s,rf,0.5163,0.6911,0.2487,1895,0.4038,False,es1s,mlp,0.5148
nq1s,nq1s,xgb,0.6885,0.6442,0.226,1985,0.6159,True,nq1s,logistic,0.5927
fesx1s,fesx1s,logistic,0.5791,0.755,0.264,2120,0.5186,True,fesx1s,mlp,0.5336
cl1s,cl1s,xgb,0.6748,0.6568,0.2326,1395,0.5358,True,cl1s,logistic,0.6558
ho1s,energy_all,logistic,0.7998,0.6103,0.1686,170,0.4964,False,energy_all,xgb,0.7389
rb1s,energy_all,logistic,0.5512,1.0181,0.2891,2100,0.4574,False,rb1s,xgb,0.5276
ng1s,energy_all,rf,0.4772,0.6678,0.237,140,0.2181,False,energy_all,mlp,0.4749
gc1s,precious,xgb,0.4778,0.706,0.2558,635,0.3771,False,gc1s,rf,0.4647
si1s,si1s,xgb,0.5145,0.6927,0.2497,1890,0.4387,False,si1s,rf,0.5042
pl1s,pl1s,logistic,0.6075,0.7234,0.2535,1885,0.5269,True,pl1s,rf,0.5906
hg1s,hg1s,rf,0.6035,0.6794,0.243,2075,0.5621,True,hg1s,logistic,0.5938
