date,instrument,weight
2022-01-03,cl1s,0.02289799
2022-01-03,es1s,0.0
2022-01-03,fesx1s,0.05053192
2022-01-03,gc1s,0.0
2022-01-03,hg1s,0.0
2022-01-03,ho1s,0.0
2022-01-03,ng1s,0.0
2022-01-03,nq1s,0.0
2022-01-03,pl1s,0.03222662
2022-01-03,rb1s,0.0
2022-01-03,si1s,0.0
2022-01-04,cl1s,0.0232172
2022-01-04,es1s,0.0
2022-01-04,fesx1s,0.05128113
2022-01-04,gc1s,0.0
2022-01-04,hg1s,0.0
2022-01-04,ho1s,0.0
2022-01-04,ng1s,0.0
2022-01-04,nq1s,-0.0479809
2022-01-04,pl1s,0.03220552
2022-01-04,rb1s,0.0
2022-01-04,si1s,0.0
2022-01-05,cl1s,0.02355289
2022-01-05,es1s,0.0
2022-01-05,fesx1s,-0.0518775
2022-01-05,gc1s,0.0
2022-01-05,hg1s,0.0
2022-01-05,ho1s,0.0
2022-01-05,ng1s,0.0
2022-01-05,nq1s,-0.04401474
2022-01-05,pl1s,-0.03121149
2022-01-05,rb1s,0.0
2022-01-05,si1s,0.0
2022-01-06,cl1s,0.02372882
2022-01-06,es1s,0.0
2022-01-06,fesx1s,-0.05078008
2022-01-06,gc1s,0.0
2022-01-06,hg1s,-0.04102771
2022-01-06,ho1s,0.0
2022-01-06,ng1s,0.0
2022-01-06,nq1s,0.0
2022-01-06,pl1s,0.0293814
2022-01-06,rb1s,0.0
2022-01-06,si1s,0.0
2022-01-07,cl1s,0.02406601
2022-01-07,es1s,0.0
2022-01-07,fesx1s,-0.05140485
2022-01-07,gc1s,0.0
2022-01-07,hg1s,0.0
2022-01-07,ho1s,0.0
2022-01-07,ng1s,0.0
2022-01-07,nq1s,0.04498293
2022-01-07,pl1s,0.02985591
2022-01-07,rb1s,0.0
2022-01-07,si1s,0.0
2022-01-10,cl1s,0.0243905
2022-01-10,es1s,0.0
2022-01-10,fesx1s,-0.05136935
2022-01-10,gc1s,0.0
2022-01-10,hg1s,0.0
2022-01-10,ho1s,0.0
2022-01-10,ng1s,0.0
2022-01-10,nq1s,0.04571341
2022-01-10,pl1s,0.0296669
